Name	*StringName	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	*IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl	MonLvl(N)	MonLvl(H)	MonLvlEx	MonLvlEx(N)	MonLvlEx(H)	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	LevelEntry	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7
Act 1 - Barracks	Barracks	28	0	0			0	200	200	200	200	200	200	-1	-1	0	1	0	0	0	1	1	1	0	1	1	7	-1	-1	-1	-1	27	29	0	0	0	0	0	0	-1	14	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	9	34	59	9	56	91	700	900	900	33	40	36	48	36	48	1	0	11	bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4																bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4															bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2																rat	bat			30	30							8	8	255	Barracks	To The Barracks	EnteringTheBarracks	51	3	17	0	0	0	0	0	9	35	25	0	0	0	0	0
Act 1 - Jail 1	Jail Level 1	29	0	0			18	200	200	200	200	200	200	3500	1000	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	28	30	0	0	0	0	0	0	13	14	-1	-1	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	10	35	60	10	57	91	700	900	900	33	40	36	48	36	48	1	1	11	bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4																bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4															bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2																rat	bat			30	30							8	8	6	Jail Level 1	To The Jail Level 1	EnteringTheJailLevel1	51	15	3	0	0	0	0	0	11	50	35	0	0	0	0	0
Act 1 - Jail 2	Jail Level 2	30	0	0			19	200	200	200	200	200	200	3500	1300	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	29	31	0	0	0	0	0	0	13	14	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	10	35	60	10	57	91	700	900	900	33	40	36	48	36	48	1	1	11	bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4																bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4															bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2																rat	bat			30	30							8	8	255	Jail Level 2	To The Jail Level 2	EnteringTheJailLevel2	51	15	3	0	0	0	0	0	13	50	45	0	0	0	0	0
Act 1 - Jail 3	Jail Level 3	31	0	0			20	200	200	200	200	200	200	3500	1600	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	30	32	0	0	0	0	0	0	13	13	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	10	35	60	10	57	92	700	900	900	33	40	36	48	36	48	1	1	11	bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4																bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4															bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2																rat	bat			30	30							0	8	255	Jail Level 3	To The Jail Level 3	EnteringTheJailLevel3	51	15	3	0	0	0	0	0	15	50	55	0	0	0	0	0
Act 1 - Courtyard 2	Inner Cloister	32	0	0			0	18	20	18	20	18	20	4000	1000	0	1	0	0	0	1	1	1	0	0	2	6	-1	-1	-1	-1	31	33	0	0	0	0	0	0	14	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	10	35	60	10	57	92	700	900	900	33	40	12	12	12	12	1	0	11	bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4																bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4															bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2																												0	7	7	Inner Cloister	To The Inner Cloister	EnteringTheInnerCloister	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 1 - Cathedral	Cathedral	33	0	0			0	28	34	28	34	28	34	-4	-34	32	1	0	0	0	1	1	1	0	1	2	9	-1	-1	-1	-1	32	34	0	0	0	0	0	0	-1	15	-1	-1	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	11	36	61	11	58	92	700	900	900	33	40	18	18	18	18	1	0	11	bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4																bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4															bighead4	corruptrogue3	sk_archer2	skmage_ltng1	brute3	corruptrogue4	fallenshaman3	quillrat4	wraith2	skmage_fire2																rat	bat			30	30							0	9	255	Cathedral	To The Cathedral	EnteringTheCathedral	16	3	50	17	0	0	0	0	35	45	3	3	0	0	0	0
Act 1 - Catacombs 1	Catacombs Level 1	34	0	0			21	200	200	200	200	200	200	4500	1000	0	1	0	0	0	1	1	1	0	1	1	10	-1	-1	-1	-1	33	35	0	0	0	0	0	0	16	18	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	11	36	61	11	58	92	700	900	900	33	40	36	48	36	48	1	0	11	bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4																bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4															bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2																rat	bat			30	30							60	10	255	Catacombs Level 1	To The Catacombs Level 1	EnteringTheCatacombsLevel1	16	3	14	17	0	0	0	0	40	45	15	3	0	0	0	0
Act 1 - Catacombs 2	Catacombs Level 2	35	0	0			22	200	200	200	200	200	200	4500	1300	0	1	0	0	0	1	1	1	0	1	1	10	-1	-1	-1	-1	34	36	0	0	0	0	0	0	17	18	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	11	36	61	11	58	92	700	900	900	33	40	36	48	36	48	1	0	11	bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4																bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4															bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2																rat	bat			30	30							60	10	8	Catacombs Level 2	To The Catacombs Level 2	EnteringTheCatacombsLevel2	16	3	14	17	0	0	0	0	45	45	17	3	0	0	0	0
Act 1 - Catacombs 3	Catacombs Level 3	36	0	0			23	200	200	200	200	200	200	4500	1600	0	1	0	0	0	1	1	1	0	1	1	10	-1	-1	-1	-1	35	37	0	0	0	0	0	0	17	18	-1	-1	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	12	37	62	12	59	92	700	900	900	33	40	36	48	36	48	1	0	11	bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4																bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4															bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2																rat	bat			30	30							60	10	255	Catacombs Level 3	To The Catacombs Level 3	EnteringTheCatacombsLevel3	16	3	14	17	0	0	0	0	50	45	19	3	0	0	0	0
Act 1 - Catacombs 4	Catacombs Level 4	37	0	0			24	22	31	22	31	22	31	4500	1900	0	1	0	0	0	1	1	1	0	1	2	10	-1	-1	-1	-1	36	0	0	0	0	0	0	0	17	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	12	37	62	12	59	92	700	900	900	33	40	36	48	36	48	1	0	11	bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4																bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4															bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2																rat	bat			30	30							60	10	255	Catacombs Level 4	To The Catacombs Level 4	EnteringTheCatacombsLevel4	16	3	14	17	0	0	0	0	55	45	1	3	0	0	0	0
Act 1 - Tristram	Tristram	38	0	0			25	43	48	43	48	43	48	5000	1000	0	1	1	0	0	0	1	1	1	0	2	11	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	1	1	0	2025	6	31	56	6	55	92	700	900	900	33	40	30	36	30	36	0	0	11	bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4																bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2	cr_archer4															bighead2	fallenshaman4	wraith1	corruptrogue2	quillrat2	sk_archer1	fallenshaman3	quillrat4	wraith2	skmage_fire2																												0	3	255	Tristram	To Tristram	EnteringTristram	44	45	0	0	0	0	0	0	0	33	1	0	0	0	0	0
Act 1 - Moo Moo Farm	Moo Moo Farm	39	0	0	26	40	26	80	80	80	80	80	80	5000	1148	0	1	1	0	0	0	1	1	0	0	3	2	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	28	53	78	28	80	99	700	900	1200	33	40	36	48	36	48	1	0	3	hellbovine	hellbovine	hellbovine																								hellbovine	hellbovine	hellbovine																							hellbovine	hellbovine	hellbovine																																			0	34	255	Moo Moo Farm	To The Moo Moo Farm	EnteringTheMooMooFarm	1	38	33	34	0	0	0	0	5	35	35	35	0	0	0	0
Act 2 - Town	Lut Gholein	40	1	1			27	56	56	56	56	56	56	1000	1000	0	1	0	0	0	0	1	1	1	0	2	12	-1	-1	-1	-1	0	0	47	47	50	0	0	0	-1	-1	19	20	24	-1	-1	-1	0	0	0	0	1	1	0	0	2025	0	25	50				100	100	100							0	0																																																																														bug				30								0	12	9	Lut Gholein	To Lut Gholein	EnteringLutGholein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 2 - Desert 1	Rocky Waste	41	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	9	0	7	8	55	55	55	55	0	0	0	0	33	34	35	36	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	14	39	64	14	59	93	700	900	900	33	40	42	54	42	54	1	0	11	zombie3	pantherwoman1	bighead1	vulture1	slinger1	sandleaper2	pantherwoman2	vulture2	slinger5	crownest3	swarm1																zombie3	pantherwoman1	bighead1	vulture1	slinger1	sandleaper2	pantherwoman2	vulture2	slinger5	crownest3	swarm1															zombie3	pantherwoman1	bighead1	vulture1	slinger1	sandleaper2	pantherwoman2	vulture2	slinger5	crownest3																scorpion				20								0	13	255	Rocky Waste	To The Rocky Waste	EnteringTheRockyWaste	30	24	32	37	36	0	0	0	15	30	15	40	40	0	0	0
Act 2 - Desert 2	Dry Hills	42	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	9	1	7	8	56	56	56	56	0	0	0	0	33	34	35	36	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	15	40	65	15	60	93	700	900	900	33	40	42	54	42	54	1	0	11	zombie3	pantherwoman1	bighead1	vulture1	slinger1	sandleaper2	pantherwoman2	vulture2	slinger5	crownest3	swarm1																zombie3	pantherwoman1	bighead1	vulture1	slinger1	sandleaper2	pantherwoman2	vulture2	slinger5	crownest3	swarm1															zombie3	pantherwoman1	bighead1	vulture1	slinger1	sandleaper2	pantherwoman2	vulture2	slinger5	crownest3																scorpion				20								0	13	11	Dry Hills	To The Dry Hills	EnteringTheDryHills	30	24	32	37	36	0	0	0	15	30	14	40	40	0	0	0
Act 2 - Desert 3	Far Oasis	43	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	9	2	7	8	0	0	0	0	62	0	0	0	-1	-1	-1	-1	47	-1	-1	-1	0	0	0	0	1	0	1	0	2025	16	41	66	16	61	93	700	900	900	33	40	42	54	42	54	1	0	11	zombie3	pantherwoman1	bighead1	vulture1	slinger1	sandleaper2	pantherwoman2	vulture2	slinger5	crownest3	swarm1																zombie3	pantherwoman1	bighead1	vulture1	slinger1	sandleaper2	pantherwoman2	vulture2	slinger5	crownest3	swarm1															zombie3	pantherwoman1	bighead1	vulture1	slinger1	sandleaper2	pantherwoman2	vulture2	slinger5	crownest3																scorpion				20								0	13	13	Far Oasis	To The Far Oasis	EnteringTheFarOasis	30	24	32	37	36	0	0	0	15	30	13	40	40	0	0	0
Act 2 - Desert 4	Lost City	44	1	1			27	80	80	80	80	80	80	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	9	3	7	8	0	0	65	0	0	0	0	0	-1	-1	50	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	3800	17	42	67	17	62	93	700	900	900	33	40	42	54	42	54	1	0	11	zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4	skeleton4																zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4	skeleton4															zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4																scorpion				20								0	13	14	Lost City	To The Lost City	EnteringTheLostCity	30	24	32	37	36	0	0	0	15	30	12	40	40	0	0	0
Act 2 - Desert 5	Valley of Snakes	45	1	1			27	32	32	32	32	32	32	-1	-1	0	1	0	0	0	0	1	1	1	0	3	16	-1	-1	-1	8	0	58	0	0	0	0	0	0	-1	37	-1	-1	-1	-1	-1	-1	0	0	0	0	1	0	1	0	2025	18	43	68	18	62	93	700	900	900	33	40	42	54	42	54	1	0	11	zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4	skeleton4																zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4	skeleton4															zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4																scorpion				20								0	13	255	Valley of Snakes	To The Valley of Snakes	EnteringTheValleyOfSnakes	30	24	32	37	36	0	0	0	15	30	11	40	40	0	0	0
Act 2 - Valley of the Kings	Canyon of the Magi	46	1	1	13	13	28	80	80	80	80	80	80	2500	1000	0	1	0	0	1	0	1	1	1	0	3	16	9	4	7	8	0	66	67	68	69	70	71	72	-1	38	39	40	41	42	43	44	0	0	0	0	1	1	1	0	3800	16	41	66	16	64	93	700	900	900	33	40	42	54	42	54	1	0	11	zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4	skeleton4																zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4	skeleton4															zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4																scorpion				20								0	14	17	Canyon of the Magi	To The Canyon of the Magi	EnteringTheCanyonOfTheMagi	30	24	32	37	36	0	0	0	15	30	10	40	40	0	0	0
Act 2 - Sewer 1 A	Sewers Level 1	47	1	1			29	200	200	200	200	200	200	1500	1000	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	40	40	48	0	0	0	0	0	22	21	23	-1	-1	-1	-1	-1	8	255	255	255	0	0	1	0	100	13	38	63	13	59	93	700	900	900	33	40	36	48	36	48	1	0	11	zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4	skeleton4																zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4	skeleton4															zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4																rat	bat	scorpion		30	100	20						0	15	255	Sewers Level 1	To The Sewers Level 1	EnteringTheSewersLevel1	32	26	5	0	0	0	0	0	10	10	10	0	0	0	0	0
Act 2 - Sewer 1 B	Sewers Level 2	48	1	1			30	200	200	200	200	200	200	1500	1300	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	47	0	49	0	0	0	0	0	22	-1	23	-1	-1	-1	-1	-1	8	255	255	255	0	0	1	0	2025	13	38	63	13	59	93	700	900	900	33	40	36	48	36	48	1	0	11	zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4	skeleton4																zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4	skeleton4															zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4																rat	bat	scorpion		30	100	20						0	15	10	Sewers Level 2	To The Sewers Level 2	EnteringTheSewersLevel2	32	26	5	0	0	0	0	0	12	12	12	0	0	0	0	0
Act 2 - Sewer 1 C	Sewers Level 3	49	1	1			31	200	200	200	200	200	200	1500	1600	0	1	0	0	0	1	1	1	0	1	1	13	-1	-1	-1	-1	48	0	0	0	0	0	0	0	22	-1	-1	-1	-1	-1	-1	-1	8	255	255	255	0	0	1	0	2025	14	39	64	14	60	93	700	900	900	33	40	36	48	36	48	1	0	11	zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4	skeleton4																zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4	skeleton4															zombie5	sandraider2	sandleaper3	pantherwoman3	slinger6	clawviper2	clawviper3	mummy3	unraveler2	slinger4																rat	bat	scorpion		30	100	20						0	15	255	Sewers Level 3	To The Sewers Level 3	EnteringTheSewersLevel3	32	26	5	0	0	0	0	0	15	15	15	0	0	0	0	0
Act 2 - Harem	Harem Level 1	50	1	1	11	11	32	16	19	16	19	16	19	2000	1000	0	1	0	0	0	1	1	1	0	1	2	14	-1	-1	-1	-1	40	0	51	51	0	0	0	0	25	-1	28	29	-1	-1	-1	-1	128	255	255	255	0	0	0	0	2025	0	25	50				100	100	100							0	0																																																																														rat	bat	scorpion		30	30	20						8	16	255	Harem Level 1	To The Harem Level 1	EnteringTheHaremLevel1	56	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
Act 2 - Corrupt Harem 1	Harem Level 2	51	1	1	11	11	33	100	100	100	100	100	100	2000	1119	0	1	0	0	0	1	1	1	0	1	1	14	-1	-1	-1	-1	50	50	52	52	0	0	0	0	26	27	28	29	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	13	38	63	13	63	93	700	900	900							1	0	11	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																rat	bat	scorpion		30	30	20						8	17	255	Harem Level 2	To The Harem Level 2	EnteringTheHaremLevel2	56	55	0	0	0	0	0	0	15	33	0	0	0	0	0	0
Act 2 - Basement 1	Palace Cellar Level 1	52	1	1	11	11	34	100	100	100	100	100	100	2000	1319	0	1	0	0	0	1	1	1	0	1	1	15	-1	-1	-1	-1	51	51	53	53	0	0	0	0	26	27	32	32	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	13	38	63	13	63	93	700	900	900	33	40	30	42	30	42	1	1	11	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																rat	bat	scorpion		30	30	20						60	18	15	Palace Cellar Level 1	To The Palace Cellar Level 1	EnteringThePalaceCellarLevel1	57	58	0	0	0	0	0	0	20	10	0	0	0	0	0	0
Act 2 - Basement 2	Palace Cellar Level 2	53	1	1	11	11	35	100	100	100	100	100	100	2000	1519	0	1	0	0	0	1	1	1	0	1	1	15	-1	-1	-1	-1	52	52	54	54	0	0	0	0	30	31	32	32	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	13	38	63	13	63	93	700	900	900	33	40	30	42	30	42	1	1	11	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																rat	bat	scorpion		30	30	20						60	18	255	Palace Cellar Level 2	To The Palace Cellar Level 2	EnteringThePalaceCellarLevel2	57	58	0	0	0	0	0	0	20	10	0	0	0	0	0	0
Act 2 - Basement 3	Palace Cellar Level 3	54	1	1	11	11	36	100	100	100	100	100	100	2000	1719	0	1	0	0	0	1	1	1	0	1	1	15	-1	-1	-1	-1	53	53	0	0	0	0	0	0	30	31	-1	-1	-1	-1	-1	-1	0	255	255	255	1	1	1	0	2025	13	38	63	13	64	93	700	900	900	33	40	30	42	30	42	1	1	11	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																rat	bat	scorpion		30	30	20						60	18	255	Palace Cellar Level 3	To The Palace Cellar Level 3	EnteringThePalaceCellarLevel3	57	58	0	0	0	0	0	0	20	10	0	0	0	0	0	0
Act 2 - Tomb 1 A	Stony Tomb Level 1	55	1	1			37	200	200	200	200	200	200	3000	1000	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	41	0	0	0	59	0	0	0	45	-1	-1	-1	46	-1	-1	-1	0	255	255	255	0	0	1	0	1000	12	37	62	12	60	93	700	900	900	33	40	36	48	36	48	1	0	11	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																rat	bat	scorpion		30	30	20						60	19	255	Stony Tomb Level 1	To The Stony Tomb Level 1	EnteringTheStonyTombLevel1	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0
Act 2 - Tomb 2 A	Halls of the Dead Level 1	56	1	1			38	200	200	200	200	200	200	3000	1300	0	1	0	0	0	1	1	1	0	1	1	17	-1	-1	-1	-1	42	0	0	0	57	0	0	0	45	-1	-1	-1	46	-1	-1	-1	0	255	255	255	0	0	1	0	1000	12	37	62	12	60	93	700	900	900	33	40	36	48	36	48	1	0	11	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																	sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																sandraider3	baboon1	sk_archer5	blunderbore1	skmage_cold4	mummy2	unraveler1	unraveler1	batdemon1	slinger2																rat	bat	scorpion		30	30	20						60	19	255	Halls of the Dead Level 1	To The Halls of the Dead Level 1	EnteringTheHallsOfTheDeadLevel1	19	29	24	0	0	0	0	0	10	20	35	45	0	0	0	0
