Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	*eol
Act 5 (N) Bow B	3	60	1	375	1	100			bow39	10	bow42	10	bow45	10	bow48	10	bow51	10	bow54	10	bow57	10	bow60	10	Act 5 (N) Bow A	50			36	2006	0.9821				0
Act 5 (N) Bow C	3	65	1	375	1	100			bow42	10	bow45	10	bow48	10	bow51	10	bow54	10	bow57	10	bow60	10	bow63	10	Act 5 (N) Bow B	50			36	2156	0.9833				0
Act 1 (H) Bow A	3	99	1	375	1	100			bow45	10	bow48	10	bow51	10	bow54	10	bow57	10	bow60	10	bow63	10	bow66	10	Act 5 (N) Bow C	50			36	2306	0.9844				0
Act 1 (H) Bow B	3	99	1	375	1	100			bow48	10	bow51	10	bow54	10	bow57	10	bow60	10	bow63	10	bow66	10	bow69	10	Act 1 (H) Bow A	50			36	2306	0.9844				0
Act 2 (H) Bow A	3	99	1	375	1	100			bow51	10	bow54	10	bow57	10	bow60	10	bow63	10	bow66	10	bow69	10	bow72	10	Act 1 (H) Bow B	50			36	2306	0.9844				0
Act 2 (H) Bow B	3	99	1	375	1	100			bow54	10	bow57	10	bow60	10	bow63	10	bow66	10	bow69	10	bow72	10	bow75	10	Act 2 (H) Bow A	50			36	2306	0.9844				0
Act 3 (H) Bow A	3	99	1	375	1	100			bow57	10	bow60	10	bow63	10	bow66	10	bow69	10	bow72	10	bow75	10	bow78	10	Act 2 (H) Bow B	50			36	2306	0.9844				0
Act 3 (H) Bow B	3	99	1	375	1	100			bow60	10	bow63	10	bow66	10	bow69	10	bow72	10	bow75	10	bow78	10	bow81	10	Act 3 (H) Bow A	50			36	2306	0.9844				0
Act 4 (H) Bow A	3	99	1	375	1	100			bow63	10	bow66	10	bow69	10	bow72	10	bow75	10	bow78	10	bow81	10	bow84	10	Act 3 (H) Bow B	60			36	2306	0.9844				0
Act 4 (H) Bow B	3	99	1	375	1	100			bow66	10	bow69	10	bow72	10	bow75	10	bow78	10	bow81	10	bow84	10	bow84	10	Act 4 (H) Bow A	70			33	2113	0.9844				0
Act 5 (H) Bow A	3	99	1	375	1	100			bow69	10	bow72	10	bow75	10	bow78	10	bow81	10	bow84	10	bow87	10	bow87	10	Act 4 (H) Bow B	80			33	2113	0.9844				0
Act 5 (H) Bow B	3	99	1	375	1	100			bow72	10	bow75	10	bow78	10	bow81	10	bow84	1	bow87	1	bow87	1	bow87	1	Act 5 (H) Bow A	90			33	2113	0.9844				0
Act 5 (H) Bow C	3	99	1	500	1	100			bow75	10	bow78	10	bow81	10	bow84	10	bow87	1	bow87	1	bow87	1	bow87	1	Act 5 (H) Bow B	100			26	1681	0.9845				0
Act 1 Magic A	4	0	1						tsc	8	isc	16	mp1	24	oot	1																			0
Act 1 Magic B	4	5	1						tsc	8	isc	16	mp1	16	mp2	8	oot	1																	0
Act 1 Magic C	4	9	1						tsc	8	isc	16	mp1	8	mp2	16	oot	1																	0
Act 2 Magic A	4	12	1						tsc	2	isc	4	mp1	1	mp2	4	mp3	1																	0
Act 2 Magic B	4	15	1						tsc	2	isc	4	mp1	1	mp2	3	mp3	2																	0
Act 2 Magic C	4	18	1						tsc	2	isc	4	mp2	2	mp3	3	mp4	1																	0
Act 3 Magic A	4	20	1						tsc	2	isc	4	mp3	4	mp4	2																			0
Act 3 Magic B	4	22	1						tsc	2	isc	4	mp3	3	mp4	3																			0
Act 3 Magic C	4	24	1						tsc	2	isc	4	mp3	2	mp4	3	mp5	1																	0
Act 4 Magic A	4	26	1						tsc	2	isc	4	mp3	1	mp4	4	mp5	1																	0
Act 4 Magic B	4	29	1						tsc	2	isc	4	mp4	4	mp5	2																			0
Act 5 Magic A	4	32	1						tsc	2	isc	4	mp4	3	mp5	3																			0
Act 5 Magic B	4	34	1						tsc	2	isc	4	mp4	2	mp5	4																			0
Act 5 Magic C	4	36	1						tsc	2	isc	4	mp4	2	mp5	4																			0
Act 1 (N) Magic A	4	38	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 1 (N) Magic B	4	40	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 2 (N) Magic A	4	42	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 2 (N) Magic B	4	44	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 3 (N) Magic A	4	46	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 3 (N) Magic B	4	48	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 4 (N) Magic A	4	51	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 4 (N) Magic B	4	54	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 5 (N) Magic A	4	57	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 5 (N) Magic B	4	60	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 5 (N) Magic C	4	63	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 1 (H) Magic A	4	66	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 1 (H) Magic B	4	69	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 2 (H) Magic A	4	71	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 2 (H) Magic B	4	73	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 3 (H) Magic A	4	75	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 3 (H) Magic B	4	77	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 4 (H) Magic A	4	79	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 4 (H) Magic B	4	80	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 5 (H) Magic A	4	82	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 5 (H) Magic B	4	83	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 5 (H) Magic C	4	85	1	125	1	120			tsc	2	isc	4	mp4	2	mp5	4																			0
Act 1 Good	5	0	1						Jewelry A	150	Chipped Gem	150	gop	2	cop	1	cor	1	ins	1	hoa	1													0
Act 2 Good	5	12	1						Jewelry B	160	Chipped Gem	96	Flawed Gem	32	Runes 1	36	Runes 2	24	gop	1	cop	1	cor	1	ins	1	hoa	1							0
Act 3 Good	5	18	1						Jewelry C	160	Chipped Gem	64	Flawed Gem	64	Runes 3	36	Runes 4	24	gop	1	cop	1	cor	1	ins	1	hoa	1							0
Act 4 Good	5	26	1						Jewelry C	100	Chipped Gem	28	Flawed Gem	56	Normal Gem	84	Runes 5	40	Runes 6	20	gop	1	LG 1	1	LG 2	1									0
Act 5 Good	5	32	1						Jewelry C	100	Chipped Gem	12	Flawed Gem	16	Normal Gem	48	Flawless Gem	8	Runes 7	24	gop	1	LG 1	1	LG 2	1									0
Act 1 (N) Good	5	38	1	375	1	180			Jewelry C	60	Chipped Gem	6	Flawed Gem	8	Normal Gem	28	Flawless Gem	14	Runes 8	23	gop	1	cop	1	cor	1	Lesser Orbs	3							0
Act 2 (N) Good	5	42	1	375	1	180			Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 9	23	gop	1	cop	1	cor	1	Lesser Orbs	3							0
Act 3 (N) Good	5	46	1	375	1	180			Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 10	23	gop	1	cop	1	cor	1	Lesser Orbs	3							0
Act 4 (N) Good	5	51	1	375	1	180			Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 11	23	gop	1	cop	1	cor	1	Lesser Orbs	3							0
Act 5 (N) Good	5	57	1	375	1	180			Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 12	11	High Orbs	1	Lesser Orbs	4											0
Act 1 (H) Good	5	66	1	375	1	180			Jewelry C	94	Lesser Orbs	20	Greater Orbs	15	Normal Gem	22	Flawless Gem	43	Runes 17	17	kob	2	kom	5											0
Act 2 (H) Good	5	72	1	375	1	180			Jewelry C	94	Lesser Orbs	20	Greater Orbs	15	Normal Gem	22	Flawless Gem	43	Runes 17	17	kob	2	kom	5											0
Act 3 (H) Good	5	78	1	375	1	180			Jewelry C	94	Lesser Orbs	20	Greater Orbs	15	Normal Gem	22	Flawless Gem	43	Runes 17	17	kob	2	kom	5											0
Act 4 (H) Good	5	82	1	375	1	180			Jewelry C	94	Lesser Orbs	20	Greater Orbs	15	Normal Gem	22	Flawless Gem	43	Runes 17	17	kob	2	kom	5											0
Act 5 (H) Good	5	85	1	375	1	180			Jewelry C	94	Lesser Orbs	20	Greater Orbs	15	Normal Gem	22	Flawless Gem	43	Runes 17	17	kob	2	kom	5											0
Act 1 Chest A	6	0	4	375	1	180		77	gld	7	Act 1 Junk	4	Act 1 Equip A	10	Act 1 Good	3																			0
Act 1 Chest B	6	5	4	375	1	180		77	gld	7	Act 1 Junk	4	Act 1 Equip B	10	Act 1 Good	3																			0
Act 1 Chest C	6	9	4	375	1	180		77	gld	7	Act 1 Junk	3	Act 2 Junk	1	Act 1 Equip C	15	Act 1 Good	3																	0
Act 2 Chest A	6	12	4	375	1	180		77	gld	7	Act 2 Junk	4	Act 2 Equip A	10	Act 2 Good	3																			0
Act 2 Chest B	6	15	4	375	1	180		77	gld	7	Act 2 Junk	4	Act 2 Equip B	10	Act 2 Good	3																			0
Act 2 Chest C	6	18	4	375	1	180		77	gld	7	Act 2 Junk	3	Act 3 Junk	1	Act 2 Equip C	15	Act 2 Good	3																	0
Act 3 Chest A	6	20	4	375	1	180		77	gld	7	Act 3 Junk	4	Act 3 Equip A	10	Act 3 Good	3																			0
Act 3 Chest B	6	22	4	375	1	180		77	gld	7	Act 3 Junk	4	Act 3 Equip B	10	Act 3 Good	3																			0
Act 3 Chest C	6	24	4	375	1	180		77	gld	7	Act 3 Junk	4	Act 3 Equip C	10	Act 3 Good	3																			0
Act 4 Chest A	6	26	4	375	1	180		77	gld	7	Act 4 Junk	4	Act 4 Equip A	10	Act 4 Good	3																			0
Act 4 Chest B	6	28	4	375	1	180		77	gld	7	Act 4 Junk	4	Act 4 Equip B	10	Act 4 Good	3																			0
Act 4 Chest C	6	30	4	375	1	180		77	gld	7	Act 4 Junk	4	Act 4 Equip B	10	Act 4 Good	3																			0
Act 5 Chest A	6	32	4	375	1	180		77	gld	7	Act 5 Junk	4	Act 5 Equip A	10	Act 5 Good	3																			0
Act 5 Chest B	6	34	4	375	1	180		77	gld	7	Act 5 Junk	4	Act 5 Equip B	10	Act 5 Good	3																			0
Act 5 Chest C	6	36	4	375	1	180		77	gld	7	Act 5 Junk	4	Act 5 Equip B	10	Act 5 Good	3																			0
Act 1 (N) Chest A	6	38	4	375	1	180		77	gld	7	Act 1 (N) Junk	4	Act 1 (N) Equip A	10	Act 1 (N) Good	3																			0
Act 1 (N) Chest B	6	40	4	375	1	180		77	gld	7	Act 1 (N) Junk	4	Act 1 (N) Equip B	10	Act 1 (N) Good	3																			0
Act 1 (N) Chest C	6	42	4	375	1	180		77	gld	7	Act 1 (N) Junk	4	Act 1 (N) Equip B	10	Act 1 (N) Good	3																			0
Act 2 (N) Chest A	6	44	4	375	1	180		77	gld	7	Act 2 (N) Junk	4	Act 2 (N) Equip A	10	Act 2 (N) Good	3																			0
Act 2 (N) Chest B	6	46	4	375	1	180		77	gld	7	Act 2 (N) Junk	4	Act 2 (N) Equip B	10	Act 2 (N) Good	3																			0
Act 2 (N) Chest C	6	48	4	375	1	180		77	gld	7	Act 2 (N) Junk	4	Act 2 (N) Equip B	10	Act 2 (N) Good	3																			0
Act 3 (N) Chest A	6	50	4	375	1	180		77	gld	7	Act 3 (N) Junk	4	Act 3 (N) Equip A	10	Act 3 (N) Good	3																			0
Act 3 (N) Chest B	6	52	4	375	1	180		77	gld	7	Act 3 (N) Junk	4	Act 3 (N) Equip B	10	Act 3 (N) Good	3																			0
Act 3 (N) Chest C	6	54	4	375	1	180		77	gld	7	Act 3 (N) Junk	4	Act 3 (N) Equip B	10	Act 3 (N) Good	3																			0
Act 4 (N) Chest A	6	56	4	375	1	180		77	gld	7	Act 4 (N) Junk	4	Act 4 (N) Equip A	10	Act 4 (N) Good	3																			0
Act 4 (N) Chest B	6	58	4	375	1	180		77	gld	7	Act 4 (N) Junk	4	Act 4 (N) Equip B	10	Act 4 (N) Good	3																			0
Act 4 (N) Chest C	6	60	4	375	1	180		77	gld	7	Act 4 (N) Junk	4	Act 4 (N) Equip C	10	Act 4 (N) Good	3																			0
Act 5 (N) Chest A	6	62	4	375	1	180		77	gld	7	Act 5 (N) Junk	4	Act 5 (N) Equip A	10	Act 5 (N) Good	3																			0
Act 5 (N) Chest B	6	64	4	375	1	180		77	gld	7	Act 5 (N) Junk	4	Act 5 (N) Equip B	10	Act 5 (N) Good	3																			0
Act 5 (N) Chest C	6	66	4	375	1	180		77	gld	7	Act 5 (N) Junk	4	Act 5 (N) Equip B	10	Act 5 (N) Good	3																			0
Act 1 (H) Chest A	6	99	4	375	1	180		77	gld	7	Act 1 (H) Junk	4	Act 1 (H) Equip A	10	Act 1 (H) Good	3																			0
Act 1 (H) Chest B	6	99	4	375	1	180		77	gld	7	Act 1 (H) Junk	4	Act 1 (H) Equip B	10	Act 1 (H) Good	3																			0
Act 1 (H) Chest C	6	99	4	375	1	180		77	gld	7	Act 1 (H) Junk	4	Act 1 (H) Equip B	10	Act 1 (H) Good	3																			0
Act 2 (H) Chest A	6	99	4	375	1	180		77	gld	7	Act 2 (H) Junk	4	Act 2 (H) Equip A	10	Act 2 (H) Good	3																			0
Act 2 (H) Chest B	6	99	4	375	1	180		50	gld	7	Act 2 (H) Junk	4	Act 2 (H) Equip B	10	Act 2 (H) Good	3																			0
Act 2 (H) Chest C	6	99	4	375	1	180		50	gld	7	Act 2 (H) Junk	4	Act 2 (H) Equip B	10	Act 2 (H) Good	3																			0
Act 3 (H) Chest A	6	99	4	375	1	180		50	gld	7	Act 3 (H) Junk	4	Act 3 (H) Equip A	10	Act 3 (H) Good	3																			0
Act 3 (H) Chest B	6	99	4	375	1	180		50	gld	7	Act 3 (H) Junk	4	Act 3 (H) Equip B	10	Act 3 (H) Good	3																			0
Act 3 (H) Chest C	6	99	4	375	1	180		50	gld	7	Act 3 (H) Junk	4	Act 3 (H) Equip B	10	Act 3 (H) Good	3																			0
Act 4 (H) Chest A	6	99	4	375	1	180		40	gld	5	Act 4 (H) Junk	4	Act 4 (H) Equip A	10	Act 4 (H) Good	5																			0
Act 4 (H) Chest B	6	99	4	375	1	180		40	gld	5	Act 4 (H) Junk	4	Act 4 (H) Equip B	10	Act 4 (H) Good	5																			0
Act 4 (H) Chest C	6	99	4	375	1	180		40	gld	5	Act 4 (H) Junk	4	Act 4 (H) Equip B	10	Act 4 (H) Good	5																			0
Act 5 (H) Chest A	6	99	4	375	1	180		40	gld	5	Act 5 (H) Junk	4	Act 5 (H) Equip A	10	Act 5 (H) Good	5																			0
Act 5 (H) Chest B	6	99	4	375	1	180		40	gld	5	Act 5 (H) Junk	4	Act 5 (H) Equip B	10	Act 5 (H) Good	5																			0
Act 5 (H) Chest C	6	99	4	375	1	180		40	gld	5	Act 5 (H) Junk	4	Act 5 (H) Equip B	10	Act 5 (H) Good	5																			0
Act 1 H2H A	7	0	1	375	1	180		77	gld	10	Act 1 Equip A	16	Act 1 Junk	2	Act 1 Good	2																			0
Act 1 H2H B	7	5	1	375	1	180		77	gld	10	Act 1 Equip B	16	Act 1 Junk	2	Act 1 Good	2																			0
Act 1 H2H C	7	9	1	375	1	180		77	gld	10	Act 1 Equip C	16	Act 1 Junk	2	Act 1 Good	2																			0
Act 2 H2H A	7	12	1	375	1	180		77	gld	10	Act 2 Equip A	16	Act 2 Junk	2	Act 2 Good	2																			0
Act 2 H2H B	7	15	1	375	1	180		77	gld	10	Act 2 Equip B	16	Act 2 Junk	2	Act 2 Good	2																			0
Act 2 H2H C	7	18	1	375	1	180		77	gld	10	Act 2 Equip C	16	Act 2 Junk	2	Act 3 Good	2																			0
Act 3 H2H A	7	20	1	375	1	180		77	gld	10	Act 3 Equip A	16	Act 3 Junk	2	Act 3 Good	2																			0
Act 3 H2H B	7	22	1	375	1	180		77	gld	10	Act 3 Equip B	16	Act 3 Junk	2	Act 3 Good	2																			0
Act 3 H2H C	7	24	1	375	1	180		77	gld	10	Act 3 Equip C	16	Act 3 Junk	2	Act 3 Good	2																			0
Act 4 H2H A	7	26	1	375	1	180		77	gld	10	Act 4 Equip A	16	Act 4 Junk	2	Act 4 Good	2																			0
Act 4 H2H B	7	29	1	375	1	180		77	gld	10	Act 4 Equip B	16	Act 4 Junk	2	Act 4 Good	2																			0
Act 5 H2H A	7	32	1	375	1	180		77	gld	10	Act 5 Equip A	16	Act 5 Junk	2	Act 5 Good	2																			0
Act 5 H2H B	7	34	1	375	1	180		77	gld	10	Act 5 Equip B	16	Act 5 Junk	2	Act 5 Good	2																			0
Act 5 H2H C	7	36	1	375	1	180		77	gld	10	Act 5 Equip C	16	Act 5 Junk	2	Act 5 Good	2																			0
Act 1 (N) H2H A	7	38	1	375	1	180		77	gld	10	Act 1 (N) Equip A	16	Act 1 (N) Junk	2	Act 1 (N) Good	2																			0
Act 1 (N) H2H B	7	40	1	375	1	180		77	gld	10	Act 1 (N) Equip B	16	Act 1 (N) Junk	2	Act 1 (N) Good	2																			0
Act 1 (N) H2H C	7	41	1	375	1	180		77	gld	10	Act 1 (N) Equip B	16	Act 1 (N) Junk	2	Act 1 (N) Good	2																			0
Act 2 (N) H2H A	7	42	1	375	1	180		77	gld	10	Act 2 (N) Equip A	16	Act 2 (N) Junk	2	Act 2 (N) Good	2																			0
Act 2 (N) H2H B	7	44	1	375	1	180		77	gld	10	Act 2 (N) Equip B	16	Act 2 (N) Junk	2	Act 2 (N) Good	2																			0
Act 2 (N) H2H C	7	45	1	375	1	180		77	gld	10	Act 2 (N) Equip B	16	Act 2 (N) Junk	2	Act 2 (N) Good	2																			0
Act 3 (N) H2H A	7	46	1	375	1	180		77	gld	10	Act 3 (N) Equip A	16	Act 3 (N) Junk	2	Act 3 (N) Good	2																			0
Act 3 (N) H2H B	7	48	1	375	1	180		77	gld	10	Act 3 (N) Equip B	16	Act 3 (N) Junk	2	Act 3 (N) Good	2																			0
Act 3 (N) H2H C	7	50	1	375	1	180		77	gld	10	Act 3 (N) Equip B	16	Act 3 (N) Junk	2	Act 3 (N) Good	2																			0
Act 4 (N) H2H A	7	51	1	375	1	180		77	gld	10	Act 4 (N) Equip A	16	Act 4 (N) Junk	2	Act 4 (N) Good	2																			0
Act 4 (N) H2H B	7	54	1	375	1	180		77	gld	10	Act 4 (N) Equip B	16	Act 4 (N) Junk	2	Act 4 (N) Good	2																			0
Act 5 (N) H2H A	7	57	1	375	1	180		77	gld	10	Act 5 (N) Equip A	16	Act 5 (N) Junk	2	Act 5 (N) Good	2																			0
Act 5 (N) H2H B	7	60	1	375	1	180		77	gld	10	Act 5 (N) Equip B	16	Act 5 (N) Junk	2	Act 5 (N) Good	2																			0
Act 5 (N) H2H C	7	62	1	375	1	180		77	gld	10	Act 5 (N) Equip C	16	Act 5 (N) Junk	2	Act 5 (N) Good	2																			0
Act 1 (H) H2H A	7	63	1	375	1	180		45	gld	10	Act 1 (H) Equip A	16	Act 1 (H) Junk	2	Act 1 (H) Good	2																			0
Act 1 (H) H2H B	7	66	1	375	1	180		45	gld	10	Act 1 (H) Equip B	16	Act 1 (H) Junk	2	Act 1 (H) Good	2																			0
Act 1 (H) H2H C	7	68	1	375	1	180		45	gld	10	Act 1 (H) Equip B	16	Act 1 (H) Junk	2	Act 1 (H) Good	2																			0
Act 2 (H) H2H A	7	99	1	375	1	180		45	gld	10	Act 2 (H) Equip A	16	Act 1 (H) Junk	2	Act 2 (H) Good	2																			0
Act 2 (H) H2H B	7	99	1	375	1	180		45	gld	10	Act 2 (H) Equip B	16	Act 1 (H) Junk	2	Act 2 (H) Good	2																			0
Act 2 (H) H2H C	7	99	1	375	1	180		45	gld	10	Act 2 (H) Equip B	16	Act 1 (H) Junk	2	Act 2 (H) Good	2																			0
Act 3 (H) H2H A	7	99	1	375	1	180		45	gld	10	Act 3 (H) Equip A	16	Act 1 (H) Junk	2	Act 3 (H) Good	2																			0
Act 3 (H) H2H B	7	99	1	375	1	180		45	gld	10	Act 3 (H) Equip B	16	Act 1 (H) Junk	2	Act 3 (H) Good	2																			0
Act 3 (H) H2H C	7	99	1	375	1	180		45	gld	10	Act 3 (H) Equip B	16	Act 1 (H) Junk	2	Act 3 (H) Good	2																			0
Act 4 (H) H2H A	7	99	1	375	1	180		45	gld	10	Act 4 (H) Equip A	16	Act 1 (H) Junk	2	Act 4 (H) Good	2																			0
Act 4 (H) H2H B	7	99	1	375	1	180		45	gld	10	Act 4 (H) Equip B	16	Act 1 (H) Junk	2	Act 4 (H) Good	2																			0
Act 5 (H) H2H A	7	99	1	375	1	180		40	gld	10	Act 5 (H) Equip A	16	Act 1 (H) Junk	2	Act 5 (H) Good	2																			0
Act 5 (H) H2H B	7	99	1	375	1	180		40	gld	10	Act 5 (H) Equip B	16	Act 1 (H) Junk	2	Act 5 (H) Good	2																			0
Act 5 (H) H2H C	7	99	1	375	1	180		40	gld	10	Act 5 (H) Equip C	16	Act 1 (H) Junk	2	Act 5 (H) Good	2																			0
Act 1 Cast A	8	0	1	375	1	180		77	gld	9	Act 1 Equip A	15	Act 1 Junk	1	Act 1 Good	2	Act 1 Magic A	7																	0
Act 1 Cast B	8	5	1	375	1	180		77	gld	9	Act 1 Equip B	15	Act 1 Junk	1	Act 1 Good	2	Act 1 Magic B	7																	0
Act 1 Cast C	8	9	1	375	1	180		77	gld	9	Act 1 Equip C	15	Act 1 Junk	1	Act 1 Good	2	Act 1 Magic C	7																	0
Act 2 Cast A	8	12	1	375	1	180		77	gld	9	Act 2 Equip A	15	Act 2 Junk	1	Act 2 Good	2	Act 2 Magic A	7																	0
Act 2 Cast B	8	15	1	375	1	180		77	gld	9	Act 2 Equip B	15	Act 2 Junk	1	Act 2 Good	2	Act 2 Magic B	7																	0
Act 2 Cast C	8	18	1	375	1	180		77	gld	9	Act 2 Equip C	15	Act 2 Junk	1	Act 3 Good	2	Act 2 Magic C	7																	0
Act 3 Cast A	8	20	1	375	1	180		77	gld	9	Act 3 Equip A	15	Act 3 Junk	1	Act 3 Good	2	Act 3 Magic A	7																	0
Act 3 Cast B	8	22	1	375	1	180		77	gld	9	Act 3 Equip B	15	Act 3 Junk	1	Act 3 Good	2	Act 3 Magic B	7																	0
Act 3 Cast C	8	24	1	375	1	180		77	gld	9	Act 3 Equip C	15	Act 3 Junk	1	Act 3 Good	2	Act 3 Magic C	7																	0
Act 4 Cast A	8	26	1	375	1	180		77	gld	9	Act 4 Equip A	15	Act 4 Junk	1	Act 4 Good	2	Act 4 Magic A	7																	0
Act 4 Cast B	8	29	1	375	1	180		77	gld	9	Act 4 Equip B	15	Act 4 Junk	1	Act 4 Good	2	Act 4 Magic B	7																	0
Act 5 Cast A	8	32	1	375	1	180		77	gld	9	Act 5 Equip A	15	Act 5 Junk	1	Act 5 Good	2	Act 5 Magic A	7																	0
Act 5 Cast B	8	34	1	375	1	180		77	gld	9	Act 5 Equip B	15	Act 5 Junk	1	Act 5 Good	2	Act 5 Magic B	7																	0
Act 5 Cast C	8	36	1	375	1	180		77	gld	9	Act 5 Equip C	15	Act 5 Junk	1	Act 5 Good	2	Act 5 Magic C	7																	0
Act 1 (N) Cast A	8	38	1	375	1	180		77	gld	9	Act 1 (N) Equip A	15	Act 1 (N) Junk	1	Act 1 (N) Good	2	Act 1 (N) Magic A	7																	0
Act 1 (N) Cast B	8	40	1	375	1	180		77	gld	9	Act 1 (N) Equip B	15	Act 1 (N) Junk	1	Act 1 (N) Good	2	Act 1 (N) Magic B	7																	0
Act 1 (N) Cast C	8	41	1	375	1	180		77	gld	9	Act 1 (N) Equip B	15	Act 1 (N) Junk	1	Act 1 (N) Good	2	Act 1 (N) Magic B	7																	0
Act 2 (N) Cast A	8	42	1	375	1	180		77	gld	9	Act 2 (N) Equip A	15	Act 2 (N) Junk	1	Act 2 (N) Good	2	Act 2 (N) Magic A	7																	0
Act 2 (N) Cast B	8	44	1	375	1	180		77	gld	9	Act 2 (N) Equip B	15	Act 2 (N) Junk	1	Act 2 (N) Good	2	Act 2 (N) Magic B	7																	0
Act 2 (N) Cast C	8	45	1	375	1	180		77	gld	9	Act 2 (N) Equip B	15	Act 2 (N) Junk	1	Act 2 (N) Good	2	Act 2 (N) Magic B	7																	0
Act 3 (N) Cast A	8	46	1	375	1	180		77	gld	9	Act 3 (N) Equip A	15	Act 3 (N) Junk	1	Act 3 (N) Good	2	Act 3 (N) Magic A	7																	0
Act 3 (N) Cast B	8	48	1	375	1	180		77	gld	9	Act 3 (N) Equip B	15	Act 3 (N) Junk	1	Act 3 (N) Good	2	Act 3 (N) Magic B	7																	0
Act 3 (N) Cast C	8	50	1	375	1	180		77	gld	9	Act 3 (N) Equip B	15	Act 3 (N) Junk	1	Act 3 (N) Good	2	Act 3 (N) Magic B	7																	0
Act 4 (N) Cast A	8	51	1	375	1	180		77	gld	9	Act 4 (N) Equip A	15	Act 4 (N) Junk	1	Act 4 (N) Good	2	Act 4 (N) Magic A	7																	0
Act 4 (N) Cast B	8	54	1	375	1	180		77	gld	9	Act 4 (N) Equip B	15	Act 4 (N) Junk	1	Act 4 (N) Good	2	Act 4 (N) Magic B	7																	0
Act 5 (N) Cast A	8	57	1	375	1	180		77	gld	9	Act 5 (N) Equip A	15	Act 5 (N) Junk	1	Act 5 (N) Good	2	Act 5 (N) Magic A	7																	0
Act 5 (N) Cast B	8	60	1	375	1	180		77	gld	9	Act 5 (N) Equip B	15	Act 5 (N) Junk	1	Act 5 (N) Good	2	Act 5 (N) Magic B	7																	0
Act 5 (N) Cast C	8	62	1	375	1	180		77	gld	9	Act 5 (N) Equip C	15	Act 5 (N) Junk	1	Act 5 (N) Good	2	Act 5 (N) Magic B	7																	0
Act 1 (H) Cast A	8	99	1	375	1	180		77	gld	9	Act 1 (H) Equip A	15	Act 1 (H) Junk	1	Act 1 (H) Good	2	Act 1 (H) Magic A	7																	0
Act 1 (H) Cast B	8	99	1	375	1	180		77	gld	9	Act 1 (H) Equip B	15	Act 1 (H) Junk	1	Act 1 (H) Good	2	Act 1 (H) Magic B	7																	0
Act 1 (H) Cast C	8	99	1	375	1	180		77	gld	9	Act 1 (H) Equip B	15	Act 1 (H) Junk	1	Act 1 (H) Good	2	Act 1 (H) Magic B	7																	0
Act 2 (H) Cast A	8	99	1	375	1	180		77	gld	9	Act 2 (H) Equip A	15	Act 1 (H) Junk	1	Act 2 (H) Good	2	Act 2 (H) Magic A	7																	0
Act 2 (H) Cast B	8	99	1	375	1	180		77	gld	9	Act 2 (H) Equip B	15	Act 1 (H) Junk	1	Act 2 (H) Good	2	Act 2 (H) Magic B	7																	0
Act 2 (H) Cast C	8	99	1	375	1	180		77	gld	9	Act 2 (H) Equip B	15	Act 1 (H) Junk	1	Act 2 (H) Good	2	Act 2 (H) Magic B	7																	0
