index	*ID	*order	*copied	*legendary	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Blackleach Blade	180	180			100	1		1	1	75	79	9vo	Bill		5	5000	blac	blac						gethit-skill	Blood Hooves	18	25	prop-bloodskilldamage		70	90	att-skill	Bleeding Heart	18	27	dex%		4	4	dru		4	4	att		800	900	dmg%		400	500	oskill	Moo Moo Martial Artist	3	3	oskill	Bovine Barrier	3	3	hp		300	350	pierce-immunity-damage		12	15						0
Heat Of Battle	181	181			100	1		1	1	75	79	9s8	Battle Scythe		5	5000				inv9s8u				oskill	Frigid Winds	3	3	oskill	Fire Totem	3	3	prop-dmgtototem		60	70	enr%		6	6	dru		4	4	gethit-skill	Eldritch Fire	12	20	oskill	Master Of The Wind	3	3	oskill	Righteous Fire	12	12	extra-fire		30	40	att-skill	Falling Cinder	18	20	oskill	Polearm Mastery	3	3	pierce-immunity-fire		10	20		0
Sabertooth Sickle	182	182			100	1		1	1	76	82	9pa	Partizan		5	5000	lgld	lgld						oskill	Frigid Winds	3	3	oskill	Cold Totem	3	3	prop-dmgtototem		60	70	enr%		6	6	dru		4	4	gethit-skill	Frost Bomb	8	20	oskill	Master Of The Wind	3	3	oskill	Frostflower	12	12	extra-cold		30	40	att-skill	Wave of Force	18	20	oskill	Polearm Mastery	3	3	pierce-immunity-cold		10	20		0
Guardian's Gale	183	183			100	1		1	1	78	84	9h9	Bec-de-Corbin		5	5000								att-skill	Razor Winds	18	25	oskill	Shaman Strike	3	3	gethit-skill	Lightning Rod	16	22	dex%		6	6	dru		4	4	kill-skill	Razor Winds	5	28	oskill	Master Of The Wind	3	3	oskill	Guardian Of Wind	3	3	prop-dmgtowind		70	80	dmg%		350	400	oskill	Polearm Mastery	3	3	pierce-immunity-damage		10	20		0
Grim's Burning Dead	184	184			100	1		1	1	91	91	9wc	Grim Scythe		5	5000	cred	cred						nec		6	6	prop-hfproj		5	5	gethit-skill	Hellfire	30	50	att-skill	Skeleton Sentry	15	30	prop-dmgtosummon		80	80	kill-skill	Rupture	10	32	oskill	Revive	3	3	oskill	Shaman Strike	30	30	pierce-immunity-damage		12	15	dmg%		350	400	dmg-pois	25	3000	3000	oskill	Corrosion	6	6		0
Burning Dawn	185	185			100	1		1	1	55	63	8ss	Jo Stalf		5	5000	lpur							oskill	Molten Smash	3	3	att-skill	Falling Cinder	15	25	gethit-skill	Weaken	15	20	enr%		6	6	oskill	Flame Cloak	3	3	dmg-fire		1100	1100	pierce-fire		20	20	extra-fire		30	40	hp		300	350	dmg%		250	325	dmg-max		50	50	dru		3	3		0
Ribcracker	186	186			100	1		1	1	58	62	8ls	Quarterstaff		5	5000	lblu	lblu						oskill	Stonefist	3	3	att-skill	Chi Strike	13	20	gethit-skill	Stonefist	11	18	dex%		3	3	prop-dmgtoearth		40	60	dmg-norm		40	50	hp		300	350	dmg%		250	325	dru		4	4	ac		600	600	dmg-undead		500	500						0
Chromatic Ire	187	187			100	1		1	1	64	72	8cs	Cedar Staff		5	5000				invcstu				oskill	Fade	3	3	dmg-elem-max		1100	1100	enr%		6	6	dmg-norm		46	58	hp		200	300	dmg%		288	374	ac		700	800	oskill	Fade	10	10	sor		3	3	att-skill	Electromagnetic Wave	6	25	att-skill	Twin Peaks	6	25	att-skill	Volcanic Shout	6	25		0
Warpspear	188	188			100	1		1	1	70	78	8bs	Gothic Staff		5	5000	cblu	cblu						sor		5	5	att-skill	Teleport	20	1	gethit-skill	Mind Blast	15	25	att-skill	Bone Spikes	22	32	prop-dmgtochained		40	80	oskill	Volcanic Strike	3	3	dmg-fire		800	1200	ac		200	450	att		700	800	oskill	Enchant	3	3	dmg-max		50	50	dmg%		200	300		0
Skullcollector	189	189			100	1		1	1	73	85	8ws	Rune Staff		5	5000	blac	blac		inv8wsu				att-skill	Acid Skull	25	28	dmg-pois	25	3000	3000	gethit-skill	Corrosion	25	9	sor		5	5	oskill	Flame Cloak	3	3	prop-dmgbombardment		60	70	oskill	Falling Cinder	3	3	ac		200	450	att		700	800	pierce-fire		20	25	pierce-pois		20	25	dmg%		200	300		0
Skystrike	190	190			100	1		1	1	54	63	8sb	Edge Bow		5	5000	dred							hit-skill	Fist of the Heavens	9	28	prop-dmgbombardment		40	50	extra-fire		20	40	oskill	Meteor Arrow	3	3	cast3		50	60	hp		100	450	ama		4	4	pierce-fire		20	25	prop-arrowpower		2	2	dmg-max		100	100										0
Riphook	191	191			100	1		1	1	58	64	8hb	Razor Bow		5	5000	cred	cred						ama		4	4	prop-dmgtoearth		50	60	gethit-skill	Stonefist	14	18	oskill	Bloodborne	5	5	hit-skill	Death Spikes	18	25	hp		100	450	dmg-norm		50	50	dmg%		250	300	prop-arrowpower		4	4	ac		300	350	att		700	800	dex%		4	4		0
Kuko Shakaku	192	192			100	1		1	1	61	72	8lb	CedarBow		5	5000	cgrn	cgrn		inv8lbu				ass		5	5	extra-pois		50	100	gethit-skill	Chi Burst	12	15	kill-skill	Chi Burst	6	15	oskill	Toxic Gases	3	3	hp		150	450	pierce-immunity-poison		14	15	pierce-pois		20	20	oskill	Sludge Wave	3	3	oskill	Poison Vials	3	3	mana%		40	50	enr%		4	4		0
Endlesshail	193	193			100	1		1	1	66	74	8cb	Double Bow		5	5000				invcbwu				ama		4	4	hit-skill	Arrow Hail	16	28	dmg-cold		1200	1300	oskill	Frostborne	8	8	gethit-skill	Arrow Hail	16	28	hp		150	450	pierce-immunity-cold		14	15	pierce-cold		14	15	prop-arrowpower		4	4	ac		300	350	att		700	800	enr%		4	4		0
Stormpiercer	194	194			100	1		1	1	70	74	8s8	Short Siege Bow		5	5000	lblu	lblu		inv8s8u				ama		4	4	hit-skill	Chain Lightning Arrow	12	24	dmg-ltng		1200	1300	oskill	Lightning Speed	4	4	gethit-skill	Electromagnetic Wave	16	28	hp		150	450	pierce-immunity-light		14	15	pierce-ltng		14	15	prop-arrowpower		4	4	ac		300	350	att		700	800	enr%		4	4		0
Cliffkiller	195	195			100	1		1	1	73	74	8l8	Long Siege Bow		5	5000	dgld							ama		4	4	dmg%		300	400	hp		250	300	att		700	900	pierce-immunity-damage		20	20	hit-skill	Wind Strike	18	30	prop-dmgtowind		60	90	mag%		50	60	oskill	Elemental Legend	3	3	prop-arrowpower		4	4	dmg-undead		400	400						0
Magewrath	196	196			100	1		1	1	76	85	8sw	Rune Bow		5	5000	oran			invswbu				ama		5	5	dmg%		100	500	prop-arrowpower		10	10	oskill	Flaming Arrow	3	3	oskill	Frost Arrow	3	3	oskill	Lightning Arrow	3	3	all-stats		30	30	prop-dmgtomultishot		40	100	ease		40	40	dmg-max		100	100	pierce-immunity-damage		10	20	hit-skill	Mind Blast	10	25		0
Godstrike Arch	197	197			100	1		1	1	81	89	8lw	Gothic Bow		5	5000	lgry	lgry						aura	115	15	15	dmg%		400	500	oskill	Heavens Arrow	3	3	att		700	900	dmg-mag		1400	1500	gethit-skill	Warrior Of Light	5	35	light		70	70	prop-dmgtofragment		40	100	ease		40	40	dmg-max		100	100	pierce-immunity-magic		10	20	hit-skill	Shotgun Bolts	10	25		0
Bristle Sting	198	198			100	1		1	1	60	63	8lx	Arbalest		5	5000				inv8lxu				dmg-cold		1	1500	dmg-pois	25	3500	3500	oskill	Frostborne	6	6	oskill	Venom	6	6	oskill	Spirit Shot	3	3	gethit-skill	Weaken	5	35	all-stats		30	30	prop-dmgtofragment		40	50	dmg-max		100	100	swing2		40	40	res-all		37	37	nec		3	3		0
Pus Spiter	199	199			100	1		1	1	66	73	8mx	Siege Crossbow		5	5000	cgrn	cgrn		inv8mxu				hit-skill	Sludge Wave	15	28	dmg-pois	25	3500	3500	oskill	Corrosion	6	6	mana-kill		400	400	dex		50	70	dmg%		300	400	balance2		80	80	dmg-undead		300	400	oskill	Bloodborne	3	3	prop-marksmanship		60	70	res-all		40	40	nec		3	3		0
Buriza-Do Kyanon	200	200			100	1		1	1	84	89	8hx	Balista		5	5000				invhxbu				gethit-skill	Ricochet	28	36	nec		5	5	prop-marksmanship		110	130	oskill	Bone Shot	3	3	oskill	Spirit Shot	3	3	oskill	Ricochet	3	3	swing2		60	60	dex%		5	5	hit-skill	Brain Grenade	20	28	pierce-immunity-damage		10	12	pierce-immunity-magic		10	12						0
Demon Machine	201	201			100	1		1	1	85	89	8rx	Chu-Ko-Nu		5	5000	blac	blac		invrxbu				gethit-skill	Brain Grenade	28	36	prop-bloodskilldamage		110	130	res-all		40	40	nec		5	5	oskill	Brain Grenade	3	3	oskill	Bloodstream	3	3	swing2		60	60	dex%		5	5	att-skill	Spirit Shot	15	24	pierce-immunity-damage		10	12	pierce-immunity-magic		10	12						0
Armor	202	202																						sock		1	1																																														0
Green Beret	203	203			100	1		1	1	54	50	xap	War Hat		3	5000	lgrn	lgrn						sock		1	1	att		600	800	res-all		50	70	hp		300	400	move1		40	50	balance1		30	50	gethit-skill	Slow Missiles	15	20	ac		100	200	allskills		1	1	reduce-ac		12	12										0
Rockstopper	204	204			100	1		1	1	58	67	xkp	Sallet		3	5000				invxkpu				prop-dmgtoearth		40	80	gethit-skill	Stonefist	18	30	oskill	Stonefist	3	3	hp		300	400	oskill	Fade	10	10	oskill	Cloak of Shadows	8	8	att-skill	Stonefist	10	18	dru		2	2	dex%		5	8	dmg-undead		250	400	red-dmg		100	100	red-mag		100	100		0
Stealskull	205	205			100	1		1	1	64	70	xlm	Casque		3	5000				invhlmu				dmg-cold		800	900	extra-cold		30	40	oskill	Skadi's Spear	3	3	hp		300	400	oskill	Avalanche	3	3	bar		2	2	att-skill	Frigid Winds	8	18	prop-dmgtowind		50	60	half-freeze		1	1	ac		200	300	lifesteal		20	20						0
Darksight Helm	206	206			100	1		1	1	69	76	xhl	Basinet		3	5000	blac	blac		invfhlu				light		50	60	oskill	Warrior Of Light	12	14	att		1000	1100	pal		3	3	oskill	Fade	9	12	dmg-undead		300	400	dex		40	50	ac		225	500	oskill	Holy Shield	10	10	hp		325	400	oskill	99	3	3			50			0
Valkiry Wing	207	207			100	1		1	1	78	82	xhm	Winged Helm		3	5000	lgld							sock		1	1	ama		2	2	prop-spearsynergy		70	80	hp		300	400	oskill	Evil Spearit	3	3	oskill	Holy Spearit	3	3	dex		40	50	ac		225	500	half-freeze		1	1	dmg-demon		250	400	red-dmg		100	100	red-mag		100	100		0
Crown of Thieves	208	208			100	1		1	1	85	89	xrn	Grand Crown		3	5000	dgld	dgld		invxrnu				ass		2	2	oskill	Lucky Stars	3	3	oskill	Trap Master	3	3	prop-dmgtotrap		60	80	gethit-skill	Shuriken Spiral	12	25	oskill	Shuriken Spiral	3	3	dex		40	50	ac		225	500	half-freeze		1	1	res-all		50	50	red-dmg		100	100	red-mag		100	100		0
Grimer's Grimace	209	209			100	1		1	1	73	79	xsk	Death Mask		3	5000	blac	blac						nec		2	2	oskill	Bone Shot	3	3	gethit-skill	Ricochet	12	25	dmg-mag		600	800	prop-marksmanship		40	50	hp		150	200	ac		400	500	mana		500	500	red-dmg		100	100	red-mag		100	100	manasteal		20	20						0
Vampiregaze	210	210			100	1		1	1	73	79	xh9	Grim Helm		3	5000	cgrn	cgrn		invbhmu				dru		2	2	oskill	Blood Hooves	3	3	oskill	Chi Strike	3	3	gethit-skill	Bleeding Heart	12	25	prop-bloodskilldamage		40	50	dex		40	50	str		40	50	ac		225	500	red-dmg		100	100	red-mag		100	100	dmg-undead		250	300						0
The Assassins Shroud	211	211			100	1		1	1	54	62	xui	Ghost Armor		3	5000								dex%		5	7	dex		20	30	ass		2	2	oskill	Shuriken Stars	3	3	oskill	Ninja Stars	3		gethit-skill	Ninja Stars	13	12	swing2		20	40	oskill	Dodge	3	3	oskill	Avoid	3	3	oskill	Evade	3	3	att-skill	Mind Blast	12	20						0
Skin of the Vipermagi	212	212			100	1		1	1	70	78	xea	SerpentSkin Armor		3	5000	dblu	dblu						extra-pois		40	70	enr%		10	10	ass		3	3	nec		3	3	oskill	Acid Skull	20	20	oskill	Corrosion	6	6	oskill	Venom	8	8	dmg%		200	400	res-pois		70	80	dmg-undead		200	300	att-skill	Intimidation	12	20	deadly		25	25		0
Flayers Hide	213	213			100	1		1	1	58	66	xla	Demonhide Armor		3	5000	lred	lred						dex%		5	7	str%		5	7	oskill	Death Spikes	3	3	oskill	Bone Spikes	3	3	gethit-skill	Death Spikes	9	30	gethit-skill	Bone Spikes	9	30	nec		3	3	ass		3	3	mana%		60	60	mag%		60	60	prop-dmgtoearth		40	60						0
Stormshard Plate	214	214			100	1		1	1	72	79	xtu	Tresllised Armor		3	5000	dgry	dgry		invxtuu				pal		3	3	sor		3	3	oskill	Scepter Master	15	15	oskill	Judgement Cross	15	15	oskill	Storm Strike	15	15	pierce-immunity-magic		5	5	pierce-ltng		12	12	dmg%		200	400	dmg-ltng		600	800	att-skill	Electrical Storm	8	25	red-dmg		100	100	red-mag		100	100		0
Spiritforge	215	215			100	1		1	1	64	70	xng	Linked Mail		3	5000								ama		3	3	gethit-skill	Holy Spearit	9	38	oskill	Holy Spearit	3	3	light		30	40	oskill	Warrior Of Light	7	7	ac		200	450	dmg%		200	400	red-dmg		100	100	red-mag		100	100	dmg-undead		400	400	prop-dmgbombardment		60	70	res-all		50	50		0
Soul Of The Marksman	216	216			100	1		1	1	67	70	xcl	Tigulated Mail		3	5000								nec		3	3	oskill	Barrage	3	3	oskill	Spirit Shot	3	3	gethit-skill	Spirit Shot	9	38	dmg-mag		800	900	ac		200	450	red-dmg		100	100	red-mag		100	100	prop-dmgtomultishot		40	60	mag%		40	50	res-all		30	40	hp		350	400		0
Hathor's Hide	217	217			100	1		1	1	69	74	xhn	Mesh Armor		3	5000	dgry							dru		3	3	oskill	Moo Moo Martial Artist	3	3	oskill	Bovine Burst	3	3	gethit-skill	Bovine Burst	12	30	red-mag		100	100	red-dmg		100	100	ac%		300	300	prop-dmgtonova		70	80	prop-dmgtowind		70	80	manasteal		14	14	res-all		30	40	hp		350	400		0
Duriel's Shell	218	218			100	1		1	1	73	82	xrs	Cuirass		3	5000	oran	oran						pierce-immunity-poison		15	20	pierce-pois		15	25	cast2		30	40	hp		250	450	enr%		4	4	indestruct		1	1	oskill	Chi Burst	3	3	oskill	Corrosion	3	3	gethit-skill	Poison Vials	8	30	res-all		35	35	ac		400	400						0
Stormlash	219	219			100	1		1	1	75	83	xpl	Russet Armor		3	5000								sor		3	3	gethit-skill	Lightning Orb	8	38	oskill	Lightning Rod	3	3	hp		250	450	enr%		4	4	red-mag		100	100	red-dmg		100	100	prop-dmgtofragment		50	70	att-skill	Storm Strike	9	30	pierce-ltng		15	20	res-all		30	40	half-freeze		1	1		0
Guardian Angel	220	220	1	1	100	1		20	1	91	91	xlt	Templar Coat		3	5000	lgry	lgry						sock		1	1	allskills		2	2	swing2		30	30	hit-skill	Judgement Cross	10	30	dex		40	50	light		50	50	oskill	Storm Strike	12	12	oskill	Heavens Fury	12	12	extra-ltng		30	50	hp		350	400	prop-heavensfurycd		1	1	prop-Torment		1	2		0
Shocktooth	221	221			100	1		1	1	84	89	xld	Sharktooth Armor		3	5000	whit	whit						gethit-skill	Scepter Of Zeus	18	35	oskill	Scepter Of Zeus	3	3	hit-skill	Judgement Cross	10	30	oskill	Scepter Master	3	3	res-ltng-max		8	8	light		50	50	kill-skill	Electrical Storm	5	30	prop-dmgtohoming		60	70	hp		350	400	extra-ltng		25	40	dmg-max		127	127	move2		56	56		0
Atma's Supreme Protection	222	222	1	1	100	1		20	1	91	91	xth	Embossed Plate		3	5000								prop-Torment		1	2	prop-armortoSS		100	100	oskill	Shield Split	3	3	dr%		30	40	gethit-skill	Shield Split	12	30	pal		4	4	oskill	Master Of Magic	3	3	lifesteal		25	25	pierce-immunity-magic		12	14	prop-dmgtoholy		60	80	str		50	70						0
Black Hades	223	223			100	1		1	1	89	89	xul	Chaos Armor		3	5000	blac							bar		4	4	oskill	Baal Sword	3	3	oskill	Zantetsuken	3	3	dr%		30	40	res-all-max		3	3	oskill	Sword Master	3	3	dmg%		200	400	lifesteal		25	25	pierce-immunity-damage		12	14	prop-dmgbombardment		40	60	str		50	70	ac		500	500		0
Horned Warrior's Chestplate	224	224			100	1		1	1	89	89	xar	Ornate Armor		3	5000	blac	blac		invxaru				dru		3	3	att-skill	Electromagnetic Wave	9	38	oskill	Wave Of Light	3	3	gethit-skill	Wave Of Light	10	35	res-all-max		3	3	oskill	Moo Moo Martial Artist	3	3	dmg%		200	400	lifesteal		25	25	pierce-immunity-damage		12	14	att-skill	Chi Strike	5	30	str		50	70	ac		500	500		0
Que-Hegan's Wisdon	225	225			100	1		1	1	89	89	xtp	Mage Plate		3	5000								sor		3	3	att-skill	Cold Totem	7	38	prop-dmgtototem		70	90	att-skill	Storm Totem	7	38	att-skill	Fire Totem	7	38	dmg%		200	400	swing3		40	50	oskill	Lightning Rod	3	3	pierce-immunity-cold		9	9	pierce-immunity-light		9	9	pierce-immunity-fire		9	9	ac		500	500		0
Variable Guard	226	226			100	1		1	1	54	60	xuc	Defender		3	5000	dred			invbucu				allskills		2	2	all-stats		30	30	sock		2	2																																						0
Mosers Blessed Circle	227	227			100	1		1	1	58	62	xml	Round Shield		3	5000				invxmlu				dru		2	2	att-skill	Wave Of Light	8	25	oskill	Wave Of Light	3	3	prop-dmgtonova		35	40	prop-dmgtomeleeexplosion		35	40	ac		150	350	lifesteal		25	25	hp		350	400	red-dmg		100	100	red-mag		100	100	att		600	700						0
Stormchaser	228	228			100	1		1	1	64	72	xrg	Scutum		3	5000	cblu	cblu		invxrgu				att-skill	Lightning Fury	10	20	ama		3	3	dmg-ltng		600	800	prop-dmgtohoming		40	50	gethit-skill	Lightning Rod	15	22	ac		150	350	half-freeze		1	1	str		50	60	str%		3	3	extra-ltng		30	35	oskill	Lightning Fury	3	3						0
Tiamat's Rebuke	229	229			100	1		1	1	69	72	xit	Dragon Shield		3	5000	lgry	lgry		invkitu				gethit-skill	Death Spikes	12	25	ass		3	3	prop-dmgtoearth		40	50	oskill	Death Spikes	3	3	ac		250	400	half-freeze		1	1	cast2		40	50	hp		350	400	red-dmg		100	100	red-mag		100	100										0
Kerke's Sanctuary	230	230			100	1		1	1	78	83	xow	Pavise		3	5000	lgrn	lgrn		invtowu				pal		3	3	dmg-undead		400	400	aura	99	10	10	ac		250	400	res-all		40	50	red-dmg		100	100	red-mag		100	100	dex		40	50	dmg-min		70	80	half-freeze		1	1										0
Radimant's Sphere	231	231			100	1		1	1	87	89	xts	Ancient Shield		3	5000				invgtsu				ama		3	3	oskill	Shattering Javelin	3	3	oskill	Caustic Spear	3	3	att-skill	Shattering Javelin	12	28	dmg-cold		500	900	res-all		40	50	pierce-immunity-cold		10	12	red-mag		100	100	dex		40	50	dmg-min		70	80	half-freeze		1	1						0
Lidless Wall	232	232			100	1		1	1	73	79	xsh	Grim Shield		3	5000	dgld	dgld		invxshu				nec		3	3	gethit-skill	Spirit Circle	12	25	oskill	Skeleton Sentry	3	3	aura	Conviction	3	3	oskill	Bone Storm	3	3	oskill	Spirit Barrage	3	3	pierce-immunity-mag		8	12	red-mag		100	100	dex		40	50	res-all-max		3	3	hp		300	300	hp%		5	5		0
Lance Guard	233	233			100	1		1	1	64	72	xpk	Barbed Shield		3	5000				invxpku				gethit-skill	Razor Winds	12	28	prop-dmgtowind		50	60	oskill	Spear Mastery	12	12	ama		3	3	aura	Fanaticism	5	5	res-all		40	50	pierce-immunity-damage		8	12	oskill	Mind Blast	3	3	dex		40	50	res-all-max		3	3										0
Venom Grip	234	234			100	1		1	1	55	62	xlg	Demonhide Gloves		5	5000	dgrn							ass		2	2	oskill	278	3	3	oskill	Corrosion	3	3	swing2		40	50	cast2		40	50	oskill	Toxic Gases	3	3	att-skill	Chi Burst	5	12	res-pois-max		4	4	aura	Boon Of The Hoarder	3	3	dmg-max		100	100										0
Reapers Touch	235	235			100	1		1	1	58	62	xvg	Sharkskin Gloves		5	5000								prop-bloodskilldamage		50	80	red-mag		80	100	ac		350	450	nec		3	3	dru		3	3	oskill	Blood Hooves	3	3	oskill	Bloodstream	3	3	dmg-min		80	80	oskill	Ravager	8	18	ease		40	40	dmg-max		100	100	res-all		40	60		0
Ghoulhide	236	236			100	1		1	1	66	69	xmg	Heavy Bracers		5	5000								bar		3	3	swing2		40	40	dmg-fire		600	1100	oskill	Frenzy	3	3	aura	Fanaticism	5	5	oskill	Enchant	3	3	dmg-min		80	80	oskill	415	3	3	att-skill	Volcanic Strike	7	25	res-fire-max		4	4	hp%		5	5						0
Lavagout	237	237			100	1		1	1	85	85	xtg	Battle Guantlets		5	5000	lyel							oskill	Righteous Fire	3	3	oskill	Runic Hammer	3	3	dmg-fire		600	1100	oskill	Judgement Cross	3	3	dmg-fire		600	1100	dmg-mag		600	1100	dmg-min		80	80	oskill	Scepter Master	3	3	pal		3	3	ac		500	500										0
Glacierclash	238	238			100	1		1	1	82	86	xhg	War Gauntlets		5	5000								oskill	Shatter Arrow	3	3	hit-skill	Shatter Arrow	8	40	hit-skill	Arrow Hail	8	40	oskill	Frost Arrow	3	3	pierce-immunity-cold		10	12	dmg-cold		600	1100	prop-dmgtofragment		30	50	prop-dmgtomultishot		30	50	aura	Crippling Wave	14	14	dmg-max		100	100	swing2		20	25	res-cold-max		3	3		0
Stormstride	239	239			100	1		1	1	55	62	xlb	Demonhide Boots		5	5000								oskill	Tesla Claw	3	3	att-skill	Tesla Claw	6	20	oskill	Chi Burst	3	3	prop-dmgtomeleeexplosion		30	35	pierce-ltng		10	12	dmg-ltng		500	800	oskill	Lightning Speed	2	2	oskill	Fade	3	3	oskill	Electromagnetic	8	8	dmg-max		60	60	reduce-ac		12	12						0
Waterwalk	240	240			100	1		1	1	60	73	xvb	Sharkskin Boots		5	5000								res-cold-max		4	4	res-fire-max		4	4	res-cold		50	70	res-fire		50	70	vit%		4	4	oskill	Dodge	3	3	oskill	Avoid	3	3	oskill	Evade	3	3	aura	Crippling Wave	5	5	gethit-skill	Frozen Fortress	15	10	oskill	Flame Cloak	6	6						0
Silkweave	241	241			100	1		1	1	66	72	xmb	Mesh Boots		5	5000								oskill	Wave Of Light	3	3	oskill	Chi Strike	3	3	dru		2	2	prop-dmgtonova		30	40	vit%		4	4	oskill	Dodge	3	3	oskill	Avoid	3	3	oskill	Evade	3	3	aura	Crippling Wave	5	5	ac		200	250	res-all		30	30						0
Step Of The Swordsman	242	242	1	1	100	1		20	1	91	91	ulb	Wyrmhide Boots		5	5000								prop-Torment		1	2	prop-swordsplosioncdr		1	1	bar		5	5	prop-dmgtofragment		50	60	dex%		7	7	dmg%		300	300	oskill	Swordsplosion	3	3	att-skill	Flaming Sword Nova	5	50	hp		300	300	res-all		30	30	dmg-max		50	50	pierce-immunity-damage		5	5		0
Gorerider	243	243			100	1		1	1	82	89	xhb	War Boots		5	5000	dred							oskill	Bleeding Heart	3	3	prop-bloodskilldamage		40	50	dru		3	3	nec		3	3	gethit-skill	Brain Grenade	10	27	dmg%		300	300	aura	Meditation	12	12	hp		300	300	res-all		30	30	dmg-max		50	50	pierce-immunity-damage		10	10						0
String of Ears	244	244			100	1		1	1	75	80	zmb	Mesh Belt		5	5000	lred							ass		3	3	att-skill	Ninja Stars	10	26	prop-dmgtotrap		40	50	res-all		30	40	dex%		3	3	str%		3	3	lifesteal		10	10	oskill	Chi Burst	3	3	pierce-immunity-damage		5	5	dmg-max		50	50										0
Razortail	245	245			100	1		1	1	75	80	ztb	Mesh Belt		5	5000								dru		3	3	att-skill	Bovine Burst	10	26	prop-dmgtowind		40	50	res-all		30	40	dex%		3	3	str%		3	3	lifesteal		10	10	oskill	Guardian Of Wind	3	3	pierce-immunity-damage		5	5	dmg-max		50	50										0
Gloomstrap	246	246			100	1		1	1	75	80	zmb	Mesh Belt		5	5000								bar		3	3	att-skill	Forcewave	10	26	prop-dmgtochained		40	50	res-all		30	40	dex%		3	3	str%		3	3	lifesteal		10	10	oskill	Arcane Warrior	3	3	pierce-immunity-damage		5	5	dmg-max		50	50										0
Snowclash	247	247			100	1		1	1	75	80	ztb	Mesh Belt		5	5000								sor		3	3	att-skill	Snowball	10	26	extra-cold		40	50	res-all		30	40	dex%		3	3	str%		3	3	lifesteal		10	10	oskill	Frost Bomb	3	3	pierce-immunity-cold		5	5	dmg-max		50	50										0
Thudergod's Vigor	248	248			100	1		1	1	75	80	zhb	Mesh Belt		5	5000								pal		3	3	att-skill	Runic Hammer	10	26	prop-dmgtomeleeexplosion		40	50	res-all		30	40	dex%		3	3	str%		3	3	lifesteal		10	10	oskill	Elemental Legend	3	3	pierce-immunity-magic		5	5	dmg-max		50	50										0
Elite Uniques	249	249																																																																							0
Harlequin Crest	250	250	1	11	100	1		1	1	98	98	uap	Shako		3	5000	blac	blac						sock		2	2	hit-skill	Greater Life Tap	10	5	dmg%		500	500	allskills		3	3	all-stats		30	30	prop-Torment		11	12	res-all-max		3	3	res-mag		25	25	ac		500	500	nofreeze		1	1	dmg-max		100	100	mdr%		25	25		0
Veil of Steel	251	251			100	1		1	1	91	91	uhm	Spired Helm		3	5000	lgry	lgry						bar		4	4	gethit-skill	Dispersion Strike	20	45	prop-dmgtochained		90	120	red-dmg%		20	20	ac		550	600	str%		11	12	res-all		40	60	oskill	Arcane Warrior	3	3	pierce-immunity-damage		10	10	mdr%		10	10										0
The Gladiator's Bane	252	252			100	0		1	1	91	91	utu	Wire Fleece		3	5000	lgry	lgry						sock		1	1	dmg-ltng		200	200	deadly		66	66	lifesteal		58	58	swing2		107	107	dmg-mag		240	240	str		135	135	indestruct		1	1	att%		300	300	pal		5	5	ac%		511	511	oskill	91	2	2		0
Electromagnetic Wear	253	253	1	1	100	1		20	1	91	91	upl	Balrog Skin		3	5000	lred	lred						prop-LRduration		150	150	ac		600	600	ac%		300	310	oskill	Fade	6	6	hp		250	300	extra-ltng		35	40	sor		2	2	str		50	70	prop-Torment		1	2	oskill	Lightning Rod	3	3	aura	113	7	7	gethit-skill	Electromagnetic wave	12	35		0
Frozen Fate	254	254	1	1	100	1		20	1	91	91	uml	Luna		3	5000				invsmlu				prop-Torment		1	2	prop-coldtotemrate		3	3	mana-kill		400	500	gethit-skill	Shattering Javelin	15	40	dru		3	3	extra-cold		50	70	ac		1200	1200	res-cold-max		3	3	bothdr		150	180	oskill	Holy Shield	8	8	aura	Meditation	12	12	oskill	Cold Totem	3	3		0
Chained Memories	255	255	1	1	100	1		20	1	91	91	uit	Monarch		3	5000				invkitu				sock		1	1	prop-chainedwarmth		3	4	prop-Torment		1	2	bothdr		100	100	ac		550	550	oskill	Holy Shield	3	3	res-all-max		3	3	oskill	Frigid Winds	12	12	gethit-skill	Dispersion Strike	25	40	sor		2	2	dmg-max		100	100	lifesteal		25	25		0
Hellslayer	256	256	1	1	100	1		20	1	91	91	7bt	Decapitator		5	5000	dred	dred		invbtxu				prop-moeexp		7	7	prop-dmgtomeleeexplosion		60	60	att-skill	Molten Smash	15	50	bothdr		175	200	oskill	Arcane Warrior	3	3	bar		6	6	dmg-fire		2400	2400	str		80	80	oskill	Intimidation	3	3	swing2		50	60	reduce-ac		30	35	prop-Torment		1	2		0
