skill	*type	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
MephistoMissile		334														mephisto																																																																																			mephisto													1	0		none												SC	SC	A2																													1															0	0									1																																															1								8																																					0	0
DoomKnightMissile		335				148													undeadmissile1																																																																											94						undeadmissile1												1	0		none												SC	SC	S1																													1															0	0									1																																															1								8																																					0	0
RogueMissile		336				110													rogue1																																																																											66						rogue1												1	0		none												A1	A1	A1																													1															0	0									1																																															1								8																																					0	0
HydraMissile		337														hydra																																																																																			hydra													1	0		none												SC	SC	SC																													1															0	0									1																																															1								8																																					0	0
NecromageMissile		338				149													necromage1																																																																											95						necromage1												1	0		none												SC	SC	A1																													1															0	0									1																																															1								8																																					0	0
MonBow		339			4											cr_arrow6																																																																													11						cr_arrow6													1	0		rng												A1	A1	A1				1																									1															0	0									1																																															1								8	128																																				0	0
MonFireArrow		340			4											firearrow																																																																													11						firearrow													1	0		rng												A1	A1	A1				1																									1															0	0									1																																															1	10	10						8	128														fire	1	8	8	8	8	8	4	9	9	9	9	9										0	0
MonColdArrow		341			4											coldarrow																																																																													11						coldarrow													1	4		rng												A1	A1	A1				1																									1															0	0									1																																															1	10	10						8	128														cold	1	7	7	7	7	7	4	8	8	8	8	8		100	25	25	25					0	0
MonExplodingArrow		342			4											explodingarrow																																																																													11						explodingarrow													1	5		rng												A1	A1	A1				1																									1															0	0									1																																															1	10	10						8	128														fire	2	8	8	8	8	8	6	9	9	9	9	9										0	0
MonFreezingArrow		343			4											freezingarrow																																																																													11						freezingarrow													1	7		rng												A1	A1	A1				1																									1															0	0									1											par1	damage radius											5	Radius of impact																							1	10	10						8	128														cold	2	7	7	7	7	7	6	8	8	8	8	8		100	25	25	25					0	0
MonPowerStrike		344			6	2																																																																																																										1	4		h2h												A1	A1	A1				1		1	1								1														1															0	0									1																	0	% Damage Dealt as Elemental (Used only if there is an Etype)																													1	20	15						8	128														ltng	1	0	0	0	0	0	16	12	12	12	12	12										0	0
SuccubusBolt		345			4											succubusmiss																																																																													11						succubusmiss													1	0		rng												SC	SC	S2				1																									1															0	0									1																																															1								8															mag	10	2	4	6	6	6	15	2	5	7	7	7										0	0
MephFrostNova		346				22													mephfrostnova	mephfrostnova	mephfrostnova																																																										sorceress_cast_cold															25						frostnova				0	Missile Velocity Adder							1	6		none												SC	SC	A2																				1									1															0	0									1											0	Missile Velocity Adder																																			1								8															cold	40	20	20	20	20	20	60	20	20	20	20	20		200	50	50	50					0	0
MonIceSpear		347			6	2																																																																																																										1	4		h2h												A1	A1	A1				1		1	1								1														1															0	0									1																																															1	20	15						8	128														cold	10	8	8	8	8	8	14	9	9	9	9	9		125	25	25	25					0	0
ShamanIce		348														glacialspike											ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																			sorceress_cast_cold																				glacialspike													1	7		none												SC	SC	xx																				1									1															0	0									1																							4	Radius baseline	0	Radius per level	50	Freeze Length baseline	3	Freeze Length per level																	1								8															cold	4	10	14	14	14	14	12	10	15	15	15	15		125	50	50	50					0	0
Diablogeddon		349				124													diablogeddoncontrol	diablogeddoncontrol	diablogeddoncontrol				armageddon		ln12	par3																																																			druid_firecast_a																	92				diablogeddontail	diablogeddonrock			25	Missile Frames	25	Missile Fall Rate	15	Missile Slide Rate			1	0		none												SC	SC	S3				1																									1															0	0									1																							1000	Duration baseline	50	Duration per level	8	Radius	8	Delay between Missiles created																	1								8		4	4	6	8	10	12	16	4	7	9	12	14		fire	25	15	20	25	30	35	75	16	22	27	33	38										0	0
Delerium Change		350		delerium change		116																			delerium		1500		velocitypercent	33	attackrate	33	other_animrate	33																																																											45																			1	0		none												SC	SC	NU				1																1									1															0	0																																																						0	Allow Instant Direct Transformation	1								8																																					0	0
NihlathakCorpseExplosion		351			17	55																						"min(30,16+lvl)"																																																		1	necromancer_corpse_cast								necromancer_corpseexp_1						21	32						corpseexplosion	explodingarrowexp	redlightmissile										1	0		none												SC	SC	xx								1		1	1									1									1															0	0									1											par1	Damage % of base HP for enemy Min	par2	Damage % of base HP for enemy Max	par5	% Damage Dealt as Elemental							10	Damage % of base HP for enemy Min	20	Damage % of base HP for enemy Max					50	Damage % Dealt as Elemental															1								8															fire																						0	0
SerpentCharge		352			31	67																																																																																							25	37																		1	2		none												SQ	A1	xx	4					1	1								1														1															0	0																				ln34	Damage %	0	Velocity %			0	% Damage Dealt as Elemental (Used only if there is an Etype)					150	Velocity %			0	Damage % baseline	0	Damage % per level																	1	50	15						8	128																																				0	0
Trap Nova		353				22													trapnova	trapnova	trapnova																																																										sorceress_cast_lightning											light_cast_1				25						trapnova				0	Missile Velocity Adder							1	2		none												SC	SC	xx																										sorceress_cast_lightning			1															0	0																				0	Missile Velocity Adder																																			1								8																																					0	0
UnHolyBoltEx		354														unholybolt1																																																																																			unholybolt1													1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
ShamanFireEx		355														shafire1																																																																																			shafire1													1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
Imp Fire Missile Ex		356														impmiss21																																																															sorceress_cast_fire											fist_will_cast									impmiss21													1	0		none												A1	A1	A1																													1															0	0									1											lvl-1	range adder																																			1								8																																					0	0
Interact		357		interact																																																																																																													0		none														xx																													1															0	0																																																								1																																													0	0
Loot		358		loot																																																																																																													0		none														xx																													1															0	0																																																								1																																													0	0
TownPortal		359		townportal																																																																																																													0		none														xx																													1															0	0																																																								1																																													0	0
EmoteWheel		360		emotewheel																																																																																																													0		none														xx																													1															0	0																																																								1																																													0	0
SwapWeapons		361		swapweapons																																																																																																																																																																									0	0																																																																																																					0	0
Map		362		map																																																																																																																																																																									0	0																																																																																																					0	0
ShowItems		363		showitems																																																																																																																																																																									0	0																																																																																																					0	0
RunToggle		364		runtoggle																																																																																																																																																																									0	0																																																																																																					0	0
MonHolyFreeze		365				81																		303747	holywind	holywindcold		ln12	velocitypercent	-dm34	attackrate	-dm34	other_animrate	-dm34																coldmindam	enms*par5/256	coldmaxdam	exms*par5/256																																																											1	8		none														xx																													18	60														0	1									1	1	1		50																			6	Radius baseline	1	Radius per level	25	Slow % Min	60	Slow % Max	5	Damage multiplier added to Attacks	0	"Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)"	7	Damage synergy	15	Damage synergy									1				16385				8															cold	2	1	2	3	4	5	3	1	2	3	4	5									640	16000	0
MonLeap		366			40	77													leapknockback									dm12																																																		1		barbarian_leap_1													29	43																		1	0		none												SQ	A1	xx	13		1		4																								6	60														0	0									1											ln34	Knockback Radius	par7	Leap Speed %									4	Range Min	30	Range Max	4	Knockback Radius baseline	1	Knockback Radius per level					100	Leap Speed %											1								8																																				384	3000	0
MonLeapAttack		367			41	78																	bash																																																							1		barbarian_leapattack_1													30	44																		1	6		none		mele										SQ	A1	xx	14		1		4	1																							18	60														0	0									1											ln34	Damage %	par7	Leap Speed %			0	% Damage Dealt as Elemental									100	Damage % baseline	30	Damage % per level					100	Leap Speed %	10	Damage synergy									1	50	15						8	128																																			640	16000	0
MonHolyFire		368				66																		42883	holyfire			ln12																						firemindam	enms*par5/256	firemaxdam	exms*par5/256																																																											1	0		none														xx																													6	60														0	1									1	1	1		50																			6	Radius baseline	1	Radius per level					6	Damage multiplier added to Attacks	0	"Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)"	6	Damage synergy	18	Damage synergy									1				16385				7															fire	2	1	2	3	5	7	6	1	2	3	5	7									384	3000	0
MonHolyShock		369				66																		42883	holyshock			ln12																						lightmindam	1	lightmaxdam	exms*par5/256																																																											1	4		none														xx																													24	60														0	1									1	1	1		50																			6	Radius baseline	1	Radius per level					6	Damage multiplier added to Attacks	0	"Area Damage % Range Scaling (from 100% to 100+X% damage, based on how close the enemy position is to the caster)"	4	Damage synergy	12	Damage synergy									1				16385				8															ltng	1						10	6	8	10	12	15									768	32000	0
Fire Arrow		7		fire arrow	4											firearrow	1																																																																												11						firearrow													1	0		rng		miss										A1	A1	xx				1													1												1	20														1	1					1	5	24	0	1																																					12	Damage synergy									1	10	9						8	128														fire	3	6	9	18	36	72	12	6	9	21	42	81									256	1000	0
Cold Arrow		11		cold arrow	4											coldarrow	1																																																																												11						coldarrow													1	4		rng		miss										A1	A1	xx				1													1												6	20														1	1					1	5	3	1	1																																					12	Damage synergy									1	10	9						7	128														cold	18	12	15	24	48	126	24	12	15	27	51	132	(skill('Ice Arrow'.blvl)) * par8	100	90	90	90				384	3000	0
Multiple Shot		12		multiple shot	4	8											1		multipleshotarrow	multipleshotbolt																																																																									11	17						multipleshotarrow	multipleshotbolt											1	7		rng		miss										A1	A1	xx				1													1												6	20														1	1					1	8	4	1	1											9	# of Missiles created	par3	Missile Activation Frame	2	# of missiles that can trigger item modifier events			10*(stat('dmgtomultishot'.accr))	% Damage Synergy			2	# of Missiles created baseline	1	# of Missiles created per level	1	Missile Activation Frame	12	Damage % per level																	1	100	30						8	96																																			384	3000	0
Exploding Arrow		16		exploding arrow	4											explodingarrow	1																																																																												11						explodingarrow													1	5		rng		miss										A1	A1	xx				1													1												12	20														1	1					1	6	20	1	1																																															1	20	9						8	128														fire	15	18	36	42	48	60	39	21	39	45	54	69									512	8000	0
Ice Arrow		21		ice arrow	4											icearrow	1																																																																												11						icearrow													1	6		rng		miss										A1	A1	xx				1													1												18	20														1	1					1	6	16	1	1																																			5	Freeze Length synergy	8	Damage synergy									1	20	9						8	128														cold	18	18	36	54	78	108	30	18	39	57	81	114	(skill('Cold Arrow'.blvl))*par8	50	15	15	15	(skill('Freezing Arrow'.blvl)) * par7			640	16000	0
Guided Arrow		22		guided arrow	4	10											1		guidedarrow	guidedarrow	guidedarrow																																																																								11	18						guidedarrow	guidedarrow	guidedarrow										1	4		rng		miss										A1	A1	xx				1													1												18	20														1	1					1	6	32	-1	1											ln34 + (skill('Multiple Shot'.blvl)*par8)	Damage %															0	Damage % baseline	7	Damage % per level							12	Damage synergy									1								8	128																																			640	16000	0
Penetrate		23		penetrate																																											penetrate			item_tohit_percent	ln12																																																													1	1		rng		spea	miss											xx																													18	20														0	0					0	8	0	0	1								1															35	% Chance baseline	10	% Chance per level																					1								8																																				640	16000	0
Strafe		26		strafe	8	12													strafearrow	strafebolt								par5																																																			amazon_dodge_1					paladin_charge									13	20						multipleshotarrow	multipleshotbolt											1	0		rng		miss										A1	A1	xx				1													1												24	20														1	1					1	8	11	0												"min(par3 + lvl - 1, par4)"	Minimum # of Missiles created	ln12 + (skill('Guided Arrow'.blvl)*par8) + (skill('Multiple Shot'.blvl)*par9)	Damage %	2+lvl/4	Maximum # of Missiles created							5	Damage % baseline	5	Damage % per level	4	# of shots fired Min (+1 per level)	10	# of shots fired Max	35	Radius	50	% Anim frame rollback			10	Damage synergy	5	Damage Synergy							1	30	9						8	128																																			768	32000	0
Immolation Arrow		27		immolation arrow	4											immolationarrow	1																																																																												11						immolationarrow													1	6		rng		miss										A1	A1	xx				1													1												24	20												15		1	1					1	6	24	1	1											par1	Radius of Disc of Missiles	par2	Explosion Damage Radius									3	Radius of Disc of Missiles	4	Explosion Damage Radius											10	Damage synergy									1	30	9						8	128														fire	36	36	69	102	108	114	69	36	69	102	108	114	(skill('Exploding Arrow'.blvl)) * par8								768	32000	0
Strafe 		383		strafe	8	12													strafearrow	strafebolt								par5																																																			amazon_dodge_1					paladin_charge									13	20						multipleshotarrow	multipleshotbolt											1	0		rng		miss										A1	A1	xx				1													1			1									24	20														1	1					1	8	11	0												"min(par3 + lvl - 1, par4)"	Minimum # of Missiles created	ln12 + (skill('Guided Arrow'.blvl)*par8) + (skill('Multiple Shot'.blvl)*par9)	Damage %	2+lvl/4	Maximum # of Missiles created							5	Damage % baseline	5	Damage % per level	4	# of shots fired Min (+1 per level)	10	# of shots fired Max	35	Radius	50	% Anim frame rollback			10	Damage synergy	5	Damage Synergy							1	30	9						8	128																																			768	32000	0
Freezing Arrow		31		freezing arrow	4											freezingarrow	1																																																																												11						freezingarrow													1	7		rng		miss										A1	A1	xx				1													1												30	20														1	1					1	6	36	1	1											par1	Damage Radius											5	Radius of impact											5	Freeze Length synergy	12	Damage synergy									1	40	9						8	128														cold	240	60	90	120	132	144	300	60	90	120	132	144	(skill('Cold Arrow'.blvl))*par8	50				(skill('Ice Arrow'.blvl)) * par7			896	64000	0
Lightning Strike		34		lightning strike	10	14													lightningstrike	lightningstrike	lightningstrike							par1																																																																								lightningstrike	lightningstrike	lightningstrike										1	8		h2h		spea										A1	A1	xx				1		1	1								1		1												30	20														1	1					1	8	9	0	1											20	Range of Bolt Missiles	ln34	# of target jump hits			0	% Damage Dealt as Elemental (Used only if there is an Etype)					20	Radius of jump to next target			2	# of target jump hits baseline	1	# of target jump hits per level							11	Damage synergy									1								8															ltng	2	0	0	0	0	0	50	20	30	40	50	60	(skill('Charged Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)) * par8								896	64000	0
Power Strike 		14		power strike	6	2																																																																																																										1	4		h2h		spea										A1	A1	xx				1		1	1								1		1			1									6	20														1	1					1	6	8	1	1																	0	% Damage Dealt as Elemental (Used only if there is an Etype)																			14	Damage synergy									1	20	25						8	128														ltng	3	0	0	0	0	0	48	54	108	162	216	270	(skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Charged Strike'.blvl)) * par8								384	3000	0
Fire Bolt		36		fire bolt		8										firebolt			firebolt	firebolt	firebolt																																																										sorceress_cast_fire											fire_cast_1				17					firebolt	firebolt	firebolt	firebolt										1	2		none												SC	SC	xx																	1			1						sorceress_cast_fire			1	20														1	1					1	7	5	0	1											5		1		1																						16	Damage synergy									1								7															fire	48	58	115	134	154	192	125	67	125	144	173	221									256	1000	0
Charged Bolt		38		charged bolt		17													chargedbolt	chargedbolt	chargedbolt																																																										sorceress_cast_lightning											light_cast_1				23						chargedbolt												1	1		none												SC	SC	xx																	1			1						sorceress_cast_lightning			1	20														1	1					1	5	24	4	1											"min(24,ln12)"	# of Bolt Missiles created											3	# of Bolt Missiles created baseline	1	# of Bolt Missiles created per level											6	Damage synergy									1								7															ltng	24	6	6	12	18	24	48	6	6	12	18	24	(skill('Lightning'.blvl))*par8								256	1000	0
Ice Bolt		39		ice bolt												icebolt																																																															sorceress_cast_cold											ice_cast_1									icebolt													1	5		none												SC	SC	xx																	1			1						sorceress_cast_cold			1	20														1	1					1	8	3	0	1																																					15	Damage synergy									1						48		7															cold	36	12	24	36	48	60	60	18	30	42	54	66	(skill('Frost Nova'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl)+skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8	150	35	35	35				256	1000	0
Frozen Armor		40		frozen armor		18																			frozenarmor		ln34+(skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12											damagedinmelee	2																																					sorceress_cast_cold				sorceress_frozenarmor							ice_cast_1	frozenarmor_hit																					1	0		none												SC	SC	xx																				1						sorceress_cast_cold	ice_cast_1		1	20														0	1					1	8	7	0	1	1										ln56*(100+((skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par8))/100	Freeze Length											30	Armor % baseline	5	Armor % per level	3600	Buff Duration	300	Buff Duration per level	30	Freeze Length baseline	3	Freeze Length per level	250	Buff Duration synergy	5	Freeze Length synergy									1								8																																		1		256	1000	0
Inferno		41		inferno	11	19													newinferno	newinferno	newinferno							ln12/4-2																																																																	15	24						newinferno	newinferno											1	7		rng												SQ	SQ	xx	6	10															1	1	1										6	20														1	1	1			6	0	2	24	1	1											ln12/2	Range (Duration of Missile) (Min=1)	20	Duration to channel if caster is a Monster (Min=1)									35	Range baseline (Duration of missile)	3	Range per level (Duration of missile)	4	Min Mana required to start casting									16	Damage synergy									1								3															fire	108	72	90	102	114	126	216	75	93	105	117	129	(skill('Warmth'.blvl))*par8								384	3000	0
Static Field		42		static field		20																		34691				ln12																																																			sorceress_cast_lightning											light_cast_1																						1	10		none												SC	SC	xx					4															1						sorceress_cast_lightning			6	20														0	1					1	8	9	0	1											par4	HP % Damage	par3	Minimum Damage value									5	Radius baseline	1	Radius per level	0	Minimum Damage value	25	HP % Damage																	1								8															ltng																					384	3000	0
Ice Blast		45		ice blast												iceblast																																																															sorceress_cast_cold											ice_cast_1									iceblast													1	6		none												SC	SC	xx																	1			1						sorceress_cast_cold			6	20														1	1					1	7	12	1	1																							75	Freeze Length baseline	5	Freeze Length per level									10	Freeze Length synergy	8	Damage synergy									1								7															cold	32	28	56	84	112	140	48	30	58	86	114	142	stat('energy'.accr)	75	5	5	5	(skill('Glacial Spike'.blvl))*par7			384	3000	0
Frost Nova		44		frost nova		22													frostnova	frostnova	frostnova																																																										sorceress_cast_cold											ice_cast_2				25						frostnova				35	Missile Velocity Adder							1	6		none												SC	SC	SC																	1			36	10					sorceress_cast_cold			6	20														0	1					1	8	9	1	1											0	Missile Velocity Adder																									10	Damage synergy									1								7															cold	26	40	53	66	79	92	53	46	59	73	86	99	(skill('Blizzard'.blvl)+skill('Frozen Orb'.blvl))*par8	200	25	25	25				384	3000	0
Blaze		46		blaze		23													blaze	blaze	blaze				blaze		dm12																							velocitypercent	ln34																												sorceress_cast_fire											fire_cast_2									blaze	firewall	firesmall	firemedium										1	3		none												SC	SC	xx																	1			1									12	20														0	1					1	7	22	1	1																							50	Buff Duration Min	500	Buff Duration Max	2	Velocity % baseline	2	Velocity % per level							6	Damage synergy									1								4															fire	12	9	15	21	27	33	24	9	18	24	30	36	skill('Warmth'.blvl)*par8								512	8000	0
Fire Ball	earth	47		fire ball												fireball																																																															sorceress_cast_fire											fire_cast_2									fireball													1	5		none												SC	SC	xx																	1			1						sorceress_cast_fire			12	20														1	1					1	7	10	1	1											par1	Explosion Radius											8	Explosion Radius													14	Damage synergy									1								7															fire	108	117	207	252	297	342	252	135	225	270	315	360	stat('energy'.accr) + stat('dmgtoearth'.accr)								512	8000	0
Nova		48		nova		22													nova	nova	nova																																																										sorceress_cast_lightning											light_cast_1				25						nova				0	Missile Velocity Adder							1	2		none												SC	SC	xx																	1			36	10					sorceress_cast_lightning			12	40														0	1					1	8	13	1	1											0	Missile Velocity Adder																									5	Damage synergy									1								8															ltng	23	135	158	180	203	225	450	180	203	225	248	270	(skill('Static Field'.blvl))*par8								512	8000	0
Lightning		49		lightning												lightningbolt																																																															sorceress_cast_lightning											light_cast_1									lightningbolt													1	6		none												SQ	SC	xx	12			1													1			1						sorceress_cast_lightning			12	20														1	1					1	7	16	1	1																																					8	Damage synergy									1								8															ltng	8	0	0	0	0	0	300	60	90	150	210	270	(skill('Charged Bolt'.blvl)+skill('Chain Lightning'.blvl)+skill('Nova'.blvl))*par8								512	8000	0
Shiver Armor		50		shiver armor		18																			shiverarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12											attackedinmelee	3																																					sorceress_cast_cold				sorceress_shiverarmor							ice_cast_2	shiverarmor_hit									sparkle				10	Sparkle Missile Delay	5	Sparkle Missile Radius	3	Sparkle Missile Height			1	0		none												SC	SC	xx																										sorceress_cast_cold	ice_cast_3		12	20												120		0	1					1	8	11	0	1	1																						45	Armor % baseline	6	Armor % per level	3600	Buff Duration	300	Buff Duration per level					250	Buff Duration synergy	9	Damage synergy									1								7															cold	270	135	180	225	270	315	360	158	203	248	293	338	(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par8	100		25	50				512	8000	0
Firewall		51		fire wall		24													firewallmaker	firewall																																																											sorceress_cast_fire											fire_cast_2				26						firewallmaker												1	4		none												SC	SC	SC					4				1											1						sorceress_cast_fire			18	20												35		0	1					1	8	22	1	1											par1	# of max Fire Walls (oldest is removed when the limit is hit)											0	# of max Fire Walls (oldest is removed when the limit is hit)											1	Damage synergy	4	Damage synergy									1								4															fire	338	203	315	473	473	473	450	203	315	473	473	473	(skill('Warmth'.blvl)*par8+skill('Inferno'.blvl)*par7								640	16000	0
Chain Lightning		53		chain lightning		26													chainlightning	chainlightning	chainlightning							par1																																																			sorceress_cast_lightning											light_cast_1				27						chainlightning	chainlightning	chainlightning										1	2		none												SQ	SC	SC	12			1													1			151	96					sorceress_cast_lightning			18	20					Lightning									1	1					1	8	9	1	1											ln34/par5	# of target jump hits											20	Radius of jump to next target			26	# of target jump hits baseline	1	# of target jump hits per level	5	"Every # levels, increase target jump"					4	Damage synergy									1								8															ltng	8	0	0	0	0	0	300	83	98	113	113	113	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl)+skill('Nova'.blvl))*par8								640	16000	0
Chilling Armor		60		chilling armor		18													chillingarmorbolt						chillingarmor		ln34+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par7		skill_armor_percent	ln12											hitbymissile	1																																					sorceress_cast_cold				sorceress_shiverarmor							ice_cast_3	chillarmor_hit									chillingarmorbolt												1	5		none												SC	SC	xx																				1						sorceress_cast_cold			24	20					Shiver Armor									0	1					1	8	17	0	1	1																						60	Armor % baseline	9	Armor % per level	3600	Buff Duration	300	Buff Duration per level					250	Buff Duration synergy	9	Damage synergy									1								7															cold	120	60	75	90	105	120	150	68	83	98	113	128	(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par8	100		25	50		1		768	32000	0
Blizzard		59		blizzard		28													blizzardcenter	blizzardcenter	blizzardcenter																																																										sorceress_cast_cold											ice_cast_3				28						blizzardcenter												1	7		none												SC	SC	xx					4				1								1			1						sorceress_cast_cold	ice_cast_3		24	20												45		0	1					1	8	23	1	1											par1	Radius for Area of Effect	par3	Missile Spawn Rate									7	Radius for Area of Effect			4	Missile Spawn Rate									5	Damage synergy									1								8															cold	338	113	225	338	413	488	563	120	233	345	420	495	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl))*par8	100							768	32000	0
Thunder Storm		57		thunder storm	13	29													thunderstorm1						thunderstorm		ln12																																																				sorceress_thunder_cast									lightning		light_cast_2						84				thunderstorm1												1	5		none												SC	SC	xx																				29									1	20														0	1					1	8	19	0	1			1	(100-dm56) * par4/100 + par3																			3600	Buff Duration baseline	600	Buff Duration per level	25	Periodic Damage Rate Min	100	Periodic Damage Rate Multiplier	0	Min % reduction of periodic damage rate	100	Max % reduction of periodic damage rate	17	Radius	7	Damage synergy									1								8															ltng	8	75	75	83	83	83	750	75	75	83	83	83									768	32000	0
Meteor		56		meteor		28													meteorcenter	meteorcenter	meteorcenter							ln12																																																			sorceress_cast_fire				sorceress_meteor							fire_cast_2				28						meteorcenter												1	6		none												SC	SC	xx					4				1								1			1						sorceress_cast_fire	fire_cast_2		24	20												30		0	1					1	7	34	1	1											ln12	Explosion Radius											6	Explosion Radius baseline	0	Explosion Radius per level	30	Duration of ground fire baseline	15	Duration of ground fire per level							5	Damage synergy									1								8															fire	600	173	293	593	608	623	750	188	308	608	623	638	(skill('Fire Bolt'.blvl)+skill('Fire Ball'.blvl))*par8								768	32000	0
Frost Cloak	fragment	396	sor	frost cloak	13	29		1	117										iceburn						thunderstorm		ln12		item_demondamage_percent	blvl*20																																																	sorceress_thunder_cast											light_cast_2						67				iceburn				1								1	5		none												SC	SC	xx				1																1									6	35														0	1					1	8	0	0	1		1	1	30 - stat('cdrtosorcauras'.accr)							1												3600	Buff Duration baseline	600	Buff Duration per level	10	Periodic Damage Rate Min	100	Periodic Damage Rate Multiplier	0	Min % reduction of periodic damage rate	1	Max % reduction of periodic damage rate	14	Radius											1								8															cold	269	134	168	203	236	269	337	152	186	220	253	287	stat('energy'.accr) + stat('dmgtofragment'.accr)	50							640	16000	0
Frozen Orb		64		frozen orb												frozenorb																																																															sorceress_cast_cold											ice_cast_3				29						frozenorb												1	8		none												SC	SC	xx																	1			1						sorceress_cast_cold			30	20												25		1	1					1	7	50	1	1																																					2	Damage synergy									1								7															cold	600	150	180	210	218	225	675	158	188	218	225	233	(skill('Ice Bolt'.blvl))*par8	200	25	25	25				896	64000	0
