code	*order	*class	*used	*legendary	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
prop-maxtargetstoelectricalstorm	294	bar	2		1	1	electricalstormtargets																											maxtargets to electrical storm		Min #	Max #		0
prop-maxhptolongevity	295	pal	2	1	1	1	maxhptolongevity																											max hp to longevity		Min #	Max #		0
prop-forcewavemaxchainhits	296	bar	2		1	1	forcewavemaxchainhits																											targets to forcewave		Min #	Max #		0
prop-FCRandAStoenchant	297	sor	2	1	1	1	fcrtoenchant																											faster cast rate and attack speed to Enchant		Min #	Max #		0
skillmod-fanofglaivecdr	298	ama	2	1	1	1	fanofglaivecdr																											reduced cooldown to fanofglaives		1	1	5 at a time	0
prop-increasedtargetstoavalanche	299	bar	2		1	1	increasedtargetstoavalanche																											targets to avalanche		Min #	Max #		0
prop-cdrtosorcauras	300	sor	2		1	1	cdrtosorcauras																											cooldown reduction to sorc auras		Min #	Max #	2 at a time	0
prop-arrowpower	301	ama	2		1	1	arrowpower																											arrow power		Min #	Max #	5 per additional arrow	0
prop-swordsplosioncdr	302	bar	1	1	1	1	swordsplosioncdr																											cooldown reduction to swordsplosion		Min #	Max #	use 1	0
prop-bloodskilldamage	303		2		1	1	bloodmastery																											increase blood skill damage		Min #	Max #		0
prop-bonespikesmaxtargets	304	nec	2		1	1	bonespikesmaxtargets																											increased targets to bone spikes		Min #	Max #		0
prop-bleedingheartenergysynergy	305	nec	1	1	1	1	bleedingheartenergysynergy																											enables bleeding heart to get increased damage from energy		1	1	boolean	0
prop-spiritbarrageincreasedduration	306	nec	2		1	1	spiritbarrageincreasedduration																											increased duration to spirit barrage		Min #	Max #		0
prop-maximumviperssummoned	307	nec	1		1	1	maximumviperssummoned																											increased number of vipers summoned		Min #	Max #		0
prop-spiritbarragemulti	308	nec	1	1	1	1	spiritbarragemulti																											increased cast frequency of Spirit Barrage		Min #	Max #		0
prop-marksmanship	309	nec	1		1	1	marksmanship																											marksmanship		Min #	Max #	%	0
prop-targetstoteslaarrow	310	ama	2		1	1	targetstoteslaarrow																											targets to tesla arrow		Min #	Max #		0
prop-teslaarrowrange	311	ama	2		1	1	teslaarrowrange																											range of tesla arrow		Min #	Max #		0
prop-multishoteventama	312	ama	2	1	1	1	multishoteventama																											amazon multishot missles trigger more item events		Min #	Max #		0
prop-magrestofade	313	ass	2		1	1	magrestofade																											magic res to fade base level		Min #	Max #	use 1	0
prop-chainlightningarrowcdr	314	ama	1	1	1	1	chainlightningarrowcdr																											chain lightning arrow cooldown reduced by one half		1	1		0
prop-spearsynergy	315	ama	2		1	1	spearsynergy																											damage to spear skills		Min #	Max #	%	0
prop-ltngpiercetolightningspeed	316	sor	2		1	1	ltngpiercetolightningspeed																											ltng RR to lightning speed		Min #	Max #		0
prop-HSBD	317	pal	2		1	1	HSBD																											enhanced damage to holy shield		1	1	use x%	0
prop-heavensfurycd	318	pal	2	1	1	1	heavensfurycd																											cooldown reduction to heaven's fury		1	1		0
prop-attratingtoff	319	sor	2		1	1	attratingtoff																											att rating bonus to frozen fortress while FF is active		1	1	use small x%	0
prop-coldrrtoff	320	sor	2	1	1	1	coldrrtoff																											cold rr to frozen fortress		1	1	use1	0
prop-BOTHdoublemfbonus	321	pal	2		1	1	BOTHdoublemfbonus																											doubles magic find bonus to BOTH		1	1	1	0
prop-teleportcdr	322	sor	1	111	1	1	teleportcdr																											teleport cdr		1	1	1	0
prop-defensetolongevity	323	pal	2		1	1	defensetolongevity																											defense to longevity per base level		1	1	x%	0
prop-projectilestoiceshard	324	sor	2		1	1	projectilestoiceshard																											projectiles to ice shard		1	1	1	0
prop-targetstoevilspearit	325	ama	2		1	1	targetstoevilspearit																											max targets to evil spearit		1	1	max 3	0
prop-speardamagetopowerofarrows	326	ama	1	1	1	1	speardamagetopowerofarrows																											increased spear damage to power of arrows		1	1	small x %	0
prop-dmgtofragment	327		1		1	1	dmgtofragment																											dmgtofragment		1	1		0
prop-dmgtohoming	328		1		1	1	dmgtohoming																											dmgtohoming		1	1		0
prop-dmgbombardment	329		1		1	1	dmgbombardment																											dmgbombardment		1	1		0
prop-dmgtochained	330		1		1	1	dmgtochained																											dmgtochained		1	1		0
prop-dmgtomeleeexplosion	331		1		1	1	dmgtomeleeexplosion																											dmgtomeleeexplosion		1	1		0
prop-dmgtonova	332		1		1	1	dmgtonova																											dmgtonova		1	1		0
prop-dmgtomultishot	333		1		1	1	dmgtomultishot																											dmgtomultishot		1	1		0
prop-dmgtowind	334		1		1	1	dmgtowind																											dmgtowind		1	1		0
prop-dmgtoearth	335		1		1	1	dmgtoearth																											dmgtoearth		1	1		0
prop-dmgtoholy	336		1		1	1	dmgtoholy																											dmgtoholy		1	1		0
prop-dmgtotrap	337		1		1	1	dmgtotrap																											dmgtotrap		1	1		0
prop-dmgtosummon	338		1		1	1	dmgtosummon																											dmgtosummon		1	1		0
prop-dmgtototem	339		1		1	1	dmgtototem																											dmgtototem		1	1		0
prop-doublespearsynergytoflamingspears	340	ama	2	1	1	1	doublespearsynergytoflamingspears																											increases damage bonus from spear synergy to flaming spears		1	1	boolean	0
prop-dmgtoallelements	341		1	1	1	1	passive_fire_mastery			3	passive_cold_mastery			3	passive_ltng_mastery																			all elemental damage		1	1	boolean	0
prop-dmgtounholy	342		1		1	1	dmgtounholy																											unholy skill damage		1	1		0
prop-boneshotcd	343	nec		1	1	1	boneshotcd																											boneshot cooldown		1	1	use 1	0
prop-judgereduce	344	pal	2	1	1	1	judgereduce																											dmg reduce during judgement cross		1	1	use 1	0
prop-palinovaadd	345	pal	2	1	1	1	palinovaadd																											paladin aura projectiles		1	1	use 2 for weapon 1 for charm	0
prop-CHZproj	346	pal	2	1	1	1	CHZproj																											climhazard projectile add		1	1	1	0
prop-holyfanatic	347	pal	2	1	1	1	holyfanatic																											fanaticism increases holy damage		1	1	use small x%	0
prop-hammerfire	348	pal	2	1	1	1	hammerfire																											increased damage to fire skills per hammer nova point		1	1	use small x%	0
prop-holydmgtoWOL	349	pal	2	1	1	1	holydmgtoWOL																											warrior of light grants multishot% = to 1/3rd of light radius		1	1	use1	0
prop-armortoSS	350	pal	2	1	1	1	armortoSS																											armor to shield split per base level		1	1	use x%	0
prop-windsdebuff	351	dru	2	1	1	1	windsdebuff																											dmg resist to fridgid winds		1	1	use 15-30%	0
prop-exptobovine	352	dru	2	1	1	1	exptobovine																											melee explosion to bovine per base level		1	1	use small x%	0
prop-smashbuff	353	dru	2	1	1	1	smashbuff																											dmg bonus while attacking to shattering and mollten smash		1	1	use 1	0
prop-coldtotemrate	354	dru	2	1	1	1	coldtotemrate																											dmg frequency of cold totem		1	1	use 3	0
prop-guardiancd	355	dru	2	1	1	1	guardiancd																											cooldown to guardian skills		1	1	use 1	0
prop-windtowaveoflight	356	dru	2	1	1	1	windtowaveoflight																											wind skill damage when using wave of light		1	1	use low x %	0
prop-chibonus	357	dru	2	1	1	1	chibonus																											increased damage bonus while under the effects of chi strike		1	1	use low x %	0
prop-skillsynSGandRW	358	dru	2	1	1	1	skillsynSGandRW																											skill synergy to sweeping gale and razor winds		1	1	use low x %	0
prop-moomoobuff	359	dru	2	11	1	1	moomoobuff																											multiplier to moo moo grand		1	1	use1	0
prop-skillsynSFandSE	360	dru	2	1	1	1	skillsynSFandSE																											skill synergy to stonefist and Splitting Earth		1	1	use low x %	0
prop-SSduration	361	dru	2	1	1	1	SSduration																											duration to stone spears		1	1	use 1	0
prop-maxdbloodhoove	362	dru	2	1	1	1	maxdbloodhoove																											weapon damage increase while using blood hooves		1	1	use small x%	0
prop-avafrag	363	bar	2	11	1	1	avafrag																											avalanche synergy from fragment skills		1	1	use1	0
prop-axestormmaster	364	bar	1	1	1	1	axestormmaster																											axe storm synergy from Axe Master		1	1	use1	0
prop-rockstr	365	bar	2	1	1	1	rockstr																											rocksplit str synergy		1	1	use1	0
prop-moesyn	366	bar	2	1	1	1	moesyn																											enhanced damage per point in zantetsuken and blade mastery		1	1	use small x %	0
prop-zansyn	367	bar	2	1	1	1	zansyn																											zantetsuken synergy from blade mastery		1	1	use small x %	0
prop-coldrrtoFB	368	bar	2	1	1	1	coldrrtoFB																											cold rr to frostborne		1	1	use 1	0
prop-eswind	369	bar	2	1	1	1	eswind																											electrical strom gains synergy from wind damage		1	1	use 1	0
prop-bores	370	bar	2	1	1	1	bores																											battle orders max res		1	1	use small x%	0
prop-dblintimidate	371	bar	2	1	1	1	dblintimidate																											doubles intimidations rr		1	1	use 1	0
prop-hfproj	372	bar	2		1	1	hfproj																											additional projectiles to hellfire		1	1	use small x %	0
prop-hfsyn	373	bar	2	1	1	1	hfsyn																											arcane warrior synergy to hellfire		1	1	use small x %	0
prop-awpierce	374	bar	2	1	1	1	awpierce																											fire pierce while arcane warrior is active		1	1	use 1 	0
prop-Bsfromsword	375	bar	2	1	1	1	Bsfromsword																											baal sword dmg synergy from swordsplosion		1	1	use small x%	0
prop-tmsyn	376	bar	2	1	1	1	tmsyn																											thunderous mace syn from mace mastery		1	1	use small x%	0
prop-skillsynVSandEP	377	bar	2	1	1	1	skillsynVSandEP																											skill synergy volcanic shout and explosive potion		1	1	use small x%	0
prop-moeexp	378	bar	2	1	1	1	moeexp																											melee explosion damage to master of earth		1	1	use small x%	0
prop-pvfrag	379	ass	2	1	1	1	pvfrag																											poison vial damage bonus from fargment		1	1	use small x%	0
prop-dextocow	380	dru		111	1	1	dextocow																											1/4 of vitality adds to dex		1	1	use small x%	0
prop-stormtotemrate	381	dru	2	1	1	1	stormtotemrate																											increased cast frequency to storm totem		1	1	use 3	0
prop-burstsyngow	382	dru	2	1	1	1	burstsyngow																											dmg synergy to bovine burst from guardian of wind		1	1	use small x%	0
prop-wolnovasyn	383	dru	2	1	1	1	wolnovasyn																											extra dmg to wave of light based on dmgtonova		1	1	use small x%	0
prop-earthdamagetosweepinggale	384	dru	2		1	1	earthdamagetosweepinggale																											dmg to earth based on base skill level of sweeping gale		1	1	use small x%	0
prop-ftpierce	385	dru	2	1	1	1	ftpierce																											fire pierce to fire totem		1	1	use 1	0
prop-strnat	386	dru	2	1	1	1	strnat																											enhanced damage to molten smash and shattering smash of nature per base level		1	1	use x%	0
prop-polereduce	387	dru	2	1	1	1	polereduce																											magic/damage reduction to polearm mastery		1	1	use x%	0
prop-cripplerr	388	pal	2	1	1	1	cripplerr																											phys rr to crippling wave		1	1	use 1	0
prop-ppcorrode	389	ass	2	11	1	1	ppcorrode																											pois rr to corrosion		1	1	use 1	0
prop-skillsyncombostrike	390	ass	2	1	1	1	skillsyncombostrike																											skill synergy to dispersion strike from combination strike		1	1	use  small x%	0
prop-combstrdur	391	ass	2	1	1	1	combstrdur																											doubles the duration to combo strike charges		1	1	use 1	0
prop-sludgewaveproj	392	ass	2	1	1	1	sludgewaveproj																											projectiles to sludge wave		1	1	use 1	0
prop-smtrapbonus	393	ass	2	1	1	1	smtrapbonus																											shuriken spiral increased damage based on trap master		1	1	use small x%	0
prop-smmodifier	394	ass	2	1	1	1	smmodifier																											energy to shadow mage		1	1	use 5. no charm	0
prop-dcdblcombo	395	ass	2	1	1	1	dcdblcombo																											detonating claw combo bonus		1	1	use 1	0
prop-fcdblcombo	396	ass	2	1	1	1	fcdblcombo																											fridgid claw combo bonus		1	1	use 1	0
prop-tcdblcombo	397	ass	2	1	1	1	tcdblcombo																											tesla claw combo bonus		1	1	use 1	0
prop-chiburstbuff	398	ass	2	11	1	1	chiburstbuff																											increased dr and rr to chi burst		1	1	use 1	0
prop-skillsynPHandFB	399	ass	2	1	1	1	skillsynPHandFB																											skill synergy to poison hadoken and frost bomb		1	1	use small x %	0
prop-skillsynTCandDS	400	ass	2	1	1	1	skillsynTCandDS																											skill synergy to tectonic claw and death spikes		1	1	use small x %	0
prop-tgmod	401	ass	2	1	1	1	tgmod																											increased fall rate and radius to toxic gases		1	1	use 1	0
prop-venomcombo	402	ass	2	1	1	1	venomcombo																											damage synergy from combo points to venom		1	1	use 1	0
prop-skillsynSCandSS	403	ass	1	1	1	1	skillsynSCandSS																											damage synergy from shuriken stars and shadow claw		1	1	use 1	0
prop-Torment	404		1	1	1	1	Torment																											torment		1	1		0
prop-Tormentdesc	405		1	1	1	1	Tormentdesc																											tormentdescription		1	1		0
vit%	406				1	1	vitpercent																											vitpercent		1	1		0
enr%	407				1	1	enrpercent																											enrpercent		1	1		0
dex%	408				1	1	dexpercent																											enrpercent		1	1		0
str%	409				1	1	strpercent																											strpercent		1	1		0
dr%	410				1	1	normaldrpercent																											damage reduction percent		1	1		0
mdr%	411				1	1	magicdrpercent																											 magic damage reduction percent		1	1		0
prop-mbvel	412	ass	2		1	1	mbvel																											mind blast velocity %		1	1	use x%	0
prop-upgrade	413				1	1	upgradeitem																											item upgrade cap		1	1	use 1	0
prop-potential	414				1	1	potential																											potential		1	1	use 1	0
allstat%	415				1	1	vitpercent			3	enrpercent			3	dexpercent			3	strpercent															all stat%		1	1		0
cast-skill	416				1	11	unused203																											#% Chance to cast level # [Skill] on striking	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
leg-att-skill	417				1	11	legendary attack skill																											#% Chance to cast level # [Skill] on striking	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
prop-hammernovahak	418	pal	2		1	1	hammernovahak																											heal after kill to hammer nova		1	1	use x	0
prop-dmgpercenttostonefist	419	dru	2		1	1	dmgpercenttostonefist																											enhanced weapon damage while attacking with stonefist per stonefist base level		1	1	use x%	0
prop-dmgpercenttobovineburst	420	dru	2		1	1	dmgpercenttobovineburst																											enhanced weapon damage while attacking with bovine burst per bovine burst base level		1	1	use x%	0
prop-drpercenttommm	421	dru	2		1	1	drpercenttommm																											increased damage reduction percent after using  moo moo magic		1	1	use 1	0
bothdr	422				1	1	normal_damage_reduction			1	magic_damage_reduction																							both damage reduction		Min #	Max #		0
aura_hidden	423				1	22	item_aura																											Level # [Skill] Aura When Equipped	Skill	Min #	Max #		0
prop-healthpotioneffectiveness	424				1	1	healthpotioneffectiveness																											health potion base amount doubled		1	1		0
prop-hpregen%	425				1	1	hpregen%																											percent increase to hp regen		1	1		0
prop-combopoints	426				1	1	combopoints																											+ combo points		Min #	Max #		0
prop-corrupted	427				1	1	corrupted																													1	1		0
mythicaldesc	428				1	24	item_mythicaldesc			3	maxhpflag																							use monstats index to determine string					0
pierce-immunity-mag	429				1	1	item_pierce_magic_immunity																											Monster Magic Immunity is Sundered		Min %	Max %		0
charmweight_prop					1	1	charmweight																											Charm Weight: #		Min #	Max #		0
oskill_hidden					1	22	item_nonclassskill																											+# to [Skill]		Min #	Max #		0
