Name	*order	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Dexterity	252	100	1	1	70		15				8	17	res-pois		27	39										armo	shld	amul	ring	lcha	jewl							0	0
of Skill	253	100	1	1	51		12				8	17	dex		13	23										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Accuracy	254	100	1	1	69		13				8	17	dmg-cold		30	150										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Precision	255	100	1	1	70		15				8	17	regen		350	525										weap	glov	ring	amul	misl	belt	lcha						0	0
of Dexterity	256	100	1	1	1		1				8	31	dmg-cold		10	50										weap	glov	ring	amul	misl	belt	lcha						0	0
of Dexterity	257	100	1	1	1		1				8	31	mana		50	60	regen-mana		4	6						mcha	jewl											0	0
of Dexterity	258	100	1	1	10		3				8	31	dmg-fire		13	65										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Dexterity	259	100	1	1	21		4				8	31	regen		140	210										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Dexterity	260	100	1	1	27		6				8	31	res-pois-len		8	11										armo	shld	amul	ring	lcha	jewl							0	0
of Dexterity	261	100	1	1	33		7				8	31	res-fire		15	22										armo	shld	amul	ring	lcha	jewl							0	0
of Daring	262	100	1	1	10		3				8	17	res-fire		10	14										armo	shld	amul	ring	lcha	jewl							0	0
of Balance	263	100	1	1	7		1				8	18	mana-kill		6	11										weap	glov	ring	amul	misl	belt	lcha						0	0
of Equilibrium	264	100	1	1	12		3				8	18	prop-dmgtounholy		13	16										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Stability	265	100	1	1	70		15				8	18	manasteal		4	4										weap	glov	ring	amul	misl	belt	lcha						0	0
of Balance	266	100	1	1	1		1				8	18	extra-pois		2	3										scha	mcha	jewl										0	0
of Balance	267	100	1	1	28		6				8	18	hp		75	90	move2		9	11						mcha												0	0
of Balance	268	100	1	1	55		13				8	18	dmg-cold		28	140										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Truth	269	100	1	1	66		13				8	18	res-mag		6	8										armo	shld	amul	ring	lcha	jewl							0	0
of Regeneration	270	100	1	1	15		3				8	19	hp		20	26	mana		13	16						scha	mcha											0	0
of Regeneration	271	100	1	1	60		13				8	19	mana-kill		14	28										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Regeneration	272	100	1	1	70		15				8	19	extra-pois		25	30										weap	glov	ring	amul									0	0
of Regrowth	273	100	1	1	25		6				8	19	prop-dmgtoholy		15	18										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Regrowth	274	100	1	1	70		15				8	19	prop-dmgtomeleeexplosion		50	75										weap	glov	ring	amul									0	0
of Revivification	275	100	1	1	57		13				8	19	dmg-min		22	22	dmg-max		31	31						weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Honor	276	100	1	1	70		15				8	19	prop-dmgtoholy		50	75										weap	glov	ring	amul									0	0
of Vileness	277	100	1	1	13		3				8	20	mag%		3	3										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Greed	278	100	1	1	1		1				8	21	red-dmg		5	9										armo	shld	amul	ring	lcha	jewl							0	0
of Wealth	279	100	1	1	25		6				8	21	reduce-ac		6	9										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Greed	280	100	1	1	1		1				8	21	extra-ltng		2	3	dmg-ltng		10	20						scha	mcha	jewl										0	0
of Greed	281	100	1	1	10		3				8	21	att		65	104										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Greed	282	100	1	1	28		6				8	21	ac		60	75	red-dmg		8	15						mcha												0	0
of Greed	283	100	1	1	1		1				8	21	light		5	6										scha	mcha	jewl										0	0
of Greed	284	100	1	1	30		6				8	21	prop-dmgtounholy		17	20										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Greed	285	100	1	1	1		1				8	21	regen-mana		6	8										scha	mcha	jewl										0	0
of Avarice	286	100	1	1	50		12				8	21	dmg-cold		26	130										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Chance	287	100	1	1	18		4				8	22	mag%		13	17	gold%		13	17						mcha												0	0
of Fortune	288	100	1	1	24		6				8	22	enr		8	14										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Fortune	289	100	1	1	63		13				8	22	light		14	17										scha	mcha											0	0
of Luck	290	100	1	1	39		9				8	22	att		190	209	swing2		10	11						mcha												0	0
of Fortune	291	100	1	1	46		11				8	22	res-cold		18	26										armo	shld	amul	ring	lcha	jewl							0	0
of Good Luck	292	100	1	1	70		15				8	22	prop-spearsynergy		50	75										weap	glov	ring	amul									0	0
of Prosperity	293	100	1	1	39		9				8	22	dmg-ltng		20	100										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Energy	294	100	1	1	1		1				8	23	dmg-min		8	8	dmg-max		11	11						weap	glov	ring	amul	misl	belt	lcha						0	0
of the Mind	295	100	1	1	10		3				8	23	hp		55	66	move2		7	8						mcha												0	0
of Brilliance	296	100	1	1	19		4				8	23	prop-dmgtoholy		14	17										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Sorcery	297	100	1	1	31		6				8	23	manasteal		2	2										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Wizardry	298	100	1	1	46		11				8	23	res-ltng		18	26										armo	shld	amul	ring	lcha	jewl							0	0
of Enlightenment	299	100	1	1	61		13				8	23	all-stats		8	8										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Energy	300	100	1	1	10		3				8	23	red-mag		6	10										armo	shld	amul	ring	lcha	jewl							0	0
of the Mind	301	100	1	1	19		4				8	23	heal-kill		11	21										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Brilliance	302	100	1	1	31		6				8	23	block1		3	3	str		3	7						scha	mcha											0	0
of Sorcery	303	100	1	1	46		11				8	23	extra-cold		4	6	dmg-cold		20	40						scha	mcha											0	0
of Wizardry	304	100	1	1	61		13				8	23	mag%		3	3										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Energy	305	100	1	1	6		1				8	23	enr		6	10										weap	glov	ring	amul	misl	belt	lcha						0	0
of the Mind	306	100	1	1	70		15				8	23	prop-marksmanship		50	75										xbow	glov	ring	amul									0	0
of Brilliance	307	100	1	1	24		6				8	23	dmg-min		12	12	dmg-max		17	17						weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Sorcery	308	100	1	1	39		9				8	23	hp		95	114	move2		11	13						mcha												0	0
of Knowledge	309	100	1	1	13		3				8	23	lifesteal		1	1										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Bear	310	100	1	1	12		3				8	24	mana-kill		7	13										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Light	311	100	1	1	9		3				8	25	extra-fire		2	3	dmg-fire		11	22						scha	mcha	jewl										0	0
of Radiance	312	100	1	1	22		5				8	25	dmg-cold		15	75										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Sun	313	100	1	1	25		6				8	25	hp		8	12										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Jackal	314	100	1	1	1		1				8	26	red-dmg%		1	1										armo	shld	amul	ring	lcha	jewl							0	0
of the Fox	315	100	1	1	10		3				8	26	dmg-cold		13	65										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Wolf	316	100	1	1	22		5				8	26	dmg-ltng		15	75										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Tiger	317	100	1	1	30		6				8	26	vit		9	15										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Mammoth	318	100	1	1	37		9				8	26	ac		57	76										armo	shld	amul	ring	lcha	jewl							0	0
of the Colosuss	319	100	1	1	45		11				8	26	extra-pois		4	6										scha	mcha											0	0
of the Squid	320	100	1	1	60		13				8	26	prop-dmgtoholy		28	34										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Whale	321	100	1	1	70		15				8	26	extra-ltng		25	30										weap	glov	ring	amul									0	0
of the Jackal	322	100	1	1	1		1				8	26	mag%		10	13	gold%		10	13						mcha	jewl											0	0
of the Fox	323	100	1	1	16		3				8	26	extra-ltng		3	4	dmg-ltng		13	26						scha	mcha											0	0
of the Wolf	324	100	1	1	40		9				8	26	dmg-mag		20	100										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Tiger	325	100	1	1	64		13				8	26	extra-cold		6	8	dmg-cold		28	56						scha	mcha											0	0
of the Mammoth	326	100	1	1	70		15				8	26	mana		175	210	regen-mana		14	21						mcha												0	0
of the Colosuss	327	100	1	1	70		15				8	26	res-pois-len		18	25										armo	shld	amul	ring	lcha								0	0
of the Jackal	328	100	1	1	12		3				8	26	prop-dmgtoholy		13	16										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Fox	329	100	1	1	70		15				8	26	red-dmg		18	32										armo	shld	amul	ring	lcha								0	0
of the Wolf	330	100	1	1	51		12				8	26	enr		13	23										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Tiger	331	100	1	1	70		15				8	26	res-pois		32	46										armo	shld	amul	ring	lcha								0	0
of the Mammoth	332	100	1	1	70		15				8	26	res-cold		32	46										armo	shld	amul	ring	lcha								0	0
of Life	333	100	1	1	1		1				8	26	att		50	80										weap	glov	ring	amul	misl	belt	lcha						0	0
of Life	334	100	1	1	30		6				8	26	mana		9	14										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Life	335	100	1	1	28		6				8	26	dmg-cold		17	85										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Substinence	336	100	1	1	46		11				8	26	res-fire		18	26										armo	shld	amul	ring	lcha	jewl							0	0
of Substinence	337	100	1	1	67		13				8	26	ac%		20	22										armo	shld	amul	ring	lcha	jewl							0	0
of Substinence	338	100	1	1	70		15				8	26	extra-fire		7	11	dmg-fire		35	70						scha	mcha											0	0
of Vita	339	100	1	1	70		15				8	26	res-all		7	14	enr		7	14						scha	mcha											0	0
of Vita	340	100	1	1	70		15				8	26	all-stats		11	11										weap	glov	ring	amul	misl	belt	lcha						0	0
of Vita	341	100	1	1	70		15				8	26	lifesteal		4	4										weap	glov	ring	amul	misl	belt	lcha						0	0
of Life	342	100	1	1	1		1				8	26	dmg-ltng		10	50										weap	glov	ring	amul	misl	belt	lcha						0	0
of Life	343	100	1	1	18		4				8	26	dmg-min		11	11	dmg-max		15	15						weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Substinence	344	100	1	1	39		9				8	26	mana		95	114	regen-mana		8	11						mcha												0	0
of Substinence	345	100	1	1	63		13				8	26	mag%		14	17	gold%		8	11						scha	mcha											0	0
of Vita	346	100	1	1	70		15				8	26	mag%		4	4										weap	glov	ring	amul	misl	belt	lcha						0	0
of Vita	347	100	1	1	70		15				8	26	gold%		25	32										weap	glov	ring	amul	misl	belt	lcha						0	0
of Life	348	100	1	1	1		1				8	26	all-stats		3	3										weap	glov	ring	amul	misl	belt	lcha						0	0
of Substinence	349	100	1	1	34		7				8	26	red-dmg		9	15										armo	shld	amul	ring	lcha	jewl							0	0
of Vita	350	100	1	1	70		15				8	26	prop-dmgtounholy		35	42										weap	glov	ring	amul	misl	belt	lcha						0	0
of Spirit	351	100	1	1	1		1				8	26	manasteal		1	1										weap	glov	ring	amul	misl	belt	lcha						0	0
of Hope	352	100	1	1	67		13				8	26	ac		84	112										armo	shld	amul	ring	lcha	jewl							0	0
of the Leech	353	100	1	1	9		3				8	27	all-stats		3	3										weap	glov	ring	amul	misl	belt	lcha						0	0
of the Locust	354	100	1	1	30		6				8	27	reduce-ac		7	10										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Lamprey	355	100	1	1	70		15				8	27	vit		18	32										weap	glov	ring	amul	misl	belt	lcha						0	0
of the Leech	356	100	1	1	21		5				8	27	res-cold		13	18										armo	shld	amul	ring	lcha	jewl							0	0
of the Locust	357	100	1	1	70		15				8	27	hp		150	180	move2		18	21						mcha												0	0
of the Lamprey	358	100	1	1	70		15				8	27	mag%		18	21	gold%		11	14						scha	mcha											0	0
of the Leech	359	100	1	1	51		12				8	27	dmg-mag		26	130										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Bat	360	100	1	1	10		3				8	28	regen		110	165										armo	shld	amul	ring	lcha	jewl							0	0
of the Wraith	361	100	1	1	31		7				8	28	mag%		2	2										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Vampire	362	100	1	1	70		15				8	28	regen		300	450										armo	shld	amul	ring	lcha	jewl							0	0
of the Bat	363	100	1	1	22		5				8	28	red-dmg%		1	2										armo	shld	amul	ring	lcha	jewl							0	0
of the Wraith	364	100	1	1	70		15				8	28	extra-pois		7	11										scha	mcha											0	0
of the Vampire	365	100	1	1	70		15				8	28	res-ltng		32	46										armo	shld	amul	ring	lcha								0	0
of the Bat	366	100	1	1	52		12				8	28	prop-dmgtounholy		26	31										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Defiance	367	100	1	1	37		8				8	29	res-pois-len		10	13										armo	shld	amul	ring	lcha	jewl							0	0
of Amelioration	368	100	1	1	27		6				8	29	move2		5	6	dex		3	6						scha	mcha											0	0
of Remedy	369	100	1	1	10		3				8	29	res-pois		10	14										armo	shld	amul	ring	lcha	jewl							0	0
of Simplicity	370	100	1	1	37		9				8	30	regen-mana		11	15										scha	mcha											0	0
of Ease	371	100	1	1	22		5				8	30	red-mag		7	13										armo	shld	amul	ring	lcha	jewl							0	0
of Freedom	372	100	1	1	1		1				8	30	dmg-mag		10	50										weap	glov	ring	amul	misl	belt	lcha						0	0
of Strength	373	100	1	1	1		1				8	31	regen		100	150										weap	glov	ring	amul	misl	belt	lcha						0	0
of Might	374	100	1	1	15		3				8	31	regen-mana		8	10										scha	mcha											0	0
of the Ox	375	100	1	1	39		9				8	31	dmg-cold		20	100										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Giant	376	100	1	1	63		13				8	31	regen-mana		17	22										scha	mcha											0	0
of the Titan	377	100	1	1	70		15				8	31	red-mag		18	32										armo	shld	amul	ring	lcha								0	0
of Atlus	378	100	1	1	70		15				8	31	mag%		35	46	gold%		35	46						mcha												0	0
of Strength	379	100	1	1	7		1				8	31	swing1		8	11										weap	glov	ring	amul	misl	belt	lcha						0	0
of Might	380	100	1	1	31		7				8	31	hp		9	14										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Ox	381	100	1	1	57		13				8	31	vit		14	25										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Giant	382	100	1	1	70		15				8	31	extra-fire		25	30										weap	glov	ring	amul									0	0
of the Titan	383	100	1	1	70		15				8	31	enr		15	27										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Strength	384	100	1	1	18		4				8	31	enr		7	13										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Might	385	100	1	1	49		11				8	31	red-dmg		10	18										armo	shld	amul	ring	lcha	jewl							0	0
of the Ox	386	100	1	1	67		13				8	31	ac		112	140	red-dmg		14	28						mcha												0	0
of the Giant	387	100	1	1	70		15				8	31	prop-dmgtonova		50	75										weap	glov	ring	amul									0	0
of Strength	388	100	1	1	1		1				8	31	regen		100	150										armo	shld	amul	ring	lcha	jewl							0	0
of Strength	389	100	1	1	1		1				8	31	extra-fire		2	3	dmg-fire		10	20						scha	mcha	jewl										0	0
of Strength	390	100	1	1	10		3				8	31	dmg-ltng		13	65										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Strength	391	100	1	1	21		5				8	31	hp		7	11										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Strength	392	100	1	1	27		6				8	31	extra-ltng		3	5	dmg-ltng		15	30						scha	mcha											0	0
of Strength	393	100	1	1	33		7				8	31	extra-cold		3	5	dmg-cold		17	34						scha	mcha											0	0
of Virility	394	100	1	1	27		6				8	31	extra-cold		3	5	dmg-cold		15	30						scha	mcha											0	0
of Pacing	395	100	1	1	18		4				8	35	red-dmg%		1	2										armo	shld	amul	ring	lcha	jewl							0	0
of Haste	396	100	1	1	33		7				8	35	light		9	10										scha	mcha											0	0
of Speed	397	100	1	1	55		13				8	35	dmg-fire		28	140										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Traveling	398	100	1	1	70		15				8	35	sock		2	3										weap	glov	ring	amul									0	0
of Acceleration	399	100	1	1	70		15				8	35	swing2		40	50										weap	glov	ring	amul									0	0
of Inertia	400	100	1	1	28		6				8	35	mag%		15	20	gold%		15	20						mcha												0	0
of Inertia	401	100	1	1	36		7				8	35	move2		6	8	dex		4	8						scha	mcha											0	0
of Inertia	402	100	1	1	52		12				8	35	reduce-ac		10	16										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Self-Repair	403	100	1	1	1		1				8	37	red-mag		5	9										armo	shld	amul	ring	lcha	jewl							0	0
of Fast Repair	404	100	1	1	30		6				8	37	prop-dmgtoholy		17	20										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Ages	405	100	1	1	70		15				8	39	cast2		40	50										weap	glov	ring	amul									0	0
of Replenishing	406	100	1	1	7		1				8	39	prop-dmgtoholy		11	13										weap	glov	ring	amul	misl	belt	lcha						0	0
of Propogation	407	100	1	1	36		7				8	39	regen-mana		11	15										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Kraken	408	100	1	1	30		6				8	41	enr		9	15										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Memory	409	100	1	1	30		6				8	41	att%		17	34										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of the Elephant	410	100	1	1	55		13				8	41	att		260	286	swing2		13	16						mcha												0	0
of Power	411	100	1	1	1		1				8	42	mag%		5	6	gold%		3	4						scha	mcha	jewl										0	0
of Grace	412	100	1	1	1		1				8	42	block1		2	2	str		2	4						scha	mcha	jewl										0	0
of Grace and Power	413	100	1	1	1		1				8	42	mana		5	8										weap	glov	ring	amul	misl	belt	lcha						0	0
of the Yeti	414	100	1	1	1		1				8	43	enr		5	9										weap	glov	ring	amul	misl	belt	lcha						0	0
of the Phoenix	415	100	1	1	1		1				8	43	res-cold		9	13										armo	shld	amul	ring	lcha	jewl							0	0
of the Efreeti	416	100	1	1	1		1				8	43	res-all		2	4	enr		2	4						scha	mcha	jewl										0	0
of the Cobra	417	100	1	1	1		1				8	43	move1		4	5										armo	shld	amul	ring	lcha	jewl							0	0
of the Elements	418	100	1	1	1		1				8	43	str		5	9										weap	glov	ring	amul	misl	belt	lcha						0	0
of Firebolts	419	100	1	1	24		6				8	44	vit		8	14										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Firebolts	420	100	1	1	9		3				8	44	res-all		2	4	enr		2	4						scha	mcha	jewl										0	0
of Firebolts	421	100	1	1	30		6				8	44	dmg-min		14	14	dmg-max		19	19						weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Charged Shield	422	100	1	1	9		3				8	44	hp		17	22	mana		11	13						scha	mcha	jewl										0	0
of Charged Shield	423	100	1	1	24		6				8	44	cast1		11	15										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Charged Shield	424	100	1	1	70		15				8	44	dmg-cold		35	175										weap	glov	ring	amul	misl	belt	lcha						0	0
of Icebolt	425	100	1	1	9		3				8	44	extra-pois		2	3										scha	mcha	jewl										0	0
of Frozen Armor	426	100										44														armo	ring	amul	orb	circ	lcha	mcha						0	0
of Static Field	427	100										44														rod	boot	amul	orb	circ	lcha	mcha						0	0
of Telekinesis	428	100										44														rod	boot	amul	orb	circ	lcha	mcha						0	0
of Frost Shield	429	100	1	1	18		4				8	44	dmg-mag		14	70										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Ice Blast	430	100										44														rod	boot	amul	orb	circ	lcha	mcha						0	0
of Blaze	431	100										44														armo	ring	amul	orb	circ	lcha	mcha						0	0
of Fire Ball	432	100										44														rod	boot	amul	orb	circ	lcha	mcha						0	0
of Nova	433	100	1	1	27		6				8	44	res-cold		14	20										armo	shld	amul	ring	lcha	jewl							0	0
of Nova	434	100	1	1	42		9				8	44	str		10	18										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Nova Shield	435	100	1	1	27		6				8	44	res-ltng		14	20										armo	shld	amul	ring	lcha	jewl							0	0
of Nova Shield	436	100	1	1	42		9				8	44	enr		10	18										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Nova Shield	437	100	1	1	57		13				8	44	enr		14	25										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Lightning	438	100	1	1	27		6				8	44	res-fire		14	20										armo	shld	amul	ring	lcha	jewl							0	0
of Lightning	439	100	1	1	18		4				8	44	res-pois-len		7	9										armo	shld	amul	ring	lcha	jewl							0	0
of Shiver Armor	440	100										44														rod	boot	amul	orb	circ	lcha							0	0
of Fire Wall	441	100										44														armo	ring	amul	orb	circ	lcha							0	0
of Enchant	442	100										44														rod	boot	amul	orb	circ	lcha							0	0
of Chain Lightning	443	100	1	1	37		8				8	44	move1		8	10										armo	shld	amul	ring	lcha	jewl							0	0
of Chain Lightning	444	100	1	1	52		12				8	44	hp		13	21										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Chain Lightning	445	100	1	1	67		13				8	44	red-dmg%		1	5										armo	shld	amul	ring	lcha	jewl							0	0
of Teleport Shield	446	100	1	1	37		9				8	44	mag%		10	11	gold%		6	8						scha	mcha											0	0
of Teleport Shield	447	100	1	1	52		12				8	44	prop-dmgtoholy		26	31										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Teleport Shield	448	100	1	1	67		13				8	44	att		280	308	swing2		14	17						mcha												0	0
of Glacial Spike	449	100										44														rod	boot	amul	orb	circ	lcha	mcha						0	0
of Meteor	450	100										44														rod	boot	amul	orb	circ	lcha	mcha						0	0
of Thunder Storm	451	100										44														armo	ring	amul	orb	circ	lcha	mcha						0	0
of Energy Shield	452	100										44														rod	boot	amul	orb	circ	lcha	mcha						0	0
of Blizzard	453	100										44														rod	boot	amul	orb	circ	lcha	mcha						0	0
of Chilling Armor	454	100										44														rod	boot	amul	orb	circ	lcha	mcha						0	0
of Hydra Shield	455	100	1	1	60		13				8	44	mana		14	22										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Frozen Orb	456	100										44														armo	ring	amul	orb	circ	lcha	mcha						0	0
of Dawn	457	100	1	1	45		11				8	45	extra-ltng		4	6	dmg-ltng		20	40						scha	mcha											0	0
of Sunlight	458	100	1	1	45		11				8	45	extra-fire		4	6	dmg-fire		20	40						scha	mcha											0	0
of Magic Arrows	459	100	1	1	18		4				8	44	vit		7	13										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Magic Arrows	460	100	1	1	52		12				8	44	heal-kill		21	39										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Fire Arrows	461	100	1	1	19		4				8	44	prop-dmgtounholy		14	17										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Fire Arrows	462	100	1	1	60		13				8	44	heal-kill		22	42										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Inner Sight	463	100	1	1	27		6				8	44	extra-pois		3	5										scha	mcha											0	0
of Inner Sight	464	100	1	1	70		15				8	44	heal-kill		28	53										weap	glov	ring	amul	misl	belt	lcha						0	0
of Jabbing	465	100	1	1	36		8				8	44	enr		10	17										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Jabbing	466	100	1	1	70		15				8	44	mana-kill		18	35										weap	glov	ring	amul	misl	belt	lcha						0	0
of Cold Arrows	467	100	1	1	22		5				8	44	balance1		6	8										armo	shld	amul	ring	lcha	jewl							0	0
of Cold Arrows	468	100	1	1	70		15				8	44	cast1		25	35										weap	glov	ring	amul	misl	belt	lcha						0	0
of Multiple Shot	469	100	1	1	27		6				8	44	extra-fire		3	5	dmg-fire		15	30						scha	mcha											0	0
of Multiple Shot	470	100	1	1	70		15				8	44	swing1		25	35										weap	glov	ring	amul	misl	belt	lcha						0	0
of Power Strike	471	100	1	1	18		4				8	44	ac		39	52										armo	shld	amul	ring	lcha	jewl							0	0
of Power Strike	472	100	1	1	70		15				8	44	enr		18	32										weap	glov	ring	amul	misl	belt	lcha						0	0
of Poison Jab	473	100	1	1	25		6				8	44	prop-dmgtounholy		15	18										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Poison Jab	474	100	1	1	70		15				8	44	dmg%		175	210										weap	glov	ring	amul	misl	belt	lcha						0	0
of Exploding Arrows	475	100	1	1	45		9				8	44	res-all		4	8	enr		4	8						scha	mcha											0	0
of Exploding Arrows	476	100	1	1	70		15				8	44	dmg-min		28	28	dmg-max		39	39						weap	glov	ring	amul	misl	belt	lcha						0	0
of Slow Missiles	477	100	1	1	49		11				8	44	hp		100	120	move2		12	14						mcha												0	0
of Slow Missiles	478	100	1	1	70		15				8	44	dmg-mag		35	175										weap	glov	ring	amul	misl	belt	lcha						0	0
of Impaling Strike	479	100	1	1	36		7				8	44	red-mag		9	15										armo	shld	amul	ring	lcha	jewl							0	0
of Impaling Strike	480	100	1	1	70		15				8	44	dmg-fire		35	175										weap	glov	ring	amul	misl	belt	lcha						0	0
of Lightning Javelin	481	100	1	1	37		8				8	44	light		10	11										scha	mcha											0	0
of Lightning Javelin	482	100	1	1	70		15				8	44	ac		120	150	red-dmg		15	30						mcha												0	0
of Ice Arrows	483	100	1	1	54		13				8	44	red-mag		13	23										armo	shld	amul	ring	lcha	jewl							0	0
of Ice Arrows	484	100	1	1	70		15				8	44	mag%		30	39	gold%		30	39						mcha												0	0
of Guided Arrows	485	100	1	1	51		12				8	44	vit		13	23										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Guided Arrows	486	100	1	1	70		15				8	44	mana		150	180	regen-mana		12	18						mcha												0	0
of Charged Strike	487	100	1	1	49		12				8	44	ac%		14	16										armo	shld	amul	ring	lcha	jewl							0	0
of Charged Strike	488	100	1	1	70		15				8	44	res-pois-len		15	21										armo	shld	amul	ring	lcha	jewl							0	0
of Plague Jab	489	100	1	1	52		12				8	44	att%		26	52										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Plague Jab	490	100	1	1	70		15				8	44	ac%		21	24										armo	shld	amul	ring	lcha	jewl							0	0
of Immolating Arrows	491	100	1	1	63		13				8	44	hp		42	56	mana		28	34						scha	mcha											0	0
of Immolating Arrows	492	100	1	1	70		15				8	44	red-dmg%		1	6										armo	shld	amul	ring	lcha	jewl							0	0
of Fending	493	100	1	1	61		13				8	44	gold%		20	25										weap	glov	ring	amul	misl	belt	lcha	jewl					0	0
of Fending	494	100	1	1	70		15				8	44	red-dmg		15	27										armo	shld	amul	ring	lcha	jewl							0	0
of Freezing Arrows	495	100	1	1	70		15				8	44	ac		90	120										armo	shld	amul	ring	lcha	jewl							0	0
of Freezing Arrows	496	100	1	1	70		15				8	44	balance1		12	18										armo	shld	amul	ring	lcha	jewl							0	0
of Lightning Strike	497	100	1	1	70		15				8	44	move1		12	15										armo	shld	amul	ring	lcha	jewl							0	0
of Lightning Strike	498	100	1	1	70		15				8	44	res-mag		6	9										armo	shld	amul	ring	lcha	jewl							0	0
of Lightning Fury	499	100	1	1	70		15				8	44	res-cold		27	39										armo	shld	amul	ring	lcha	jewl							0	0
of Lightning Fury	500	100	1	1	70		15				8	44	res-fire		27	39										armo	shld	amul	ring	lcha	jewl							0	0
of Fire Bolts	501	100	1	1	10		3		sor	1	8	44	res-ltng		10	14										armo	shld	amul	ring	lcha	jewl							0	0
