description	enabled	*order	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Legendary Rune Of Healing Hammers + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	285			100	16	496	1		2	amul	l16						useitem	99			prop-dmgtonova			100	100	oskill		111	3	3	prop-upgrade			10	10	prop-hammernovahak			1000	1000																																																																0
Legendary Rune Of Axe Throwing + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	286			100	16	496	1		2	amul	l17						useitem	99			prop-dmgtohoming			50	50	oskill		133	3	3	prop-upgrade			10	10	throwingaxe-damage			35	35																																																																0
Legendary Rune Of Deadly Vials + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	287			100	16	496	1		2	amul	l18						useitem	99			prop-dmgtotrap			80	80	oskill		251	3	3	prop-upgrade			10	10	prop-pvrange			3	3																																																																0
Legendary Rune Of Holy Bolts + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	288			100	16	496	1		2	amul	l19						useitem	99			prop-dmgtomultishot			80	80	oskill		106	3	3	prop-upgrade			10	10	additionalprojectiles-cursedhammer			2	2																																																																0
Legendary Rune Of Maxing Auras + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	289			100	16	496	1		2	amul	l20						useitem	99			extra-fire			50	50	extra-cold			50	50	prop-upgrade			10	10	skillmod-auracooldownelemental			5	5	extra-ltng			50	50																																																											0
Legendary Rune Of The Holy Sword + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	290			100	16	496	1		2	amul	l21						useitem	99			climandholyswordsynergybonus			130	130	oskill		76	3	3	oskill		121	3	3	light			30	30	prop-upgrade			10	10																																																											0
Legendary Rune Of Seeking Maces + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	291			100	16	496	1		2	amul	l22						useitem	99			prop-dmgtohoming			130	130	oskill		423	3	3	dex			50	50	prop-projectilestomacetoss			2	2	prop-upgrade			10	10																																																											0
Legendary Rune Of Screaming Flames + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	292			100	16	496	1		2	amul	l23						useitem	99			prop-dmgtohoming			130	130	oskill		130	3	3	prop-maxtargetstovolcanicshout			2	2	prop-upgrade			10	10																																																																0
Legendary Rune Of Seeking Thunder + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	293			100	16	496	1		2	amul	l24						useitem	99			prop-dmgtohoming			130	130	oskill		146	3	3	prop-maxtargetstoelectricalstorm			2	2	prop-upgrade			10	10																																																																0
Legendary Rune Of Barbaric Force + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	294			100	16	496	1		2	amul	l25						useitem	99			prop-dmgtochained			130	130	oskill		144	3	3	prop-forcewavemaxchainhits			2	2	prop-upgrade			10	10																																																																0
Legendary Rune Of Fridgid Rocks + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	295			100	16	496	1		2	amul	l26						useitem	99			prop-dmgtomultishot			130	130	oskill		137	3	3	prop-increasedtargetstoavalanche			2	2	prop-upgrade			10	10																																																																0
Legendary Rune Of Cloaked Elements + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	296			100	16	496	1		2	amul	l27						useitem	99			prop-upgrade			10	10	prop-cdrtosorcauras			6	6	extra-fire			70	70	extra-cold			70	70	extra-ltng			70	70																																																											0
Legendary Rune Of Summoned Spikes + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	297			100	16	496	1		2	amul	l28						useitem	99			prop-dmgtochained			120	120	oskill		84	3	3	prop-upgrade			10	10	prop-bonespikesmaxtargets			2	2																																																																0
Legendary Rune Of Spirit Assault + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	298			100	16	496	1		2	amul	l29						useitem	99			prop-dmgtofragment			120	120	oskill		472	3	3	prop-upgrade			10	10	prop-spiritbarrageincreasedduration			50	50																																																																0
Legendary Rune Of Enhanced Quivers + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	299			100	16	496	1		2	amul	l30						useitem	99			ama			2	2	oskill		8	3	3	prop-upgrade			10	10	prop-enabledoublebenefittomagicquiver			1	1																																																																0
Legendary Rune Of Bloody Waters + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	300			100	16	496	1		2	amul	l31						useitem	99			prop-dmgtomultishot			120	120	oskill		66	3	3	prop-projtobloodstream			2	2	prop-upgrade			10	10																																																																0
Legendary Rune Of Faded Magic + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	301			100	16	496	1		2	amul	l32						useitem	99			ass			2	2	oskill		267	3	3	prop-magrestofade			1	1	prop-upgrade			10	10																																																																0
Legendary Rune Of Flaming Hells + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	302			100	16	496	1		2	amul	l33						useitem	99			prop-dmgtomultishot			120	120	oskill		152	3	3	prop-hfproj			2	2	prop-upgrade			10	10																																																																0
Legendary Rune Of Earthen Gale + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	303			100	16	496	1		2	amul	l34						useitem	99			prop-dmgtowind			120	120	oskill		227	3	3	prop-earthdamagetosweepinggale			4	4	prop-upgrade			10	10																																																																0
Legendary Rune Of The Stone Bovine + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	304			100	16	496	1		2	amul	l35						useitem	99			prop-dmgtonova			120	120	oskill		248	3	3	prop-dmgpercenttostonefist			25	25	prop-upgrade			10	10																																																																0
Legendary Rune Of The Bovine Gale + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	305			100	16	496	1		2	amul	l36						useitem	99			prop-dmgtomultishot			120	120	oskill		232	3	3	prop-dmgpercenttobovineburst			25	25	prop-upgrade			10	10																																																																0
Legendary Rune Of The Magical Martial Artist + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	306			100	16	496	1		2	amul	l37						useitem	99			dr%			40	40	mdr%			40	40	prop-drpercenttommm			3	3	prop-upgrade			10	10																																																																0
Legendary Rune Of Totem Mastery + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	307			100	16	496	1		2	amul	l38						useitem	99			prop-dmgtototem			140	140	prop-upgrade			10	10	dru			2	2																																																																					0
Legendary Rune Of The Slow Mind + amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	308			100	16	496	1		2	amul	l39						useitem	99			prop-dmgtototem			140	140	prop-upgrade			10	10	prop-mbvel			25	25	prop-upgrade			10	10	ass			2	2																																																											0
Legendary Rune Of The Poison Assassin+ amulet = add secret modifiers to amulet ( name is a hint to what mods are given )	1	309			100	16	496	1		2	amul	l40						useitem	99			extra-pois			60	70	prop-upgrade			10	10	pierce-immunity-poison			12	12	prop-upgrade			10	10	ass			1	1																																																											0
blank legendary rune = random legendary rune	1	310			100					1	blr							lr1	100	1																																																																																					0
key of potential = amulet upgrade stone materials	1	311			100					1	kop							aus	100	1																																																																																					0
orb of augmentation- attack speed	1	312			100	16	496	8		2	"armo,mag"	ooa						useitem	100	1		prop-upgrade			3	3	swing2			10	20	ease			5	5																																																																					0
orb of augmentation- cast speed	1	313			100	16	496	8		2	"armo,mag"	100						useitem	100	1		prop-upgrade			3	3	cast2			10	20	ease			5	5																																																																					0
orb of augmentation- move speed	1	314			100	16	496	8		2	"armo,mag"	101						useitem	100	1		prop-upgrade			3	3	move2			10	20	ease			5	5																																																																					0
orb of augmentation- ac	1	315			100	16	496	8		2	"armo,mag"	102						useitem	100	1		prop-upgrade			3	3	ac			200	400	ease			5	5																																																																					0
orb of augmentation- bothdr	1	316			100	16	496	8		2	"armo,mag"	103						useitem	100	1		prop-upgrade			3	3	bothdr			35	60	ease			5	5																																																																					0
orb of augmentation- str	1	317			100	16	496	8		2	"armo,mag"	104						useitem	100	1		prop-upgrade			3	3	str			12	24	ease			5	5																																																																					0
orb of augmentation- dex	1	318			100	16	496	8		2	"armo,mag"	105						useitem	100	1		prop-upgrade			3	3	dex			12	24	ease			5	5																																																																					0
orb of augmentation- vit	1	319			100	16	496	8		2	"armo,mag"	106						useitem	100	1		prop-upgrade			3	3	vit			12	24	ease			5	5																																																																					0
orb of augmentation- enr	1	320			100	16	496	8		2	"armo,mag"	107						useitem	100	1		prop-upgrade			3	3	enr			12	24	ease			5	5																																																																					0
orb of augmentation- mana	1	321			100	16	496	8		2	"armo,mag"	108						useitem	100	1		prop-upgrade			3	3	mana			80	160	ease			5	5																																																																					0
orb of augmentation- hp	1	322			100	16	496	8		2	"armo,mag"	109						useitem	100	1		prop-upgrade			3	3	hp			60	120	ease			5	5																																																																					0
orb of augmentation- att	1	323			100	16	496	8		2	"armo,mag"	110						useitem	100	1		prop-upgrade			3	3	att			300	600	ease			5	5																																																																					0
orb of augmentation- res-fire	1	324			100	16	496	8		2	"armo,mag"	111						useitem	100	1		prop-upgrade			3	3	res-fire			18	36	ease			5	5																																																																					0
orb of augmentation- res-cold	1	325			100	16	496	8		2	"armo,mag"	112						useitem	100	1		prop-upgrade			3	3	res-cold			18	36	ease			5	5																																																																					0
orb of augmentation- res-ltng	1	326			100	16	496	8		2	"armo,mag"	113						useitem	100	1		prop-upgrade			3	3	res-ltng			18	36	ease			5	5																																																																					0
orb of augmentation- res-pois	1	327			100	16	496	8		2	"armo,mag"	114						useitem	100	1		prop-upgrade			3	3	res-pois			18	36	ease			5	5																																																																					0
orb of augmentation- dmg%	1	328			100	16	496	8		2	"armo,mag"	115						useitem	100	1		prop-upgrade			3	3	dmg%			150	300	ease			5	5																																																																					0
orb of augmentation- res-all	1	329			100	16	496	8		2	"armo,mag"	116						useitem	100	1		prop-upgrade			3	3	res-all			11	19	ease			5	5																																																																					0
orb of augmentation- regen	1	330			100	16	496	8		2	"armo,mag"	117						useitem	100	1		prop-upgrade			3	3	regen			300	600	ease			5	5																																																																					0
orb of augmentation- mag%	1	331			100	16	496	8		2	"armo,mag"	118						useitem	100	1		prop-upgrade			3	3	mag%			25	38	ease			5	5																																																																					0
orb of augmentation- dmg%	1	332			100	16	496	8		2	"armo,mag"	119						useitem	100	1		prop-upgrade			3	3	dmg%			150	300	ease			5	5																																																																					0
orb of augmentation- manasteal	1	333			100	16	496	8		2	"armo,mag"	120						useitem	100	1		prop-upgrade			3	3	manasteal			5	10	ease			5	5																																																																					0
orb of augmentation- lifesteal	1	334			100	16	496	8		2	"armo,mag"	121						useitem	100	1		prop-upgrade			3	3	lifesteal			3	5	ease			5	5																																																																					0
orb of augmentation- light	1	335			100	16	496	8		2	"armo,mag"	122						useitem	100	1		prop-upgrade			3	3	light			15	30	ease			5	5																																																																					0
orb of augmentation- balance1	1	336			100	16	496	8		2	"armo,mag"	123						useitem	100	1		prop-upgrade			3	3	balance1			12	24	ease			5	5																																																																					0
orb of augmentation- reduce-ac	1	337			100	16	496	8		2	"armo,mag"	124						useitem	100	1		prop-upgrade			3	3	reduce-ac			10	20	ease			5	5																																																																					0
orb of augmentation- half-freeze	1	338			100	16	496	8		2	"armo,mag"	125						useitem	100	1		prop-upgrade			3	3	half-freeze			1	1	ease			5	5																																																																					0
orb of augmentation- dmg-demon	1	339			100	16	496	8		2	"armo,mag"	126						useitem	100	1		prop-upgrade			3	3	dmg-demon			100	200	ease			5	5																																																																					0
orb of augmentation- dmg-undead	1	340			100	16	496	8		2	"armo,mag"	127						useitem	100	1		prop-upgrade			3	3	dmg-undead			100	200	ease			5	5																																																																					0
orb of augmentation- mana-kill	1	341			100	16	496	8		2	"armo,mag"	128						useitem	100	1		prop-upgrade			3	3	mana-kill			22	40	ease			5	5																																																																					0
orb of augmentation- dmg-fire	1	342			100	16	496	8		2	"armo,mag"	129						useitem	100	1		prop-upgrade			3	3	dmg-fire			250	500	ease			5	5																																																																					0
orb of augmentation- dmg-ltng	1	343			100	16	496	8		2	"armo,mag"	130						useitem	100	1		prop-upgrade			3	3	dmg-ltng			250	500	ease			5	5																																																																					0
orb of augmentation- dmg-mag	1	344			100	16	496	8		2	"armo,mag"	131						useitem	100	1		prop-upgrade			3	3	dmg-mag			250	500	ease			5	5																																																																					0
orb of augmentation- dmg-cold	1	345			100	16	496	8		2	"armo,mag"	132						useitem	100	1		prop-upgrade			3	3	dmg-cold			250	500	ease			5	5																																																																					0
orb of augmentation- dmg-pois	1	346			100	16	496	8		2	"armo,mag"	133						useitem	100	1		prop-upgrade			3	3	dmg-pois		25	2500	2500	ease			5	5																																																																					0
orb of augmentation- dmg-norm	1	347			100	16	496	8		2	"armo,mag"	134						useitem	100	1		prop-upgrade			3	3	dmg-norm			20	45	ease			5	5																																																																					0
orb of augmentation- pierce-fire	1	348			100	16	496	8		2	"armo,mag"	135						useitem	100	1		prop-upgrade			3	3	pierce-fire			4	8	ease			5	5																																																																					0
orb of augmentation- pierce-ltng	1	349			100	16	496	8		2	"armo,mag"	136						useitem	100	1		prop-upgrade			3	3	pierce-ltng			4	8	ease			5	5																																																																					0
orb of augmentation- pierce-cold	1	350			100	16	496	8		2	"armo,mag"	137						useitem	100	1		prop-upgrade			3	3	pierce-cold			4	8	ease			5	5																																																																					0
orb of augmentation- pierce-pois	1	351			100	16	496	8		2	"armo,mag"	138						useitem	100	1		prop-upgrade			3	3	pierce-pois			4	8	ease			5	5																																																																					0
orb of augmentation- extra-fire	1	352			100	16	496	8		2	"armo,mag"	139						useitem	100	1		prop-upgrade			3	3	extra-fire			2	6	ease			5	5																																																																					0
orb of augmentation- extra-ltng	1	353			100	16	496	8		2	"armo,mag"	140						useitem	100	1		prop-upgrade			3	3	extra-ltng			4	10	ease			5	5																																																																					0
orb of augmentation- extra-cold	1	354			100	16	496	8		2	"armo,mag"	141						useitem	100	1		prop-upgrade			3	3	extra-cold			4	10	ease			5	5																																																																					0
orb of augmentation- extra-pois	1	355			100	16	496	8		2	"armo,mag"	142						useitem	100	1		prop-upgrade			3	3	extra-pois			4	10	ease			5	5																																																																					0
orb of augmentation- all-stats	1	356			100	16	496	8		2	"armo,mag"	143						useitem	100	1		prop-upgrade			3	3	all-stats			8	16	ease			5	5																																																																					0
orb of augmentation- heal-kill	1	357			100	16	496	8		2	"armo,mag"	144						useitem	100	1		prop-upgrade			3	3	heal-kill			36	72	ease			5	5																																																																					0
orb of augmentation- levelreq	1	358			100	16	496	8		2	"armo,mag"	145						useitem	100	1		prop-upgrade			3	3	levelreq			50	100	ease			300	300																																																																					0
orb of augmentation- thorns 	1	359			100	16	496	8		2	"armo,mag"	146						useitem	100	1		prop-upgrade			3	3	thorns			400	800	ease			5	5																																																																					0
orb of augmentation- socket	1	360			100	16	496	8		2	"armo,mag"	147						useitem	100	1		prop-upgrade			3	3	sock			1	4	ease			5	5																																																																					0
orb of augmentation- attack speed	1	361			100	16	496	8		2	"weap,mag"	ooa						useitem	100	1		prop-upgrade			3	3	swing2			10	20	ease			5	5																																																																					0
orb of augmentation- cast speed	1	362			100	16	496	8		2	"weap,mag"	100						useitem	100	1		prop-upgrade			3	3	cast2			10	20	ease			5	5																																																																					0
orb of augmentation- move speed	1	363			100	16	496	8		2	"weap,mag"	101						useitem	100	1		prop-upgrade			3	3	move2			10	20	ease			5	5																																																																					0
orb of augmentation- ac	1	364			100	16	496	8		2	"weap,mag"	102						useitem	100	1		prop-upgrade			3	3	ac			200	400	ease			5	5																																																																					0
orb of augmentation- bothdr	1	365			100	16	496	8		2	"weap,mag"	103						useitem	100	1		prop-upgrade			3	3	bothdr			35	60	ease			5	5																																																																					0
orb of augmentation- str	1	366			100	16	496	8		2	"weap,mag"	104						useitem	100	1		prop-upgrade			3	3	str			12	24	ease			5	5																																																																					0
orb of augmentation- dex	1	367			100	16	496	8		2	"weap,mag"	105						useitem	100	1		prop-upgrade			3	3	dex			12	24	ease			5	5																																																																					0
orb of augmentation- vit	1	368			100	16	496	8		2	"weap,mag"	106						useitem	100	1		prop-upgrade			3	3	vit			12	24	ease			5	5																																																																					0
orb of augmentation- enr	1	369			100	16	496	8		2	"weap,mag"	107						useitem	100	1		prop-upgrade			3	3	enr			12	24	ease			5	5																																																																					0
orb of augmentation- mana	1	370			100	16	496	8		2	"weap,mag"	108						useitem	100	1		prop-upgrade			3	3	mana			80	160	ease			5	5																																																																					0
orb of augmentation- hp	1	371			100	16	496	8		2	"weap,mag"	109						useitem	100	1		prop-upgrade			3	3	hp			60	120	ease			5	5																																																																					0
orb of augmentation- att	1	372			100	16	496	8		2	"weap,mag"	110						useitem	100	1		prop-upgrade			3	3	att			300	600	ease			5	5																																																																					0
orb of augmentation- res-fire	1	373			100	16	496	8		2	"weap,mag"	111						useitem	100	1		prop-upgrade			3	3	res-fire			18	36	ease			5	5																																																																					0
orb of augmentation- res-cold	1	374			100	16	496	8		2	"weap,mag"	112						useitem	100	1		prop-upgrade			3	3	res-cold			18	36	ease			5	5																																																																					0
orb of augmentation- res-ltng	1	375			100	16	496	8		2	"weap,mag"	113						useitem	100	1		prop-upgrade			3	3	res-ltng			18	36	ease			5	5																																																																					0
orb of augmentation- res-pois	1	376			100	16	496	8		2	"weap,mag"	114						useitem	100	1		prop-upgrade			3	3	res-pois			18	36	ease			5	5																																																																					0
orb of augmentation- dmg%	1	377			100	16	496	8		2	"weap,mag"	115						useitem	100	1		prop-upgrade			3	3	dmg%			150	300	ease			5	5																																																																					0
orb of augmentation- res-all	1	378			100	16	496	8		2	"weap,mag"	116						useitem	100	1		prop-upgrade			3	3	res-all			11	19	ease			5	5																																																																					0
orb of augmentation- regen	1	379			100	16	496	8		2	"weap,mag"	117						useitem	100	1		prop-upgrade			3	3	regen			300	600	ease			5	5																																																																					0
orb of augmentation- mag%	1	380			100	16	496	8		2	"weap,mag"	118						useitem	100	1		prop-upgrade			3	3	mag%			25	38	ease			5	5																																																																					0
orb of augmentation- dmg%	1	381			100	16	496	8		2	"weap,mag"	119						useitem	100	1		prop-upgrade			3	3	dmg%			150	300	ease			5	5																																																																					0
orb of augmentation- manasteal	1	382			100	16	496	8		2	"weap,mag"	120						useitem	100	1		prop-upgrade			3	3	manasteal			5	10	ease			5	5																																																																					0
orb of augmentation- lifesteal	1	383			100	16	496	8		2	"weap,mag"	121						useitem	100	1		prop-upgrade			3	3	lifesteal			3	5	ease			5	5																																																																					0
orb of augmentation- light	1	384			100	16	496	8		2	"weap,mag"	122						useitem	100	1		prop-upgrade			3	3	light			15	30	ease			5	5																																																																					0
orb of augmentation- balance1	1	385			100	16	496	8		2	"weap,mag"	123						useitem	100	1		prop-upgrade			3	3	balance1			12	24	ease			5	5																																																																					0
orb of augmentation- reduce-ac	1	386			100	16	496	8		2	"weap,mag"	124						useitem	100	1		prop-upgrade			3	3	reduce-ac			10	20	ease			5	5																																																																					0
orb of augmentation- half-freeze	1	387			100	16	496	8		2	"weap,mag"	125						useitem	100	1		prop-upgrade			3	3	half-freeze			1	1	ease			5	5																																																																					0
orb of augmentation- dmg-demon	1	388			100	16	496	8		2	"weap,mag"	126						useitem	100	1		prop-upgrade			3	3	dmg-demon			100	200	ease			5	5																																																																					0
orb of augmentation- dmg-undead	1	389			100	16	496	8		2	"weap,mag"	127						useitem	100	1		prop-upgrade			3	3	dmg-undead			100	200	ease			5	5																																																																					0
orb of augmentation- mana-kill	1	390			100	16	496	8		2	"weap,mag"	128						useitem	100	1		prop-upgrade			3	3	mana-kill			22	40	ease			5	5																																																																					0
orb of augmentation- dmg-fire	1	391			100	16	496	8		2	"weap,mag"	129						useitem	100	1		prop-upgrade			3	3	dmg-fire			250	500	ease			5	5																																																																					0
orb of augmentation- dmg-ltng	1	392			100	16	496	8		2	"weap,mag"	130						useitem	100	1		prop-upgrade			3	3	dmg-ltng			250	500	ease			5	5																																																																					0
orb of augmentation- dmg-mag	1	393			100	16	496	8		2	"weap,mag"	131						useitem	100	1		prop-upgrade			3	3	dmg-mag			250	500	ease			5	5																																																																					0
orb of augmentation- dmg-cold	1	394			100	16	496	8		2	"weap,mag"	132						useitem	100	1		prop-upgrade			3	3	dmg-cold			250	500	ease			5	5																																																																					0
orb of augmentation- dmg-pois	1	395			100	16	496	8		2	"weap,mag"	133						useitem	100	1		prop-upgrade			3	3	dmg-pois		25	2500	2500	ease			5	5																																																																					0
orb of augmentation- dmg-norm	1	396			100	16	496	8		2	"weap,mag"	134						useitem	100	1		prop-upgrade			3	3	dmg-norm			20	45	ease			5	5																																																																					0
orb of augmentation- pierce-fire	1	397			100	16	496	8		2	"weap,mag"	135						useitem	100	1		prop-upgrade			3	3	pierce-fire			4	8	ease			5	5																																																																					0
orb of augmentation- pierce-ltng	1	398			100	16	496	8		2	"weap,mag"	136						useitem	100	1		prop-upgrade			3	3	pierce-ltng			4	8	ease			5	5																																																																					0
orb of augmentation- pierce-cold	1	399			100	16	496	8		2	"weap,mag"	137						useitem	100	1		prop-upgrade			3	3	pierce-cold			4	8	ease			5	5																																																																					0
orb of augmentation- pierce-pois	1	400			100	16	496	8		2	"weap,mag"	138						useitem	100	1		prop-upgrade			3	3	pierce-pois			4	8	ease			5	5																																																																					0
orb of augmentation- extra-fire	1	401			100	16	496	8		2	"weap,mag"	139						useitem	100	1		prop-upgrade			3	3	extra-fire			2	6	ease			5	5																																																																					0
orb of augmentation- extra-ltng	1	402			100	16	496	8		2	"weap,mag"	140						useitem	100	1		prop-upgrade			3	3	extra-ltng			4	10	ease			5	5																																																																					0
orb of augmentation- extra-cold	1	403			100	16	496	8		2	"weap,mag"	141						useitem	100	1		prop-upgrade			3	3	extra-cold			4	10	ease			5	5																																																																					0
orb of augmentation- extra-pois	1	404			100	16	496	8		2	"weap,mag"	142						useitem	100	1		prop-upgrade			3	3	extra-pois			4	10	ease			5	5																																																																					0
orb of augmentation- all-stats	1	405			100	16	496	8		2	"weap,mag"	143						useitem	100	1		prop-upgrade			3	3	all-stats			8	16	ease			5	5																																																																					0
orb of augmentation- heal-kill	1	406			100	16	496	8		2	"weap,mag"	144						useitem	100	1		prop-upgrade			3	3	heal-kill			36	72	ease			5	5																																																																					0
orb of augmentation- levelreq	1	407			100	16	496	8		2	"weap,mag"	145						useitem	100	1		prop-upgrade			3	3	levelreq			50	100	ease			300	300																																																																					0
orb of augmentation- thorns	1	408			100	16	496	8		2	"weap,mag"	146						useitem	100	1		prop-upgrade			3	3	thorns			400	800	ease			5	8																																																																					0
orb of augmentation- socket	1	409			100	16	496	8		2	"weap,mag"	147						useitem	100	1		prop-upgrade			3	3	sock			1	2	ease			5	5																																																																					0
orb of transmutation + white weapon with no sockets= magic item	1	410			100					2	"weap,nor,nos"	oot						"usetype,mag"	100	50	50	hp			100	100	mana			100	100	prop-upgrade			1	1																																																																					0
unidentified orb of augmentation by itself- identified orb of augmentation	1	411			100					1	uoa							poe3	100	1																																																																																					0
orb of transmutation + white armor with no sockets= magic item	1	412			100					2	"armo,nor,nos"	oot						"usetype,mag"	100	75		hp			100	100	mana			100	100	prop-upgrade			1	1																																																																					0
orb of augmentation- attack speed	1	413			100	16	496	1		2	lcha	ooa						useitem				prop-upgrade			10	10	swing2			10	26	levelreq			3	3																																																																					0
orb of augmentation- cast speed	1	414			100	16	496	1		2	lcha	100						useitem				prop-upgrade			10	10	cast2			10	26	levelreq			3	3																																																																					0
orb of augmentation- move speed	1	415			100	16	496	1		2	lcha	101						useitem				prop-upgrade			10	10	move2			10	26	levelreq			3	3																																																																					0
orb of augmentation- ac	1	416			100	16	496	1		2	lcha	102						useitem				prop-upgrade			10	10	ac			200	520	levelreq			3	3																																																																					0
orb of augmentation- bothdr	1	417			100	16	496	1		2	lcha	103						useitem				prop-upgrade			10	10	bothdr			35	60	levelreq			3	3																																																																					0
orb of augmentation- str	1	418			100	16	496	1		2	lcha	104						useitem				prop-upgrade			10	10	str			12	31	levelreq			3	3																																																																					0
orb of augmentation- dex	1	419			100	16	496	1		2	lcha	105						useitem				prop-upgrade			10	10	dex			12	31	levelreq			3	3																																																																					0
orb of augmentation- vit	1	420			100	16	496	1		2	lcha	106						useitem				prop-upgrade			10	10	vit			12	31	levelreq			3	3																																																																					0
orb of augmentation- enr	1	421			100	16	496	1		2	lcha	107						useitem				prop-upgrade			10	10	enr			12	31	levelreq			3	3																																																																					0
orb of augmentation- mana	1	422			100	16	496	1		2	lcha	108						useitem				prop-upgrade			10	10	mana			80	208	levelreq			3	3																																																																					0
orb of augmentation- hp	1	423			100	16	496	1		2	lcha	109						useitem				prop-upgrade			10	10	hp			60	156	levelreq			3	3																																																																					0
orb of augmentation- att	1	424			100	16	496	1		2	lcha	110						useitem				prop-upgrade			10	10	att			300	780	levelreq			3	3																																																																					0
orb of augmentation- res-fire	1	425			100	16	496	1		2	lcha	111						useitem				prop-upgrade			10	10	res-fire			18	47	levelreq			3	3																																																																					0
orb of augmentation- res-cold	1	426			100	16	496	1		2	lcha	112						useitem				prop-upgrade			10	10	res-cold			18	47	levelreq			3	3																																																																					0
orb of augmentation- res-ltng	1	427			100	16	496	1		2	lcha	113						useitem				prop-upgrade			10	10	res-ltng			18	47	levelreq			3	3																																																																					0
orb of augmentation- res-pois	1	428			100	16	496	1		2	lcha	114						useitem				prop-upgrade			10	10	res-pois			18	47	levelreq			3	3																																																																					0
orb of augmentation- dmg%	1	429			100	16	496	1		2	lcha	115						useitem				prop-upgrade			10	10	dmg%			150	390	levelreq			3	3																																																																					0
orb of augmentation- res-all	1	430			100	16	496	1		2	lcha	116						useitem				prop-upgrade			10	10	res-all			11	26	levelreq			3	3																																																																					0
orb of augmentation- regen	1	431			100	16	496	1		2	lcha	117						useitem				prop-upgrade			10	10	regen			300	780	levelreq			3	3																																																																					0
orb of augmentation- mag%	1	432			100	16	496	1		2	lcha	118						useitem				prop-upgrade			10	10	mag%			25	49	levelreq			3	3																																																																					0
orb of augmentation- dmg%	1	433			100	16	496	1		2	lcha	119						useitem				prop-upgrade			10	10	dmg%			150	390	levelreq			3	3																																																																					0
orb of augmentation- manasteal	1	434			100	16	496	1		2	lcha	120						useitem				prop-upgrade			10	10	manasteal			5	13	levelreq			3	3																																																																					0
orb of augmentation- lifesteal	1	435			100	16	496	1		2	lcha	121						useitem				prop-upgrade			10	10	lifesteal			3	7	levelreq			3	3																																																																					0
orb of augmentation- light	1	436			100	16	496	1		2	lcha	122						useitem				prop-upgrade			10	10	light			15	39	levelreq			3	3																																																																					0
orb of augmentation- balance1	1	437			100	16	496	1		2	lcha	123						useitem				prop-upgrade			10	10	balance1			12	31	levelreq			3	3																																																																					0
orb of augmentation- reduce-ac	1	438			100	16	496	1		2	lcha	124						useitem				prop-upgrade			10	10	reduce-ac			10	26	levelreq			3	3																																																																					0
