Id	*hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	rightArmItemType	leftArmItemType	canNotUseTwoHandedItems	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
mosquito4	117	mosquito1		3	BloodWing	mosquito4	morepoisondamage	mosquito	Mosquito	drains mana and stamina	MO	1													3	4		6	12	50	24	53	85	mosquito	mosquito	10	15	14	13										40	50	55	40	50	60	5	5	5																			1	1								1				1	1												Mosquito	seq_mosquitoskill	1																						100	75	50	-50	-40	-33													33	20	30	30	30	34	2				24	24	24	5	42	214	170	148	61	81	184							40	200	190	150	100	110	99							40	200	95	75	50	55	90							A1	stam	90	500	562		100	500	600		100	500	600																														Swarm 2	Act 3 Champ B	Act 3 Unique B		Swarm 2 (N)	Act 3 (N) Champ B	Act 3 (N) Unique B		Swarm 2 (H)	Act 3 (H) Champ B	Act 3 (H) Unique B								0
willowisp1	118	willowisp1	willowisp2	0	Gloam	willowisp1	lvl1evilspearitondeath	willowisp	WillOWisp	drains mana	WW	1	1												2	3		15	15	50	21	50	80	willowisp	willowisp	10	15	14	13				40	50	60	70	70	70	50	50	50																						willowisplightningbolt			1	1					1			1				1	1												Chain Lightning	SC	1																									-50	-33	0	40			50			40			70			26	100	40	30	50	28	2				21	21	21	5	88	174	170	148	43	63	188							90	170	230	240	90	99	132							90	170	115	120	45	50	120							A1	mana	40	14	64		40	100	200		40	200	300		SC	ltng	100	5	120		100	5	160		100	5	190																Act 3 Wraith A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) Wraith A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) Wraith A	Act 3 (H) Champ A	Act 3 (H) Unique A						1	1	0
willowisp2	119	willowisp1	willowisp3	1	SwampGhost	willowisp2	lvl1holyspearitondeath	willowisp	WillOWisp	drains mana	WW	1	1												2	4		15	15	50	23	53	81	willowisp	willowisp	10	15	14	13				50	60	65	80	80	80	40	40	40																						willowisplightningbolt			1	1					1			1				1	1												Chain Lightning	SC	2																									-50	-33	0	50			60			50			80			10	23	60	25	60	33	2				23	23	23	5	88	172	170	148	41	61	184							90	170	230	240	90	99	132							90	170	115	120	45	50	120							A1	mana	60	13	66		60	100	200		60	200	300		SC	ltng	100	5	120		100	5	160		100	5	190																Act 3 Wraith B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Wraith B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Wraith B	Act 3 (H) Champ B	Act 3 (H) Unique B						1	1	0
willowisp3	120	willowisp1	willowisp4	2	BurningSoul	willowisp3	lvl1volcanicstrikeondeath	willowisp	WillOWisp	drains mana	WW	1	1												3	4		15	15	50	26	56	83	willowisp	willowisp	10	15	14	13				60	70	70	85	85	85	35	35	35																						willowisplightningbolt			1	1					1			1				1	1												Chain Lightning	SC	3																									-50	-33	0	60			70			60			85			10	23	60	25	60	33	2				26	26	26	5	90	172	168	156	43	63	186							90	170	230	240	90	99	132							90	170	115	120	45	50	120							A1	mana	80	17	70		80	100	200		80	200	300		SC	ltng	100	5	120		100	5	160		100	5	190																Act 4 Wraith A	Act 3 Champ A	Act 3 Unique A		Act 4 (N) Wraith A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 4 (H) Wraith A	Act 3 (H) Champ A	Act 3 (H) Unique A						1	1	0
willowisp4	121	willowisp1	willowisp5	3	BlackSoul	willowisp4	lvl1snowballondeath	willowisp	WillOWisp	drains mana	WW	1	1												3	5		15	15	50	28	58	85	willowisp	willowisp	10	15	14	13				70	70	75	90	90	90	30	30	30																						willowisplightningbolt			1	1					1			1				1	1												Chain Lightning	SC	4																									-50	-33	0	70			80			70			100			36	30	40	52	40	38	2				28	28	28	5	88	174	168	164	41	61	186							90	170	230	240	90	99	132							90	170	115	120	45	50	120							A1	mana	90	16	72		90	100	200		90	200	300		SC	ltng	100	5	120		100	5	160		100	5	190																Act 4 Wraith B	Act 3 Champ B	Act 3 Unique B		Act 4 (N) Wraith B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 4 (H) Wraith B	Act 3 (H) Champ B	Act 3 (H) Unique B						1	1	0
arach1	122	arach1	arach2	0	Arach	arach1	lvl1windstrikeondeath	arach	Arach		SP	1													2	3		6	6	50	11	42	73	arach	arach	10	15	14	13				45	55	60	33	33	33	15	20	25	8	8	8	25	25	25																			1	1												1	1							1					SpiderLay	A2	1																						100	75	50	-50	-40	-25													30	20	30	30	30	34	3				12	12	12	5	310	384	168	228	106	126	184							300	380	270	220	160	176	110							300	380	135	110	80	88	100																																																	Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
arach2	123	arach1	arach3	1	SandFisher	arach2	lvl1clustergrenadesondeath	arach	Arach		SP	1													3	3		7	7	50	15	45	75	arach	arach	10	15	14	13				55	65	70	40	40	40	15	20	25	8	10	10	30	30	30																			1	1												1	1							1					SpiderLay	A2	2																						100	75	50	-50	-40	-25													36	30	40	52	40	38	3				16	16	16	5	302	382	168	226	109	129	188							300	380	270	220	160	176	110							300	380	135	110	80	88	100																																																	Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
arach3	124	arach1	arach4	2	PoisonSpinner	arach3	lvl1hadokenondeath	arach	Arach		SP	1													3	4		8	8	50	21	49	78	arach	arach	10	15	14	13				65	75	75	45	45	45	20	25	30	8	12	12	35	35	35																			1	1												1	1							1					SpiderLay	A2	3																						100	75	50	-50	-40	-25													33	20	30	30	30	34	3				21	21	21	5	302	382	170	226	103	123	188							300	380	270	220	140	154	110							300	380	135	110	70	77	100							A1	pois	33	13	22	50	33	25	63	1200	33	30	75	50																													Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
arach4	125	arach1	arach5	3	FlameSpider	arach4	fasterattackwalkres	arach	Arach		SP	1													4	4		8	9	50	22	50	79	arach	arach	10	15	14	13				75	75	75	50	50	50	33	35	40	8	10	10	40	40	40																			1	1												1	1							1					SpiderLay	A2	4																						100	75	50	-50	-40	-25													26	100	40	30	50	28	3				22	22	22	5	302	384	170	226	112	132	188							300	380	270	220	140	154	110							300	380	135	110	70	77	100							A1	fire	40	21	42		40	25	50		40	25	50																														Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
arach5	126	arach1	arach6	4	SpiderMagus	arach5	lvl3poisonvialonhit	arach	Arach		SP	1													4	5		8	11	50	23	53	84	arach	arach	10	15	14	13				75	75	75	55	55	55	20	25	30	8	8	8	45	45	45																			1	1												1	1							1					SpiderLay	A2	5																						100	75	50	-50	-40	-25													10	23	60	25	60	33	3				23	23	23	5	302	380	170	228	113	133	184							300	380	270	220	140	154	110							300	380	135	110	70	77	100							A1	pois	50	16	25	50	50	31	75	3000	50	38	90	50																													Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
thornhulk1	127	thornhulk1	thornhulk2	0	ThornedHulk	thornhulk1	lvl1waveofforceondeath	thornhulk	ThornHulk		TH	1													1	3		3	3	50	21	49	79	thornhulk	thornhulk	10	15	14	13				80	80	80	15	15	15	10	10	10	30	30	30	5	3	1	3	4	5																1	1												1	1							1					MonFrenzy	A2	1																						100	85	75	-50	-40	-33													10	23	60	25	60	33	4				21	21	21	5	306	496	170	246	103	123	188	103	123	188				380	460	280	260	160	176	116	160	176	120				380	460	140	130	90	99	105	75	83	120				A2	stun	100			7	100			7	100			7																													Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
thornhulk2	128	thornhulk1	thornhulk3	1	BrambleHulk	thornhulk2	morefiredamage	thornhulk	ThornHulk		TH	1													2	3		3	3	50	22	50	80	thornhulk	thornhulk	10	15	14	13				85	85	85	25	25	25	10	10	10	40	40	40	5	3	1	3	4	5																1	1												1	1							1					MonFrenzy	A2	2																						100	85	75	-50	-40	-33													36	30	40	52	40	38	4				22	22	22	5	306	496	170	246	112	132	188	112	132	188				380	460	280	260	160	176	116	160	176	120				380	460	140	130	90	99	105	75	83	120				A2	stun	100			7	100			7	100			7																													Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
thornhulk3	129	thornhulk1	thornhulk4	2	Thrasher	thornhulk3	morecolddamage	thornhulk	ThornHulk		TH	1													2	4		3	3	50	23	52	81	thornhulk	thornhulk	10	15	14	13				90	90	90	40	40	40	10	10	10	50	50	50	5	3	1	3	4	5																1	1												1	1							1					MonFrenzy	A2	3																						100	85	75	-50	-40	-33													33	20	100	30	30	34	4				23	23	23	5	306	496	170	246	104	124	184	104	124	184				380	460	280	260	160	176	116	160	176	120				380	460	140	130	90	99	105	75	83	120				A2	stun	100			7	100			7	100			7																													Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
thornhulk4	130	thornhulk1	thornhulk5	3	Spikefist	thornhulk4	moreltngdamage	thornhulk	ThornHulk		TH	1													3	5		3	3	50	27	57	84	thornhulk	thornhulk	10	15	14	13				100	100	100	50	50	50	10	10	10	55	55	55	5	3	1	3	4	5																1	1												1	1							1					MonFrenzy	A2	4																						100	85	75	-50	-40	-33													36	30	40	52	40	38	4				27	27	27	5	304	494	168	266	107	127	186	107	127	186				380	460	280	260	160	176	116	160	176	120				380	460	140	130	90	99	105	75	83	120				A2	stun	100			7	100			7	100			7																													Act 4 H2H A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
vampire1	131	vampire1	vampire2	0	GhoulLord	vampire1	morepoisondamage	vampire	Vampire	steals life	VA	1	1												1	2		6	6	50	19	49	80	vampire	vampire	11	15	14	13				55	55	55	20	40	50	24	25	25	25	25	35	3	3	3																			1							1			1			1	1		1										VampireFireball	SC	2	VampireFirewall	SC	2	VampireMeteor	SC	2	VampireMissile	SC	2													100	85	75	-50	-40	-25	30				50		30				50	50	33	20	30	30	30	34	3				19	19	19	5	306	422	168	220	56	76	186							300	400	200	300	100	110	132							300	400	100	150	50	55	120							A1	cold	60	38	115	25	60	50	100	50	60	50	100	50																													Act 2 Cast C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) Cast C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) Cast C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
vampire2	132	vampire1	vampire3	1	NightLord	vampire2	lvl1evilspearitondeath	vampire	Vampire	steals life	VA	1	1												1	2		7	7	50	23	54	82	vampire	vampire	11	15	14	13				65	65	65	25	50	60	25	26	26	25	28	39	5	5	5																			1							1			1			1	1		1										VampireFireball	SC	3	VampireFirewall	SC	3	VampireMeteor	SC	3	VampireMissile	SC	3													100	85	75	-50	-40	-25	40				50		35				50	50	26	35	40	30	50	28	3				23	23	23	5	306	418	170	220	65	85	184							300	400	200	300	100	110	132							300	400	100	150	50	55	120							A1	cold	65	40	60	25	65	50	100	50	65	50	100	50																													Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
vampire3	133	vampire1	vampire4	2	DarkLord	vampire3	lvl1holyspearitondeath	vampire	Vampire	steals life	VA	1	1												1	3		7	7	50	24	55	83	vampire	vampire	11	15	14	13				76	76	76	30	60	70	26	27	27	25	31	43	7	7	7																			1							1			1			1	1		1										VampireFireball	SC	4	VampireFirewall	SC	4	VampireMeteor	SC	4	VampireMissile	SC	4													100	85	75	-50	-40	-25	50				50		40				50	50	10	23	60	100	60	33	3				24	24	24	5	306	422	170	220	61	81	184							300	400	200	300	100	110	132							300	400	100	150	50	55	120							A1	cold	70	43	62	25	70	50	100	50	70	50	100	50																													Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
vampire4	134	vampire1	vampire5	3	BloodLord	vampire4	lvl1volcanicstrikeondeath	vampire	Vampire	steals life	VA	1	1												2	3		8	8	50	25	55	83	vampire	vampire	11	15	14	13				85	85	85	35	40	45	24	24	24	25	34	47	7	7	7																			1							1			1			1	1		1										VampireFireball	SC	5	VampireFirewall	SC	5	VampireMeteor	SC	5	VampireMissile	SC	5													100	85	75	-50	-40	-25	60				50		45				50	50	10	23	60	25	60	33	3				25	25	25	5	304	420	170	226	61	81	186							300	400	200	300	100	110	132							300	400	100	150	50	55	120							A1	cold	75	50	68	25	75	50	100	50	75	50	100	50																													Act 3 Cast C	Act 3 Champ C	Act 3 Unique C		Act 3 (N) Cast C	Act 3 (N) Champ C	Act 3 (N) Unique C		Act 3 (H) Cast C	Act 3 (H) Champ C	Act 3 (H) Unique C								0
vampire5	135	vampire1	vampire6	4	Banished	vampire5	lvl1snowballondeath	vampire	Vampire	steals life	VA	1	1												1	1		9	9	50	12	43	73	vampire	vampire	11	15	14	13				85	85	85	40	70	80	28	28	28	25	37	51	1	1	1																			1							1			1			1	1		1										VampireFireball	SC	1	VampireFirewall	SC	1	VampireMeteor	SC	1	VampireMissile	SC	1													100	85	75	-50	-40	-25	20				50		20				50	50	36	30	40	52	40	38	3				13	13	13	5	308	424	168	222	61	81	186							300	400	200	300	100	110	132							300	400	100	150	50	55	120							A1	cold	55	50	87	25	55	50	100	50	55	50	100	50																													Act 1 Cast A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) Cast A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) Cast A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
batdemon1	136	batdemon1	batdemon2	0	DesertWing	batdemon1	lvl1windstrikeondeath	batdemon	BatDemon	Shocking Hit	BT	1													1	3		7	7	50	15	44	79	batdemon	batdemon	10	15	14	13				33	33	33	20	20	20	60	65	70	50	55	60	8	8	8																			1	1								1				1	1																																				100	85	75	-50	-40	-33													33	20	30	30	30	34	2				15	15	15	5	88	302	168	164	85	105	188	85	105	388				140	220	220	160	130	143	110	130	143	200				140	220	110	80	65	72	100	80	88	200				A2	ltng	65	70	100		65	5	180		65	5	240																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A						1	1	0
batdemon2	137	batdemon1	batdemon3	1	Fiend	batdemon2	lvl1clustergrenadesondeath	batdemon	BatDemon	Shocking Hit	BT	1													2	3		8	8	50	19	50	79	batdemon	batdemon	10	15	14	13				33	33	33	20	20	20	65	70	75	50	56	62	8	8	8																			1	1								1				1	1																																				100	85	75	-50	-40	-33													36	30	40	52	100	38	2				15	15	15	5	92	302	168	164	74	94	186	74	94	334				140	220	220	160	130	143	110	130	143	200				140	220	110	80	65	72	100	80	88	200				A2	ltng	70	61	92		70	5	180		70	5	240																														Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B						1	1	0
batdemon3	138	batdemon1	batdemon4	2	Gloombat	batdemon3	lvl1hadokenondeath	batdemon	BatDemon	Shocking Hit	BT	1													2	3		9	9	50	22	51	81	batdemon	batdemon	10	15	14	13				33	33	33	20	20	20	70	75	80	50	57	64	8	8	8																			1	1								1				1	1																																				100	85	75	-50	-40	-33													33	20	30	30	30	34	2				15	15	15	5	88	302	170	164	78	98	188	78	98	312				140	220	220	160	130	143	110	130	143	200				140	220	110	80	65	72	100	80	88	200				A2	ltng	75	64	100		75	5	180		75	5	240																														Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A						1	1	0
batdemon4	139	batdemon1	batdemon5	3	BloodDiver	batdemon4	fasterattackwalkres	batdemon	BatDemon	Shocking Hit	BT	1													2	4		10	10	50	24	54	85	batdemon	batdemon	10	15	14	13				33	33	33	20	20	20	75	80	85	50	58	66	8	8	8																			1	1								1				1	1																																				100	85	75	-50	-40	-33													26	35	40	30	50	28	2				15	15	15	5	90	302	170	164	76	96	184	76	96	308				140	220	220	160	130	143	110	130	143	200				140	220	110	80	65	72	100	80	88	200				A2	ltng	80	62	93		80	5	180		80	5	240																														Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B						1	1	0
batdemon5	140	batdemon1	batdemon6	4	DarkFamiliar	batdemon5	lvl3poisonvialonhit	batdemon	BatDemon	Shocking Hit	BT	1													3	4		12	12	50	27	57	84	batdemon	batdemon	10	15	14	13				33	33	33	20	20	20	80	85	90	50	59	68	8	8	8																			1	1								1				1	1																																				100	85	75	-50	-40	-33													10	23	60	25	60	33	2				15	15	15	5	86	302	168	178	78	98	186	78	98	292				140	220	220	160	130	143	110	130	143	200				140	220	110	80	65	72	100	80	88	200				A2	ltng	85	64	100		85	5	180		85	5	240																														Act 3 H2H C	Act 3 Champ C	Act 3 Unique C		Act 3 (N) H2H C	Act 3 (N) Champ C	Act 3 (N) Unique C		Act 3 (H) H2H C	Act 3 (H) Champ C	Act 3 (H) Unique C						1	1	0
fetish1	141	fetish1	fetish2	0	RatMan	fetish1	lvl1waveofforceondeath	fetish	Fetish		FE	1							fetish1		1	1	1	1	1	1		5	5	50	10	42	72	fetish	fetish	10	15	14	13				100	100	100	10	9	8	4	4	4	33	33	33																						1	1							1		1			1	1							1					SkeletonRaise	seq_fethisraise	1																						100	100	100	-50	-40	-33													10	23	60	25	60	100	2				11	11	11	5	128	220	168	160	86	106	182							110	160	250	150	120	132	105							110	160	125	75	60	66	95																																																	Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
fetish2	142	fetish1	fetish3	1	Fetish	fetish2	morefiredamage	fetish	Fetish		FE	1							fetish2		1	1	1	2	1	2		5	5	50	21	49	79	fetish	fetish	10	15	14	13				100	100	100	10	9	8	4	4	4	33	33	33																						1	1							1		1			1	1							1					SkeletonRaise	seq_fethisraise	1																						100	100	100	-50	-40	-33													36	30	40	52	40	38	2				21	21	21	5	128	214	170	158	78	98	188							110	160	250	150	120	132	105							110	160	125	75	60	66	95																																																	Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
fetish3	143	fetish1	fetish4	2	Flayer	fetish3	morecolddamage	fetish	Fetish		FE	1							fetish3		1	1	1	3	1	3		5	5	50	22	50	80	fetish	fetish	10	15	14	13				100	100	100	10	9	8	4	4	4	33	33	33																						1	1							1		1			1	1							1					SkeletonRaise	seq_fethisraise	1																						100	100	100	-50	-40	-33													33	20	30	30	30	34	2				22	22	22	5	132	214	170	158	86	106	188							110	160	250	150	120	132	105							110	160	125	75	60	66	95																																																	Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
fetish4	144	fetish1	fetish5	3	SoulKiller	fetish4	moreltngdamage	fetish	Fetish		FE	1							fetish4		1	1	2	3	2	3		5	5	50	23	51	81	fetish	fetish	10	15	14	13				100	100	100	10	9	8	4	4	4	33	33	33																						1	1							1		1			1	1							1					SkeletonRaise	seq_fethisraise	1																						100	100	100	-50	-40	-33													36	30	40	52	40	38	2				23	23	23	5	130	214	170	158	80	100	184							110	160	250	150	120	132	105							110	160	125	75	60	66	95																																																	Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
fetish5	145	fetish1	fetish6	4	StygianDoll	fetish5	morepoisondamage	fetish	Fetish		FE	1							fetish5		1	1	2	4	2	4		5	5	50	24	54	83	fetish	fetish	10	15	14	13				100	100	100	10	9	8	4	4	4	33	33	33																						1	1							1		1			1	1							1					SkeletonRaise	seq_fethisraise	1																						100	100	100	-50	-40	-33													33	20	30	30	100	34	2				24	24	24	5	130	214	170	158	83	103	184							110	160	250	150	120	132	105							110	160	125	75	60	66	95																																																	Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
cain1	146	cain1		0	DeckardCain	cain1	lvl1evilspearitondeath	human	NpcOutOfTown		DC	1													1	1		2	2	0				mednpc	mednpc		15	15	15																																				1	1	1	1	1		1									1																																																						26	35	40	30	50	28	2																																																																																																											0
gheed	147	gheed		0	Gheed	gheed	lvl1holyspearitondeath	human	Npc		GH	1													1	1		4	4	0				mednpc	mednpc		15	15	15																																				1	1	1	1	1	1	1									1																																																						10	23	60	25	60	33	2																																																																																																											0
akara	148	akara		0	Akara	akara	lvl1volcanicstrikeondeath	human	Npc		PS	1													1	1		1	1	0				lightnpc	lightnpc		15	15	15																																				1	1	1	1	1	1	1									1																																																												2																																																																																																											0
chicken	149	chicken		0	dummy	chicken			Idle		CK	1													3	3		2	2	0				chicken	chicken		15	15	15																																						1				1									1																																																												2																																																																																																											0
kashya	150	kashya		0	Kashya	kashya	lvl1windstrikeondeath	human	Npc		RC	1													1	1		3	3	0				mednpc	mednpc		15	15	15																																				1	1	1	1	1		1									1																																																												2																																																																																																											0
rat	151	rat		0	dummy	rat			Idle		RT	1													4	4		5	5	0				rat	rat		15	15	15																																				1		1				1								1	1																																																												2																																																																																																											0
rogue1	152	rogue1		0	Dummy	rogue1		human	Idle		RG	1													1	1		8	8	0				act1hire	act1hire	10	15	15	15																												rogue1								1		1	1			1								1	1																																				100	100	100	-50	-50	-50																			2				15	15	15	5	284	568	168											360	420	300											360	420	150																																																																							0
hellmeteor	153	hellmeteor		0	Dummy	hellmeteor			HellMeteor		K9	1													1	1		0	0	0	0	33	66				15	15	15				50	60	70	50	50	50	10	10	10																																										1									HellMeteor	A1	1																																														2																																																																																																											0
charsi	154	charsi		0	Charsi	charsi		human	Npc		CI	1													1	1		4	4	0				charsi	charsi		15	15	15																																				1	1	1	1	1	1	1									1																																																												2																																																																																																											0
warriv1	155	warriv1		0	Warriv	warriv1		human	Npc		WA	1													1	1		3	3	0				mednpc	mednpc		15	15	15																																				1	1	1	1	1	1	1									1																																																												2																																																																																																											0
