name	*order	version	compactsave	rarity	spawnable	minac	maxac	speed	reqstr	reqdex	block	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	normcode	ubercode	spelldesc	spelldescstr	spelldescstr2	spelldesccalc	spelldesccolor	ultracode	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	stackable	minstack	maxstack	spawnstack	Transmogrify	TMogType	TMogMin	TMogMax	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Death Mask	53	0	0	1	1	334	368	0	164	82	0	20	0	72	1	37	27190	120592	xsk	xsk		905	msk	msk	xsk						usk	0	2	2	1	3	1	flpmsk	invmsk									0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Ghost Armor	54	0	0	1	1	196	216	0	114	70	0	20	0	51	1	33	30552	82818	xui	xui		905	qlt	qui	xui						uui	1	2	3	1	2	1	flpqlt	invqlt			0	0	0	0	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	1	xxx	xxx	1	0	
Serpentskin Armor	55	0	0	1	1	233	257	0	128	70	0	24	0	54	1	36	34960	98948	xea	xea		905	lea	lea	xea						uea	1	2	3	1	2	1	flplea	invlea			0	0	1	0	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	1	xxx	xxx	1	0	
Demonhide Armor	56	0	0	1	1	282	310	0	150	75	0	28	0	55	1	37	39090	118379	xla	xla		905	hla	hla	xla						ula	1	2	3	1	2	1	flphla	invhla			1	1	1	0	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	1	xxx	xxx	1	0	
Trellised Armor	57	0	0	1	1	369	407	0	182	91	0	32	0	60	1	37	47582	152854	xtu	xtu		905	stu	stu	xtu						utu	1	2	3	1	2	1	flpstu	invstu	invxtuu	invxtuu	1	0	0	1	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	1	xxx	xxx	1	0	
Linked Mail	58	0	0	1	1	458	539	5	222	111	0	26	0	63	1	37	56600	196874	xng	xng		905	rng	rng	xng						ung	1	2	3	1	3	1	flprng	invrng			0	0	1	1	1	1	0					0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	1	xxx	xxx	1	0	
Tigulated Mail	59	0	0	1	1	562	620	10	258	129	0	36	0	64	1	37	64242	236597	xcl	xcl		905	scl	scl	xcl						ucl	1	2	3	1	3	1	flpscl	invscl			1	1	1	1	1	1	0					0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	1	xxx	xxx	1	0	
Mesh Armor	60	0	0	1	1	629	695	5	276	138	0	45	0	67	1	37	75440	287047	xhn	xhn		905	chn	chn	xhn						uhn	1	2	3	1	3	1	flpchn	invchn			1	1	1	1	2	2	0					0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	1	xxx	xxx	1	0	
Cuirass	61	0	0	1	1	462	510	0	194	97	0	50	0	70	1	37	74719	306728	xrs	xrs		905	brs	brs	xrs						urs	1	2	3	1	3	1	flpbrs	invbrs		invxrss	0	0	2	0	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	1	xxx	xxx	1	0	
Russet Armor	62	0	0	1	1	710	794	5	290	145	0	30	0	73	1	37	93404	394118	xpl	xpl		905	spl	spl	xpl						upl	1	2	3	1	3	1	flpspl	invspl			1	1	2	1	1	1	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	1	xxx	xxx	1	0	
Templar Coat	63	0	0	1	1	925	1015	10	350	250	0	60	0	78	1	37	111395	508964	xlt	xlt		905	plt	plt	xlt						ult	1	2	3	1	3	1	flpplt	invplt			2	2	2	2	1	1	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	1	xxx	xxx	1	0	
Sharktooth Armor	64	0	0	1	1	858	948	5	308	154	0	48	0	82	1	75	111674	551580	xld	xld		905	fld	fld	xld						uld	1	2	3	1	3	1	flpfld	invfld			1	1	2	2	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	1	xxx	xxx	1	0	
Embossed Plate	65	0	0	1	1	1028	1136	5	350	250	0	55	0	87	1	75	137817	728747	xth	xth		905	gth	gth	xth						uth	1	2	3	1	4	1	flpgth	invgth			2	2	1	2	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	1	xxx	xxx	1	0	
Chaos Armor	66	0	0	1	1	989	1093	10	320	160	0	70	0	87	1	75	162672	944206	xul	xul		905	ful	ful	xul						uul	1	2	3	1	4	1	flpful	invful			2	2	2	2	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	1	xxx	xxx	1	0	
Ornate Armor	67	0	0	1	1	1135	1253	5	350	205	0	60	0	87	1	75	225120	1348241	xar	xar		905	aar	aar	xar						uar	1	2	3	1	4	1	flpaar	invaar	invxaru	invxaru	1	2	2	2	2	0	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	1	xxx	xxx	1	0	
Mage Plate	68	0	0	1	1	498	550	0	164	82	0	60	0	87	1	75	118407	663749	xtp	xtp		905	ltp	ltp	xtp						utp	1	2	3	1	3	1	flpltp	invltp			2	0	1	1	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	7	8	1	xxx	xxx	1	0	
Defender	69	0	0	1	1	164	180	0	114	57	5	68	0	51	1	33	12562	38562	xuc	xuc		905	buc	buc	xuc						uuc	7	2	2	1	1	2	flpbuc	invbuc	invbucu	invbucu							0					0	xxx			shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0			0	1	0	8	12	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	1	xxx	xxx	1	0	
Round Shield	70	0	0	1	1	251	277	0	158	79	6	64	0	55	1	37	15451	51868	xml	xml		905	buc	sml	xml						uml	7	2	2	1	2	2	flpsml	invsml	invxmlu	invxmlu							0					0	xxx			shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0			0	1	0	7	14	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	5	1	xxx	xxx	1	0	
Scutum	71	0	0	1	1	379	416	5	212	106	7	62	0	63	1	37	19537	74180	xrg	xrg		905	lrg	lrg	xrg						urg	7	2	3	1	3	2	flplrg	invlrg	invxrgu	invxrgu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	11	15	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	2	1	xxx	xxx	1	0	
Dragon Shield	72	0	0	1	1	519	573	0	272	136	9	76	0	67	1	37	23094	94972	xit	xit		905	kit	kit	xit						uit	7	2	3	1	3	2	flpkit	invkit	invkitu	invkitu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	15	24	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	2	1	xxx	xxx	1	0	
Pavise	73	0	0	1	1	742	820	10	350	250	12	72	0	75	1	37	29550	139250	xow	xow		905	tow	tow	xow						uow	7	2	3	1	3	2	flptow	invtow	invtowu	invtowu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	10	17	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	2	1	xxx	xxx	1	0	
Ancient Shield	74	0	0	1	1	784	866	5	330	250	8	80	0	84	1	75	39220	211170	xts	xts		905	kit	gts	xts						uts	7	2	4	1	3	2	flpgts	invgts	invgtsu	invgtsu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	12	16	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	2	1	xxx	xxx	1	0	
Demonhide Gloves	75	0	0	1	1	74	80	0	70	70	0	12	0	49	1	31	8480	32051	xlg	xlg		905	lgl	lgl	xlg						ulg	16	2	2	1	1	0	flplgl	invlgl									0					0	xxx			glov		item_gloves	12	item_gloves	0	0	5	0	0	0			0	5	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	0	
Sharkskin Gloves	76	0	0	1	1	87	95	0	70	70	0	14	0	58	1	37	11420	42532	xvg	xvg		905	vgl	vgl	xvg						uvg	16	2	2	1	1	0	flpvgl	invvgl									0					0	xxx			glov		item_gloves	12	item_gloves	0	0	5	0	0	0			0	5	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	0	
Heavy Bracers	77	0	0	1	1	237	261	0	174	87	0	16	0	64	1	37	14111	57403	xmg	xmg		905	mgl	mgl	xmg						umg	16	2	2	1	1	0	flpmgl	invmgl									0					0	xxx			glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0			0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	0	
Battle Gauntlets	78	0	0	1	1	410	452	0	264	132	0	18	0	73	1	37	16913	80513	xtg	xtg		905	mgl	tgl	xtg						utg	16	2	2	1	1	0	flptgl	invtgl									0					0	xxx			glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0			0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	0	
War Gauntlets	79	0	0	1	1	565	623	0	330	165	0	24	0	81	1	75	20900	111872	xhg	xhg		905	hgl	hgl	xhg						uhg	16	2	2	1	1	0	flphgl	invhgl									0					0	xxx			glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0			0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	0	
Demonhide Boots	80	0	0	1	1	80	88	0	70	70	0	12	0	54	1	36	9230	32051	xlb	xlb		905	lbt	lbt	xlb						ulb	16	2	2	1	1	1	flplbt	invlbt									0					0	xxx			boot		item_boots	12	item_boots	0	0	5	0	0	0			0	6	0	26	46	120		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	0	
Sharkskin Boots	81	0	0	1	1	173	191	0	140	70	0	14	0	58	1	37	11393	42430	xvb	xvb		905	vbt	vbt	xvb						uvb	16	2	2	1	1	1	flpvbt	invvbt									0					0	xxx			boot		item_boots	12	item_boots	0	0	5	0	0	0			0	6	0	28	50	120		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	1	
Mesh Boots	82	0	0	1	1	265	291	0	194	97	0	16	0	64	1	37	14103	57371	xmb	xmb		905	mbt	mbt	xmb						umb	16	2	2	1	1	1	flpmbt	invmbt									0					0	xxx			boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0			0	6	0	23	52	120		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	1	
Battle Boots	83	0	0	1	1	410	452	0	284	142	0	18	0	73	1	37	16905	80475	xtb	xtb		905	mbt	tbt	xtb						utb	16	2	2	1	1	1	flptbt	invtbt									0					0	xxx			boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0			0	6	0	37	64	120		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	1	
War Boots	84	0	0	1	1	565	623	0	350	250	0	24	0	81	1	37	20885	111787	xhb	xhb		905	hbt	hbt	xhb						uhb	16	2	2	1	1	1	flphbt	invhbt									0					0	xxx			boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0			0	6	0	39	80	120		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	1	
Demonhide Sash	85	0	0	1	1	53	57	0	70	70	0	12	0	54	1	36	9304	32243	zlb	zlb		905	lbl	lbl	zlb						ulc	16	2	1	0	0	0	flplbl	invlbl									0					0	xxx			belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	6			0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	1	
Sharkskin Belt	86	0	0	1	1	57	63	0	70	70	0	14	0	58	1	37	10700	40405	zvb	zvb		905	vbl	vbl	zvb						uvc	16	2	1	0	0	0	flpvbl	invvbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	6			0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	1	
Mesh Belt	87	0	0	1	1	76	84	0	174	87	0	16	0	64	1	37	13143	54131	zmb	zmb		905	mbl	mbl	zmb						umc	16	2	1	0	0	0	flpmbl	invmbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	6			0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	0	
Battle Belt	88	0	0	1	1	135	149	0	264	132	0	18	0	73	1	37	15713	75593	ztb	ztb		905	mbl	tbl	ztb						utc	16	2	1	0	0	0	flptbl	invtbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	6			0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	0	
War Belt	89	0	0	1	1	187	205	0	330	165	0	24	0	81	1	75	20350	109256	zhb	zhb		905	hbl	hbl	zhb						uhc	16	2	1	0	0	0	flphbl	invhbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	6			0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	1	xxx	xxx	1	0	
Grim Helm	90	0	0	1	1	369	407	0	174	87	0	40	0	75	1	37	37683	174474	xh9	xh9		905	bhm	bhm	xh9						uh9	0	2	2	1	2	1	flpbhm	invbhm	invbhmu	invbhmu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	2	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	7	8	1	xxx	xxx	1	0	
Grim Shield	91	0	0	1	1	355	391	0	174	87	10	70	0	72	1	37	39143	168762	xsh	xsh		905	bsh	bsh	xsh						ush	7	2	3	1	2	2	flpbsh	invbsh	invxshu	invxshu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	14	20	100		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	1	xxx	xxx	1	0	
Barbed Shield	92	0	0	1	1	345	381	0	194	97	9	55	0	63	1	37	23155	86162	xpk	xpk		905	spk	spk	xpk						upk	7	2	3	1	2	2	flpspk	invspk	invxpku	invxpku							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	18	35	100		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	1	xxx	xxx	1	0	
Expansion	93			1											1							905																																																																																																																																																1					
Wolf Head	94	100	0	1	1	13	15	0	70	70	0	20	0	6	1	4	364	2434	dr1	dr1		905	dr1	dr1	dr6						drb	0	2	2	1	3	1	flpdr1	invdr1									0					0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	8	8	1	xxx	xxx	1	0	
Hawk Helm	95	100	0	1	1	27	29	0	70	70	0	20	0	12	1	9	664	3920	dr2	dr2		905	dr4	dr2	dr7						drc	0	2	2	1	3	1	flpdr4	invdr2									0					0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	8	8	1	xxx	xxx	1	0	
Antlers	96	100	0	1	1	54	58	0	70	70	0	20	0	24	1	18	2832	10926	dr3	dr3		905	dr3	dr3	dr8						drd	0	2	2	1	3	1	flpdr3	invdr3									0					0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	8	8	1	xxx	xxx	1	0	
Falcon Mask	97	100	0	1	1	80	88	0	84	70	0	20	0	30	1	22	3332	14600	dr4	dr4		905	dr4	dr4	dr9						dre	0	2	2	1	3	1	flpdr4	invdr4									0					0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	8	8	1	xxx	xxx	1	0	
Spirit Mask	98	100	0	1	1	103	113	0	90	70	0	20	0	36	1	27	5670	24275	dr5	dr5		905	dr1	dr5	dra						drf	0	2	2	1	3	1	flpdr1	invdr5									0					0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	8	8	1	xxx	xxx	1	0	
Jawbone Cap	99	100	0	1	1	13	15	0	74	70	0	25	0	6	1	4	320	2375	ba1	ba1		905	ba1	ba1	ba6						bab	0	2	2	1	3	1	flpba1	invba1									0					0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	5	8	1	xxx	xxx	1	0	
Fanged Helm	100	100	0	1	1	39	43	0	104	70	0	35	0	12	1	9	750	4125	ba2	ba2		905	ba1	ba2	ba7						bac	0	2	2	1	3	1	flpba1	invba2									0					0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	5	8	1	xxx	xxx	1	0	
Horned Helm	101	100	0	1	1	102	112	0	134	70	0	45	0	24	1	18	2750	10375	ba3	ba3		905	ba3	ba3	ba8						bad	0	2	2	1	3	1	flpba3	invba3									0					0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	5	8	1	xxx	xxx	1	0	
Assault Helmet	102	100	0	1	1	156	172	0	164	82	0	50	0	30	1	22	3420	14680	ba4	ba4		905	ba5	ba4	ba9						bae	0	2	2	1	3	1	flpba5	invba4									0					0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	5	8	1	xxx	xxx	1	0	
Avenger Guard	103	100	0	1	1	221	243	0	194	97	0	55	0	36	1	27	5785	24640	ba5	ba5		905	ba5	ba5	baa						baf	0	2	2	1	3	1	flpba5	invba5									0					0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Targe	104	100	0	1	1	13	15	0	70	70	3	20	0	6	1	4	384	3159	pa1	pa1		905	pa1	pa1	pa6						pab	7	2	2	1	4	2	flppa1	invpa1									0					0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	1	0			0	1	0	2	6	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	0	0	1	xxx	xxx	1	0	
Rondache	105	100	0	1	1	30	32	0	78	70	4	30	0	12	1	9	982	5259	pa2	pa2		905	pa1	pa2	pa7						pac	7	2	2	1	4	2	flppa1	invpa2									0					0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	2	0			0	1	0	2	8	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	0	0	1	xxx	xxx	1	0	
Heraldic Shield	106	100	0	1	1	92	100	0	120	70	5	40	0	24	1	18	2816	10620	pa3	pa3		905	pa3	pa3	pa8						pad	7	2	4	1	4	2	flppa3	invpa3									0					0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	3	0			0	1	0	3	9	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	0	0	1	xxx	xxx	1	0	
Aerin Shield	107	100	0	1	1	143	157	0	150	75	6	50	0	30	1	22	5158	21779	pa4	pa4		905	pa3	pa4	pa9						pae	7	2	4	1	4	2	flppa3	invpa4									0					0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	4	0			0	1	0	4	10	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	0	0	1	xxx	xxx	1	0	
Crown Shield	108	100	0	1	1	221	243	0	194	97	7	60	0	36	1	27	6935	41038	pa5	pa5		905	pa5	pa5	paa						paf	7	2	2	1	4	2	flppa5	invpa5									0					0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	5	0			0	1	0	4	12	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	1	xxx	xxx	1	0	
Preserved Head	109	100	0	1	1	13	15	0	70	70	2	20	0	6	1	4	128	2314	ne1	ne1		905	ne1	ne1	ne6						neb	10	2	2	1	2	2	flpne1	invne1									0					0	xxx			head		item_head	12	item_head	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	1	0	1	xxx	xxx	1	0	
Zombie Head	110	100	0	1	1	27	29	0	70	70	3	20	0	12	1	9	418	3668	ne2	ne2		905	ne2	ne2	ne7						neg	10	2	2	1	2	2	flpne2	invne2									0					0	xxx			head		item_head	12	item_head	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	1	0	1	xxx	xxx	1	0	
Unraveller Head	111	100	0	1	1	54	58	0	70	70	4	20	0	24	1	18	1070	7390	ne3	ne3		905	ne3	ne3	ne8						ned	10	2	2	1	2	2	flpne3	invne3									0					0	xxx			head		item_head	12	item_head	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	1	0	1	xxx	xxx	1	0	
Gargoyle Head	112	100	0	1	1	67	76	0	70	70	5	20	0	30	1	22	2164	11660	ne4	ne4		905	ne3	ne4	ne9						nee	10	2	2	1	2	2	flpne3	invne4									0					0	xxx			head		item_head	12	item_head	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	1	0	1	xxx	xxx	1	0	
Demon Head	113	100	0	1	1	84	92	0	74	70	6	20	0	36	1	27	3475	17675	ne5	ne5		905	ne2	ne5	nea						nef	10	2	2	1	2	2	flpne2	invne5									0					0	xxx			head		item_head	12	item_head	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	0	1	xxx	xxx	1	0	
Circlet	114	100	0	1	1	72	78	0	70	70	0	35	0	36	1	24	12000	42813	ci0	ci0	3	905	lit	ci0	ci2						ci3	0	2	2	1	2	1	flpci0	invci0									0					0	xxx			circ		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	1	2	1	xxx	xxx	1	0	
Coronet	115	100	0	1	1	156	170	0	70	70	0	30	0	78	1	58	23000	85625	ci1	ci1	8	905	lit	ci1	ci2						ci3	0	2	2	1	2	1	flpci1	invci1									0					0	xxx			circ		item_helm	12	item_helm	0	0	5	0	1	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255	1	2	1	xxx	xxx	1	0	
Tiara	116	100	0	1	1	208	228	0	70	70	0	25	0	87	1	75	35000	350000	ci2	ci2	13	905	lit	ci1	ci2						ci3	0	2	2	1	3	1	flpci1	invci2									0					0	xxx			circ		item_helm	12	item_helm	0	0	5	0	2	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
