skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	*eol
poison explosion	2	4	1	2	34		skillname83	skillld83	skillld83	skillan83	5																36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256																					36	StrSkill3		usmc	256																					40	Sksyn	skillname83	2		76	Poisdplev	skillname73	par8		76	Poisdplev	skillname92	par8																						0
bone spear	2	4	2	2	36		skillname84	skillld84	skillld84	skillan84	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	74	StrSkillReleasesProjectiles		1 + stat('bonespearprojectiles'.accr)																																										40	Sksyn	skillname84	1		76	Magdplev	strchreng	stat('energy'.accr)																											0
bloodgolem	3	4	2	3	38		skillname85	skillld85	skillld85	skillan85																	36	StrSkill3		usmc	256	34	StrSkill4				74	StrSkill80		dm12		13	StrSkill42		(100 + (par7 * (lvl - 1)))*(100 + skill('Golem Mastery'.ln12))/100 - 100												74	StrSkillDefense		120+skill('IronGolem'.lvl)*skill('IronGolem'.par8)		74	StrSkillAttackRating		60 + skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)																	40	Sksyn	skillname85	2		18	skillname79				18	skillname89				76	StrSkillAttackRatingPerLevelFlat	skillname75	skill('Clay Golem'.par8)		76	StrSkillDefensePerLevelFlat	skillname90	skill('IronGolem'.par8)		76	Damplev	skillname94	skill('FireGolem'.par8)							0
attract	1	5	1	1	40		skillname86	skillxld86	skillxld86	skillan86																	31	StrSkillDurationSingular	StrSkill20	ln34	25																										36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																																																			0
decrepify	1	5	3	1	42		skillname87	skillld87	skillld87	skillan87																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	ln34	25																					36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill89		par5		74	StrSkill106		par5		74	StrSkill37		0		74	StrSkill38		par5																																					0
bone prison	2	5	3	2	44		skillname88	skillld88	skillld88	skillan88																	36	StrSkill3		"max(usmc, 1)"	256	13	StrSkill42		(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Wall'.blvl))*par8)																						36	StrSkillDurationSingular	StrSkill20	par2	25																					40	Sksyn	skillname88	2		76	Hpplev	skillname68	par8		76	Hpplev	skillname78	par8																						0
summon resist	3	5	1	3	46		skillname89	skillld89	skillld89	skillan89																	74	StrSkill54		dm12																																																																																							0
irongolem	3	5	2	3	48		skillname90	skillld90	skillld90	skillan90																	74	StrSkillDefenseFlatBonus		lvl*par8		74	StrSkill55		ln12		18	StrSkill112																			36	StrSkill3		usmc	256	74	StrSkillDefense		140+lvl*par8		34	StrSkill4				74	StrSkillAttackRating		80 + skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)		13	StrSkill42		skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8))		40	Sksyn	skillname90	2		18	skillname79				18	skillname89				76	StrSkillAttackRatingPerLevelFlat	skillname75	skill('Clay Golem'.par8)		76	Hpplev	skillname85	skill('BloodGolem'.par8)		76	Damplev	skillname94	skill('FireGolem'.par8)							0
lower resist	1	6	2	1	50		skillname91	skillld91	skillld91	skillan91																	36	StrSkillDurationSingular	StrSkill20	ln34	25	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill54		-dm56																	36	StrSkill3		usmc	256																																																								0
poison nova	2	6	1	2	52		skillname92	skillld92	skillld92	skillan92	5																36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256																					36	StrSkill3		usmc	256																					40	Sksyn	skillname92	2		76	Poisdplev	skillname73	par8		76	Poisdplev	skillname83	par8																						0
bone spirit	2	6	2	2	54		skillname93	skillld93	skillld93	skillan93	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma																																														40	Sksyn	skillname93	2		76	Magdplev	skillname67	par8		76	Magdplev	skillname78	par8		76	Magdplev	skillname84	par8		76	Magdplev	skillname88	par8												0
firegolem	3	6	2	3	56		skillname94	skillld94	skillld94	skillan94																	74	ESkillHawk		"min(lvl,par2)"		74	StrSkill11		3		75	StrSkill4		pnma	pxma	74	StrSkill22		toht												36	Eskillincaseraven		usmc	256																					40	Sksyn	skillname94	2		76	Damplev	strchrdex	stat('dexterity'.accr)																											0
revive							skillname95	skillld95	skillld95	skillan95																	74	StrSkillMonstersCount		lvl						 																					36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	ln34	25	74	StrSkillDamagePercent		skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par4)		74	StrSkillLifePercent		par1 + skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par3)							40	Sksyn	skillname95	2		18	skillname69				18	skillname89																								0
sacrifice	1	1	1	1	0		skillname96	skillld96	skillld96	skillan96	7	ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7											1				74	StrSkillDamagePercent		ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7		74	StrSkill22		toht																						74	StrSkill47		"max(par6, par5-lvl/par3)"																						40	Sksyn	skillname96	2		76	Damplev	skillname124	par8		76	Damplev	skillname122	par7																						0
smite	1	1	3	1	2		skillname97	skillld97	skillld97	skillan97	10																36	StrSkillStunLengthSingular	StrSkill48	"min(250,ln12)"	25	74	StrSkillDamagePercent		ln34																						36	StrSkill3		usmc	256	18	StrSkillAlwaysHits																																																						0
might	2	1	1	2	4	11	skillname98	skillld98	skillld98	skillan98																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkillDamagePercent		ln34																																																																																		0
prayer	3	1	1	3	6	6	skillname99	skillld99	skillld99	skillan99																	36	StrSkill34		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkillHealFlat		edmn																																																																													0
resist fire	3	1	3	3	8		skillname100	skillld100	skillld100	skillan100																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	36	StrSkillMaxResistFirePassive	StrSkillMaxResistFirePassive	(skill('Resist Fire'.blvl) < 1) ? 1 : skill('Resist Fire'.blvl)	2	74	StrSkillMaxResistFireActive		(skill('Resist Fire'.blvl) < 1) ? 1 : skill('Resist Fire'.blvl)		74	StrSkill51		dm34																																																																								0
holy bolt	1	2	2	1	10		skillname101	skillld101	skillld101	skillan101	5																36	StrSkill3		usmc	256	75	StrSkill50		ln12 * (100 + skill('Prayer'.blvl) * par7) / 100	ln34 * (100 + skill('Prayer'.blvl) * par7) / 100	75	StrSkill39		enma	exma																																									40	Sksyn	skillname101	2		76	Magdplev	skillname121	par8		76	Healplev	skillname99	par7																						0
holy fire	2	2	2	2	12		skillname102	skillld102	skillld102	skillan102	25	0	par6														36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	75	StrSkill5		enma	exma*((100+par6)/100)	75	StrSkillFireDamageToYourAttack		edns*par5/256	edxs*par5/256																18	StrSkillProximityDamage																								40	Sksyn	skillname102	2		76	Firedplev	skillname100	par8		76	Firedplev	skillname125	par7																						0
thorns	3	1	2	3	16	9	skillname103	skillld103	skillld103	skillan103	6																36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	ModStr1v		enma		74	StrSkill55		ln34																																																																													0
defiance	3	2	2	3	16	7	skillname104	skillld104	skillld104	skillan104																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill21		ln34																																																																																		0
resist cold	3	2	3	3	18		skillname105	skillld105	skillld105	skillan105																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	36	StrSkillMaxResistColdPassive	StrSkillMaxResistColdPassive	(skill('Resist Cold'.blvl) < 1) ? 1 : skill('Resist Cold'.blvl)	2	74	StrSkillMaxResistColdActive		(skill('Resist Cold'.blvl) < 1) ? 1 : skill('Resist Cold'.blvl)		74	StrSkill52		dm34																																																																								0
zeal	1	3	1	1	20		skillname106	skillld106	skillld106	skillan106	7	((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8											2				74	StrSkillDamagePercent		((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8		74	StrSkill22		toht		74	StrSkill11		"min((par5 + lvl -1), par6)"																	36	StrSkill3		usmc	256																					40	Sksyn	skillname106	2		76	Damplev	skillname96	par8																											0
charge	1	3	3	1	22		skillname107	skillld107	skillld107	skillan107	7	ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8											2				74	StrSkillDamagePercent		ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8		74	StrSkill22		toht																						36	StrSkill3		usmc	256																					40	Sksyn	skillname107	2		76	Damplev	skillname115	par8		76	Damplev	skillname98	par8																						0
blessed aim	2	3	1	2	24	8	skillname108	skillld108	skillld108	skillan108																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkillAttackRatingPassive		(skill('Blessed Aim'.blvl) < 1) ? par8 : skill('Blessed Aim'.blvl) * par8		74	StrSkillAttackRatingActive		ln34																																																																													0
cleansing	3	3	1	3	38		skillname109	skillld109	skillld109	skillan109																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill74		dm34																						76	Healplev2	skillname99	skill('Prayer'.edmn)																						40	Sksyn	skillname109	2		18	skillname99																													0
resist lightning	3	3	3	3	28		skillname110	skillld110	skillld110	skillan110																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	36	StrSkillMaxResistLightningPassive	StrSkillMaxResistLightningPassive	(skill('Resist Lightning'.blvl) < 1) ? 1 : skill('Resist Lightning'.blvl)	2	74	StrSkillMaxResistLightningActive		(skill('Resist Lightning'.blvl) < 1) ? 1 : skill('Resist Lightning'.blvl)		74	StrSkill53		dm34																																																																								0
vengeance	1	4	1	1	40		skillname111	skillld111	skillld111	skillan111	11												1				36	StrSkill3		usmc	256	74	StrSkillLightningDamagePercent		ln12+skill('Resist Lightning'.blvl)*par8+skill('Salvation'.blvl)*par7		36	StrSkillColdLengthSingular	StrSkill13	edln	25	74	StrSkillColdDamagePercent		ln12+skill('Resist Cold'.blvl)*par8+skill('Salvation'.blvl)*par7		74	StrSkillFireDamagePercent		ln12+skill('Resist Fire'.blvl)*par8+skill('Salvation'.blvl)*par7		74	StrSkill22		toht																											40	Sksyn	skillname111	2		76	Firedplev	skillname100	par8		76	Colddplev	skillname105	par8		76	Ltngdplev	skillname110	par8		76	ElemDampLev	skillname125	par7												0
blessed hammer	1	4	2	1	32		skillname112	skillld112	skillld112	skillan112	12																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma																					74	StrSkillDamageToUndead		50																						40	Sksyn	skillname112	2		76	Magdplev	skillname108	par8		76	Magdplev	skillname115	par8																						0
concentration	2	4	1	2	34		skillname113	skillld113	skillld113	skillan113																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkillDamagePercent		ln34																						74	StrSkill76		par5																																																									0
holy freeze	2	4	2	2	36	10	skillname114	skillld114	skillld114	skillan114	25	0	par6														36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill77		dm34		75	StrSkill6		enma	exma*((100+par6)/100)	75	StrSkillColdDamageToYourAttack		edns*par5/256	edxs*par5/256											18	StrSkillProximityDamage																								40	Sksyn	skillname114	2		76	Colddplev	skillname105	par8		76	Colddplev	skillname125	par7																						0
vigor	3	4	2	3	26		skillname115	skillld115	skillld115	skillan115																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill69		ln34		74	StrSkill102		ln34		74	StrSkill89		dm56																																																																								0
conversion	1	5	1	1	30		skillname116	skillld116	skillld116	skillan116	5												1				74	StrSkill99		dm34																											36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	ln12	25																																																			0
holy shield	1	3	3	1	42		skillname117	skillld117	skillld117	skillan117																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill110		dm56		74	StrSkill21		ln34																	36	StrSkill3		usmc	256																																																								0
holy shock	2	5	2	2	44		skillname118	skillxld118	skillxld118	skillan118	25	0	par6														36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	75	StrSkill7		enma	exma*((100+par6)/100)	75	strEskilllighttoattack		edns/256	edxs*par5/256																18	StrSkillProximityDamage																								40	Sksyn	skillname118	2		76	Ltngdplev	skillname110	par8		76	Ltngdplev	skillname125	par7																						0
sanctuary	2	5	3	2	46		skillname119	skillld119	skillld119	skillan119	25	0	par7														36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	75	StrSkill39		enma	exma*((100+par7)/100)	74	StrSkillDamageToUndead		ln34																	18	StrSkillProximityDamage																								40	Sksyn	skillname119	2		76	Magdplev	skillname109	par8																											0
meditation	3	3	1	3	48		skillname120	skillld120	skillld120	skillan120																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill88		ln34																																																																																		0
fist of the heavens	1	6	2	1	50		skillname121	skillld121	skillld121	skillan121	5													fistoftheheavensbolt			75	StrSkill91		m1en	m1ex	75	StrSkill7		enma	exma																					36	StrSkill3		usmc	256	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	10	25																40	Sksyn	skillname121	2		76	Hbdplev	skillname101	15		76	Ltngdplev	skillname118	par8																						0
fanaticism	2	3	3	2	52		skillname122	skillxld122	skillxld122	skillan122																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill106		ast1		74	PartDam		blvl*10		74	FanYDam		blvl*10		74	StrSkill22		blvl*20		74	Moddmgtoholy		ast4																																																														0
conviction	2	4	1	2	56		skillname123	skillld123	skillld123	skillan123																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill54		((-2)*lvl)/2		74	StrSkill21		((-2)*lvl)/2																																																																													0
redemption	3	3	2	3	54		skillname124	skillxld124	skillxld124	skillan124																	74	StrSkill107		ln56		74	StrSkill109		dm34																						36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																																																								0
salvation	3	6	3	3	58		skillname125	skillld125	skillld125	skillan125																	36	StrSkillRadiusSingular	StrSkill18	ln12*2	3	74	StrSkill54		dm34																																																																																		0
bash	1	1	2	1	0	22	skillname126	skillld126	skillld126	skillan126	7	clc1	ln34										1				74	StrSkillDamageFlat		ln34		74	StrSkillDamagePercent		clc1		74	StrSkill22		toht																	36	StrSkill3		usmc	256																					40	Sksyn	skillname126	2		76	Damplev	skillname139	par8		76	AttRateplev	skillname144	par7																						0
blade mastery	2	1	1	2	2		skillname127	skillld127	skillld127	skillan127																	74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																																																													0
axe mastery	2	1	2	2	4		skillname128	skillld128	skillld128	skillan128																	74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																																																													0
mace mastery	2	1	3	2	6		skillname129	skillld129	skillld129	skillan129																	74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																																																													0
howl	3	1	1	3	8		skillname130	skillld130	skillld130	skillan130																	36	StrSkillDurationSingular	StrSkill20	ln56	25	36	StrSkill58		ln34*2	3	36	StrSkillRadiusSingular	StrSkill18	(ln12-3)/2*2	3																36	StrSkill3		usmc	256																																																								0
find potion	3	1	3	3	10		skillname131	skillld131	skillld131	skillan131																	74	StrSkill24		dm12																											36	StrSkill3		usmc	256																																																								0
leap	3	2	2	3	24		skillname132	skillld132	skillld132	skillan132																	36	StrSkillKnockbackRadius	StrSkillKnockbackRadius	ln34*2	3	36	StrSkillRangeRadius	StrSkillRangeRadius	dm12*2	3																					36	StrSkill3		usmc	256																																																								0
double swing	1	2	3	1	14		skillname133	skillld133	skillld133	skillan133	19												2				36	StrSkill3		"max(0, usmc*2)"	256	74	StrSkill22		toht																						74	StrSkillDamagePercent		clc1																						40	Sksyn	skillname133	2		76	Damplev	skillname126	par8																											0
pole arm mastery	1	3	3	1	8		skillname134	skillld134	skillld134	skillan134																	74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																																																													0
throwing mastery	2	2	2	2	18		skillname135	skillld135	skillld135	skillan135																	18	StrSkillReplenishOnCrit				74	StrSkillNoConsumeChance		manc		74	StrSkillPiercingChance		mapi		74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																																														0
spear mastery	2	2	3	2	20		skillname136	skillld136	skillld136	skillan136																	74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																																																													0
taunt	3	2	1	3	22	28	skillname137	skillld137	skillld137	skillan137																	74	StrSkill38		ln34		74	StrSkill57		ln12																						36	StrSkill3		usmc	256																																																								0
shout	3	2	2	3	24		skillname138	skillld138	skillld138	skillan138																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill21		ln12		36	StrSkillRadiusSingular	StrSkill18	19*2	3																36	StrSkill3		usmc	256																					40	Sksyn	skillname138	2		76	Secplev2	skillname149	par8/25		76	Secplev2	skillname155	par8/25																						0
stun	1	3	2	1	26	23	skillname139	skillld139	skillld139	skillan139	7												1				36	StrSkillStunLengthSingular	StrSkill48	"min(250,edln)"	25	74	StrSkill22		toht																						36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc1																	40	Sksyn	skillname139	2		76	Damplev	skillname126	par8		76	AttRateplev	skillname144	par7		76	Durateplev	skillname154	par6																	0
double throw	1	3	3	1	28		skillname140	skillld140	skillld140	skillan140	13												2				74	StrSkillDamagePercent		clc1		74	StrSkill22		toht																						36	StrSkill3		usmc*2	256																					40	Sksyn	skillname140	2		76	Damplev	skillname133	par8																											0
increased stamina	2	3	1	2	30		skillname141	skillld141	skillld141	skillan141																	74	StrSkill102		ln12																																																																																							0
find item	3	3	3	3	32		skillname142	skillld142	skillld142	skillan142																	74	StrSkill24		dm12+skill('Find Potion'.blvl)*par8																											36	StrSkill3		usmc	256																					40	Sksyn	skillname142	2		76	StrSkillSkillChancePerLevel	skillname131	par8																											0
leap attack	1	4	1	1	34		skillname143	skillld143	skillld143	skillan143	26												2				74	StrSkillDamagePercent		clc1		74	StrSkill22		toht		75	StrSkill4		pnma	pxma	36	StrSkillRadiusSingular	StrSkill18	7*2	3											36	StrSkill3		usmc	256																					40	Sksyn	skillname143	2		76	Damplev	skillname132	par8																											0
concentrate	1	4	2	1	36		skillname144	skillld144	skillld144	skillan144	7												1				74	StrSkill21		ln34		74	StrSkillDamagePercent		clc1		74	StrSkill22		toht																	36	StrSkill3		usmc	256	74	StrSkillMagicDamagePercent		clc4																	40	Sksyn	skillname144	2		76	Damplev	skillname126	par8		76	Damplev	skillname149	par7		76	Magdplev	skillname152	1																	0
iron skin	2	4	3	2	38	27	skillname145	skillld145	skillld145	skillan145																	74	StrSkill21		ln12																																																																																							0
battle cry	3	4	1	3	40	24	skillname146	skillld146	skillld146	skillan146																	36	StrSkillDurationSingular	StrSkill20	ln12	25	74	StrSkill25		ln34		74	StrSkill38		ln56		36	StrSkillRadiusSingular	StrSkill18	5*2	3											36	StrSkill3		usmc	256																																																								0
frenzy	1	5	3	1	42	26	skillname147	skillld147	skillld147	skillan147	19												2				75	StrSkillRunWalkRange		15*(par4-par3)/100+par3	dm34	75	StrSkillAttackSpeedRange		15*(par6-par5)/100+par5	dm56	74	StrSkillDamagePercent		clc1		74	StrSkill22		toht												36	StrSkill3		usmc*2	256	36	StrSkillDurationSingular	StrSkill20	par7+skill('Increased Stamina'.blvl)*10	25	74	StrSkillMagicDamagePercent		clc4																																															0
increased speed	2	5	1	2	44		skillname148	skillld148	skillld148	skillan148																	74	StrSkill89		dm12																																																																																							0
battle orders	3	5	2	3	46		skillname149	skillld149	skillld149	skillan149																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill102		10 + lvl		74	StrSkill101		10 + lvl		74	StrSkill100		10 + lvl		36	StrSkillRadiusSingular	StrSkill18	19*2	3						36	StrSkill3		usmc	256																					40	Sksyn	skillname149	2							76	Secplev2	skillname155	par8/25																						0
grim ward	3	5	3	3	48		skillname150	skillld150	skillld150	skillan150																	74	Cgslow		dm78		36	StrSkillRadiusSingular	StrSkill18	ln12*2	3																					36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	clc1	25	74	StrSkillEnemyDamageTaken		par3 + (skill('Find Potion'.blvl) * par4)												40	Sksyn	skillname150	2		76	StrSkillDamageTakenPerLevel	skillname131	par4																											0
whirlwind	1	6	1	1	50		skillname151	skillld151	skillld151	skillan151	1												1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc1		74	StrSkill22		toht																																																																													0
berserk	1	6	2	1	52		skillname152	skillld152	skillld152	skillan152	7												2				36	StrSkillDurationSingular	StrSkill20	"par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))"	25	74	StrSkillMagicDamagePercent		clc1		74	StrSkill22		toht																	36	StrSkill3		usmc	256																					40	Sksyn	skillname152	2		76	Magdplev	skillname130	par8		76	Magdplev	skillname149	par8																						0
natural resistance	2	6	3	2	54		skillname153	skillld153	skillld153	skillan153																	74	StrSkill54		dm12																																																																																							0
war cry	3	6	1	3	56		skillname154	skillld154	skillld154	skillan154	5																36	StrSkill3		usmc	256	36	StrSkillStunLengthSingular	StrSkill48	"min(250,ln12)"	25	75	StrSkill4		pnma	pxma	36	StrSkillRadiusSingular	StrSkill18	7*2	3																																				40	Sksyn	skillname154	2		76	Damplev	skillname130	par8		76	Damplev	skillname137	par8		76	Damplev	skillname146	par8																	0
battle command	3	6	2	3	58		skillname155	skillld155	skillld155	skillan155																	36	StrSkillDurationSingular	StrSkill20	len	25											36	StrSkillRadiusSingular	StrSkill18	19*2	3											36	StrSkill3		usmc	256																					40	Sksyn	skillname155	2							76	Secplev2	skillname149	par8/25																						0
scroll of identify	0	0	0	4	14		skillname217	skillld217	skillld217	skillan217																	56	scrollbooktext																																																																																									0
book of identify	0	0	0	4	14		skillname218	skillld218	skillld218	skillan218																	56	scrollbooktext																																																																																									0
scroll of townportal	0	0	0	4	18		skillname219	skillld219	skillld219	skillan219																	56	scrollbooktext																																																																																									0
book of townportal	0	0	0	4	18		skillname220	skillld220	skillld220	skillan220																	56	scrollbooktext																																																																																									0
raven	1	1	2	1	0		Skillname222	Skillld222	Skillld222	Skillan222																	74	ESkillHawk		"min(lvl,par2)"		74	StrSkill11		ln56		75	StrSkill4		pnma	pxma	74	StrSkill22		toht												36	Eskillincaseraven		usmc	256																					40	Sksyn	Skillname222	2		76	Damplev	Skillname228	par8		76	Damplev	Skillname238	par8		76	Damplev	Skillname248	par8																	0
plague poppy	1	1	3	1	2		Skillname223	Skillld223	Skillld223	Skillan223																	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	13	StrSkill42		(lvl-1)*par3																	36	StrSkill3		usmc	256																					40	Sksyn	Skillname223	2		76	Poisdplev	Skillname239	par8																											0
wearwolf	2	1	1	2	20		Skillname224	Skillld224	Skillld224	Skillan224																	74	StrSkill106		dm34		74	StrSkill22		toht																						36	StrSkill3		usmc	256	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	25	25	36	StrSkillDurationSingular	StrSkill20	1000+skill('shape shifting'.ln12)	25	74	StrSkill102		par1		74	StrSkill100		par2+skill('shape shifting'.ln34)		40	Sksyn	Skillname224	2		18	Skillname225																													0
shape shifting	2	1	2	2	52		Skillname225	Skillld225	Skillld225	Skillan225																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	ModStr1a		ast1		74	Modhpregenpercent		ast1																																																																								0
firestorm	3	1	1	3	32		Skillname226	Skillld226	Skillld226	Skillan226	9																75	StrSkillFireDamageAveragePerSecond		enms*25*3/256	exms*25*3/256																										36	StrSkill3		usmc	256	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	15	25																40	Sksyn	Skillname226	2		76	Firedplev	Skillname230	par8		76	Firedplev	Skillname235	par8																						0
oak sage	1	2	1	1	16		Skillname227	Skillld227	Skillld227	Skillan227																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln78*2	3	74	StrSkill100		ln12		13	StrSkill42		(lvl-1)*par1																																																																								0
summon spirit wolf	1	2	2	1	6		Skillname228	Skillld228	Skillld228	Skillan228																	74	StrSkill21		ln56		74	StrSkill22		ln12		74	ESkillWolves		"min(lvl,par3)"		75	StrSkill6		enma	exma	13	StrSkill42		(par7 * lvl) + (skill('Summon Fenris'.par2) * skill('Summon Fenris'.lvl))							36	StrSkill3		usmc	256																					40	Sksyn	Skillname228	2		76	Hpplev	Skillname238	skill('Summon Fenris'.par2)		76	Damplev	Skillname248	skill('Summon Grizzly'.par2)																						0
wearbear	2	2	3	2	22		Skillname229	Skillld229	Skillld229	Skillan229																	74	StrSkill21		ln34		74	StrSkillDamagePercent		ln12																						36	StrSkill3		usmc	256	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	25	25	36	StrSkillDurationSingular	StrSkill20	1000+skill('shape shifting'.ln12)	25	74	StrSkill100		par5 + skill('Shape Shifting'.ln34)							40	Sksyn	Skillname229	2		18	Skillname225																													0
molten boulder	3	2	1	3	34		Skillname230	Skillld230	Skillld230	Skillan230	5													moltenboulderfirepath			36	StrSkill3		usmc	256	75	StrSkillFireDamageAveragePerSecond		m1eo*25*3*(mael+100)/100/256	m1ey*25*3*(mael+100)/100/256	75	StrSkill5		enma	exma	75	StrSkill4		pnma	pxma											36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	25	25																					40	Sksyn	Skillname230	2		76	Damplev	Skillname245	par7		76	Firedplev	Skillname226	par8																						0
arctic blast	3	2	3	3	36		Skillname231	Skillld231	Skillld231	Skillan231	8																74	StrSkillManaCostPerSecond		mps		36	StrSkillRangeSingular	StrSkill56	ln12/4*2	3	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkillColdDamageAveragePerSecond		enms*12/256	exms*12/256											74	StrSkill115		par3																						40	Sksyn	Skillname231	2		76	Colddplev	Skillname236	par8																											0
