name	*order	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	spelldesc	spelldescstr	spelldescstr2	spelldesccalc	spelldesccolor	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Short Spear	50	jave		ssp	jav	ssp	0		1	1	0	xxx			22	44					26	57	2	10	100	100	116	100	180		20	1	0	24	10360		905	ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	30	300	300	flpssp	invssp			1	2	0	primarily thrown	0	item_javelins	12						item_javelins	0	0	5	0	0	0			1	7	2	0	3					255			1	2	30					255	1	1	1	1	20					255					255					20					255					255					255	1	1			255	1	2			255					255	1	1			255					255			1	1	20	1	1	1	1	20	5	8	1	tsp	tsp	1	0	
Glaive	51	jave		glv	glv	glv	0		1	1	0	xxx			30	60					42	65	2	10	100	100	134	125	180		32	1	0	36	14828		905	glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	24	300	300	flpglv	invglv			1	2	0	primarily thrown	0	item_javelins	12						item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255			2	2	30					255					255					20					255					255					255	1	1			255	1	2			255					255	1	1			255					255			1	1	20	1	1	1	1	20	1	2	1	xxx	xxx	1	0	
Throwing Spear	52	jave		tsp	pil	tsp	0		1	1	0	xxx			40	80					31	78	2	0	100	100	147	130	180		41	1	0	48	18392		905	tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	48	300	300	flptsp	invtsp			1	2	0	primarily thrown	0	item_javelins	12						item_javelins	0	0	5	0	0	0			371	7	2	0	3					255					255					255					255					255					255					20					255					255					255					255					255	1	1	1	2	20	1	1			255					255			1	1	20	1	1	1	1	20	1	2	1	xxx	xxx	1	0	
Spear	53	spea		spr	spr	spr	0		1	1	0	xxx						1	63	74			4	10	100	100	70	70	180		7	1	1	300	6500		905	spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	3	0	2 square reach	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	5	8	1	spt	pik	1	0	
Trident	54	spea		tri	tri	tri	0		1	1	0	xxx						1	86	101			4	10	100	100	90	85	180		11	1	3	683	13147		905	tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	4	0	2 square reach	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	20					255	1	1			20					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	5	8	1	spt	pik	1	0	
Brandistock	55	spea		brn	brn	brn	0		1	1	0	xxx						1	115	135			4	10	100	100	116	100	180		22	1	5	1162	29092		905	brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn			1	4	0	2 square reach	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255	5	8	1	xxx	pik	1	0	
Spetum	56	spea		spt	tri	spt	0		1	1	0	xxx						1	129	152			4	10	100	100	134	125	180		28	1	6	1672	45940		905	spt	9st	7st	2ht	2ht	5	2ht	2	4					flpspt	invspt			1	4	0	2 square reach	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1		1	1	2	20					255					255					255					255	5	8	1	xxx	xxx	1	0	
Pike	57	spea		pik	spr	pik	0		1	1	0	xxx						1	144	169			4	10	100	100	134	125	180		34	1	7	2023	63052		905	pik	9p9	7p7	2ht	2ht	5	2ht	2	4					flppik	invpik			1	4	0	3 square reach	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	1	30					255					255					255					255					255					255		1			255		1			255	1	1	1	2	20					255	1	1	1	2	20					255					255	5	8	1	xxx	xxx	1	0	
Bardiche	58	pole		bar	hal	bar	0		1	1	0	xxx						1	63	74			4	10	100	100	70	70	180		7	1	0	302	6510		905	bar	9b7	7o7	stf	stf	5	2hsl	2	4					flpbar	invbar			1	3	0	2 square reach	0	item_woodweaponlarge	12						item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1	1	1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	2	2	1	hal	wsc	1	0	
Voulge	59	pole		vou	hal	vou	0		1	1	0	xxx						1	86	101			4	10	100	100	90	85	180		14	1	0	611	14721		905	vou	9vo	7vo	stf	stf	5	2hsl	2	4					flpvou	invvou			1	4	0	2 square reach	0	item_woodweaponlarge	12						item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1		1	20					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	hal	wsc	1	0	
Scythe	60	pole		scy	scy	scy	0		1	1	0	xxx						1	115	135			4	10	100	100	116	100	180		20	1	0	848	22720		905	scy	9s8	7s8	stf	stf	5	2hsl	2	4					flpscy	invscy	invscyu	invscyu	1	4	0	2 square reach	0	item_woodweaponlarge	12						item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255		1		1	20					255				1	255			1	1	20					255				1	1					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255	2	2	1	hal	wsc	1	0	
Poleaxe	61	pole		pax	hal	pax	0		1	1	0	xxx						1	129	152			4	10	100	100	134	125	180		29	1	0	1701	48721		905	pax	9pa	7pa	stf	stf	5	2hsl	2	4					flppax	invpax			1	4	0	2 square reach	0	item_woodweaponlarge	12						item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255		1	1	1	20					255					255					255					255	2	2	1	xxx	xxx	1	0	
Halberd	62	pole		hal	pax	hal	0		1	1	0	xxx						1	144	169			4	10	100	100	147	130	180		41	1	0	2706	95474		905	hal	9h9	7h7	stf	stf	5	2hsl	2	4					flphal	invhal			1	4	0	2 square reach	0	item_woodweaponlarge	12						item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	1	20					255	1	1	1	1	20					255					255	2	2	1	xxx	xxx	1	0	
War Scythe	63	pole		wsc	scy	wsc	0		1	1	0	xxx						1	158	186			4	10	100	100	178	150	180		49	1	0	3388	134692		905	wsc	9wc	7wc	stf	stf	5	2hsl	2	4					flpwsc	invwsc			1	4	0	2 square reach	0	item_woodweaponlarge	12						item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					20					255					255					255					255					255			1	2	20					255			1	1	20					255					255	2	2	1	xxx	xxx	1	0	
Short Staff	64	staf		sst	bst	sst	0		1	1	0	xxx						1	40	45			3	0	100	100	70	60	180		1	1	0	168	3168	1	905	sst	8ss	6ss	stf	stf	5	club	1	3					flpsst	invsst			1	2	0	magically charged	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255	5	9	5	9	1					255					255					255					255					255					1					255					255					255					255					255					255					255					255	5	8	1	cst	bst	1	0	
Long Staff	65	staf		lst	sst	lst	0		1	1	0	xxx						1	70	92			3	0	100	100	90	75	180		10	1	0	463	10204	1	905	lst	8ls	6ls	stf	stf	5	staf	1	4					flplst	invlst			1	3	0	magically charged	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255	2	3	1	2	1					255					255	1	2		2	1					255					255	1	1		1	1					255					255					255					255					255					255					255					255	5	8	1	cst	wst	1	0	
Gnarled Staff	66	staf		cst	cst	cst	0		1	1	0	xxx						1	100	122			3	0	100	100	90	75	180		16	1	0	766	17692	1	905	cst	8cs	6cs	stf	stf	5	staf	1	4					flpcst	invcst	invcstu	invcstu	1	4	0	magically charged	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	3	5	5	9	1					255					255	2	3	2	5	1					255					255					255					255					255					255					255					255	5	8	1	xxx	wst	1	0	
Battle Staff	67	staf		bst	sst	bst	0		1	1	0	xxx						1	110	137			3	0	100	100	116	90	180		23	1	0	1223	31791	1	905	bst	8bs	6bs	stf	stf	5	staf	1	4					flpbst	invbst			1	4	0	magically charged	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255	1	3	1	3	1					255					255	2	3	2	5	1					255					255					255					255	2	3	1	3	20					255					255	2	3	1	4	20	5	8	1	xxx	xxx	1	0	
War Staff	68	staf		wst	lst	wst	0		1	1	0	xxx						1	120	153			3	0	100	100	134	115	180		34	1	0	1985	62140	1	905	wst	8ws	6ws	stf	stf	5	staf	2	4					flpwst	invwst			1	4	0	magically charged	0	item_staff	12						item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255	1	2	1	2	20					255					255	1	3	1	4	20	5	8	1	xxx	xxx	1	0	
Short Bow	69	bow		sbw	sbw	sbw	0		1	1	0	xxx						1	21	40			3	20	100	100	70	70	180	1	1	1	0	100	3100		905	sbw	8sb	6sb	bow	bow	6	bow	2	3					flpsbw	invsbw			1	3	0		0	item_bow	12						item_bow	0	0	5	1	0	0			0	7	0	0	1	1	1	1	1	1					255					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255	5	8	1	hbw	cbw	1	0	
Hunter's Bow	70	bow		hbw	sbw	hbw	0		1	1	0	xxx						1	27	56			3	20	100	100	70	70	180	1	7	1	0	350	6750		905	hbw	8hb	6hb	bow	bow	6	bow	2	3					flphbw	invhbw			1	4	0		0	item_bow	12						item_bow	0	0	5	1	0	0			0	7	0	0	1	1	1	1	1	1		1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	5	8	1	lbw	sbb	1	0	
Long Bow	71	bow		lbw	lbw	lbw	0		1	1	0	xxx						1	38	74			3	20	100	100	90	85	180	1	10	1	0	490	10420		905	lbw	8lb	6lb	bow	bow	6	bow	2	4					flplbw	invlbw			1	4	0		0	item_bow	12						item_bow	0	0	5	1	0	0			0	7	0	0	1					255	1	1	1	1	20					255			1	1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	5	8	1	cbw	lbb	1	0	
Composite Bow	72	bow		cbw	lbw	cbw	0		1	1	0	xxx						1	47	83			3	20	100	100	90	85	180	1	16	1	0	727	17224		905	cbw	8cb	6cb	bow	bow	6	bow	2	3					flpcbw	invcbw	invcbwu	invcbwu	1	4	0		0	item_bow	12						item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	2	20					255					255					255					255					255		1			255		1			255		1			255					255					255					255					255					255	5	8	1	sbb	swb	1	0	
Short Battle Bow	73	bow		sbb	sbb	sbb	0		1	1	0	xxx						1	56	94			3	10	100	100	116	100	180	1	25	1	0	1045	30310		905	sbb	8s8	6s7	bow	bow	6	bow	2	3					flpsbb	invsbb	invsbbu	invsbbu	1	4	0		0	item_bow	12						item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	2	20					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					20					255					255					255	5	8	1	lbb	lwb	1	0	
Long Battle Bow	74	bow		lbb	lbb	lbb	0		1	1	0	xxx						1	61	98			3	10	100	100	134	125	180	1	32	1	0	1545	49535		905	lbb	8l8	6l7	bow	bow	6	bow	2	4					flplbb	invlbb			1	4	0		0	item_bow	12						item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					20					255					255					255	5	8	1	swb	lwb	1	0	
Short War Bow	75	bow		swb	sbb	swb	0		1	1	0	xxx						1	65	103			3	10	100	100	147	130	180	1	38	1	0	2500	83500		905	swb	8sw	6sw	bow	bow	6	bow	2	3					flpswb	invswb	invswbu	invswbu	1	4	0		0	item_bow	12						item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255		1		1	1		1		1	1					255	1	1	1	1	20	1	1	1	2	20					255					255	5	8	1	lwb	xxx	1	0	
Long War Bow	76	bow		lwb	lbb	lwb	0		1	1	0	xxx						1	70	105			3	10	100	100	147	130	180	1	44	1	0	3575	128825		905	lwb	8lw	6lw	bow	bow	6	bow	2	4					flplwb	invlwb			1	4	0		0	item_bow	12						item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20	1	1	1	2	20					255					255	5	8	1	xxx	xxx	1	0	
Light Crossbow	77	xbow		lxb	lxb	lxb	0		1	1	0	xxx						1	25	49			3	10	100	100	70	70	180	1	9	1	0	803	10318		905	lxb	8lx	6lx	xbw	xbw	5	xbow	2	3					flplxb	invlxb	invlxbu	invlxbu	1	3	0	reload lag between shots	0	item_crossbow	12						item_crossbow	0	0	5	1	0	0			0	7	0	0	1		1		1	1					255					255					255					255					255					255					255					255	1	1	1	1	255					255					255					255					255					255					255					255	5	8	1	mxb	rxb	1	0	
Crossbow	78	xbow		mxb	lxb	mxb	0		1	1	0	xxx						1	34	66			3	10	100	100	116	100	180	1	20	1	0	2345	45175		905	mxb	8mx	6mx	xbw	xbw	5	xbow	2	3					flpmxb	invmxb	invmxbu	invmxbu	1	4	0	reload lag between shots	0	item_crossbow	12						item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255	1	1	1	1	20					255					255					255					255					255					1	1	1		1	1	1	1		1	1					255					255					255					255					255	5	8	1	hxb	hxb	1	0	
Heavy Crossbow	79	xbow		hxb	hxb	hxb	0		1	1	0	xxx						1	44	90			3	10	100	100	134	125	180	1	34	1	0	4096	112804		905	hxb	8hx	6hx	xbw	xbw	5	xbow	2	4					flphxb	invhxb	invhxbu	invhxbu	1	4	0	reload lag between shots	0	item_crossbow	12						item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255		1		1	1		1		1	1					255	1	1	1	1	20		1	1	1	20					255					255	5	8	1	xxx	xxx	1	0	
Repeating Crossbow	80	xbow		rxb	hxb	rxb	0		1	1	0	xxx						1	56	100			3	10	100	100	147	130	180	1	47	1	0	2739	109387		905	rxb	8rx	6rx	xbw	xbw	5	xbow	2	3					flprxb	invrxb	invrxbu	invrxbu	1	4	0	fires 5 shots before reload	0	item_crossbow	12						item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20		1	1	2	20					255					255	5	8	1	xxx	xxx	1	0	
Rancid Gas Potion	81	tpot		gps	gpl	gps	0		1	1	0	xxx			0	5							3	10	100	100	147	130	180	1	46	1	36	200	0		905	gps			1ht	1ht	5	hth	1	1	1	3	25	6	flpgpl	invgpl					0		0	item_potion	14						item_potion	0	0	5	0	1	0			49	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	1	xxx	xxx	0	1	
Oil Potion	82	tpot		ops	opl	ops	0		1	1	0	xxx			0	5							3	10	100	100	147	130	180	1	40	1	30	150	0		905	ops			1ht	1ht	5	hth	1	1	1	3	25	6	flpopl	invopl					0		0	item_potion	14						item_potion	0	0	5	0	1	0			46	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	1	xxx	xxx	0	1	
Choking Gas Potion	83	tpot		gpm	gps	gpm	0		1	1	0	xxx			0	5							3	10	100	100	134	120	180	1	28	1	24	120	0		905	gpm			1ht	1ht	5	hth	1	1	1	3	25	6	flpgps	invgpm					0		0	item_potion	14						item_potion	0	0	5	0	1	0			48	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	1	xxx	xxx	0	1	
Exploding Potion	84	tpot		opm	opl	opm	0		1	1	0	xxx			0	5							3	10	100	100	116	100	180	1	22	1	18	80	0		905	opm			1ht	1ht	5	hth	1	1	1	3	25	6	flpops	invopm					0		0	item_potion	14						item_potion	0	0	5	0	1	0			45	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	1	xxx	xxx	0	1	
Strangling Gas Potion	85	tpot		gpl	gps	gpl	0		1	1	0	xxx			0	5							3	10	100	100	90	85	180	1	10	1	9	40	0		905	gpl			1ht	1ht	5	hth	1	1	1	3	25	6	flpgps	invgps					0		0	item_potion	14						item_potion	0	0	5	0	1	0			47	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	1	xxx	xxx	0	1	
Fulminating Potion	86	tpot		opl	ops	opl	0		1	1	0	xxx			0	5							3	10	100	100	70	70	180	1	6	1	0	24	0		905	opl			1ht	1ht	5	hth	1	1	1	3	25	6	flpops	invops					0		0	item_potion	14						item_potion	0	0	5	0	1	0			44	7	3	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	1	xxx	xxx	0	1	
Decoy Gidbinn	87	knif		d33	dgr	d33	0		1		0	xxx			5	8							3	10	100	100	70	70	180		0	1	0	666	0		905	d33			1ht	1ht	5	1ht	1	2					flpd33	invd33					0		0	item_smallmetalweapon	12						item_smallmetalweapon	1	0	5	0	0	0	18	1	0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	0	0	
The Gidbinn	88	knif		g33	dgr	g33	0		1		0	xxx			12	27							3	10	100	100	70	70	180		0	1	0	666	0		905	g33			1ht	1ht	5	1ht	1	2					flpg33	invg33					0		0	item_smallmetalweapon	12						item_smallmetalweapon	1	0	5	0	0	0	18	1	0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	0	0	
Wirt's Leg	89	club		leg	clb	leg	0		1		0	xxx			8	32							3	10	100	100	70	70	180		0	1	0	20	0		905	leg			1hs	1hs	5	1hsl	1	3					flpleg	invleg			1	3	0		0	item_staff	12						item_staff	0	0	5	0	0	0	1	1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Horadric Malus	90	hamm		hdm	whm	hdm	0		1		0	xxx			24	59							3	10	100	100	70	70	180		0	1	0	600	0		905	hdm			1hs	1hs	5	1hsl	1	2					flphmr	invhmr					0		0	item_sword	12						item_sword	1	0	5	0	0	0	4	1	0	7	0	0	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	0	0	
Hellforge Hammer	91	hamm		hfh	whm	hfh	0		1		0	xxx			24	59							3	10	100	100	70	70	180		0	1	0	600	0		905	hfh			1hs	1hs	5	1hsl	2	3					flphmr	invhfh			1	4	0		0	item_sword	12						item_sword	1	0	5	0	0	0	25	1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	0	0	
Horadric Staff	92	staf		hst	bst	hst	0		1		0	xxx						1	18	31			3	0	100	100	70	60	180		0	1	0	1223	0		905	hst			stf	stf	5	staf	1	4					flphst	invhst					0	magically charged	0	item_staff	12						item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	0	0	
Staff of Kings	93	staf		msf	bst	msf	0		1		0	xxx						1	16	23			3	0	100	100	70	60	180		0	1	0	1223	0		905	msf			stf	stf	5	staf	1	3					flpmsf	invmsf					0	magically charged	0	item_staff	12						item_staff	1	0	5	0	0	0	10	1	0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	0	0	
Hatchet	94	axe		9ha	hax	9ha	0		1	1	0	xxx			50	90							3	10	100	100	147	130	180		44	1	28	810	43110		905	hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	2	0		0	item_smallmetalweapon	12						item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	1	xxx	xxx	1	0	
Cleaver	95	axe		9ax	axe	9ax	0		1	1	0	xxx			60	100							3	0	100	100	178	150	180		49	1	33	1509	70806		905	axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	1	xxx	xxx	1	0	
Twin Axe	96	axe		92a	axe	92a	0		1	1	0	xxx			70	110							3	0	100	100	178	150	180		56	1	37	2919	135841		905	2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	1	xxx	xxx	1	0	
Crowbill	97	axe		9mp	axe	9mp	0		1	1	0	xxx			80	120							3	0	100	100	187	150	180		62	1	37	4563	220209		905	mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Naga	98	axe		9wa	hax	9wa	0		1	1	0	xxx			130	160							3	0	100	100	214	200	180		70	1	37	6669	346612		905	wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	4	0		0	item_sword	12						item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Military Axe	99	axe		9la	lax	9la	0		1	1	0	xxx						1	130	150			3	0	100	100	178	150	180		49	1	33	1362	65808		905	lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Bearded Axe 	100	axe		9ba	lax	9ba	0		1	1	0	xxx						1	140	156			3	0	100	100	178	150	180		55	1	37	2718	124784		905	bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Tabar	101	axe		9bt	btx	9bt	0		1	1	0	xxx						1	145	163			3	0	100	100	187	150	180		61	1	37	4086	195112		905	btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	inv9btu	inv9btu	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	1	xxx	xxx	1	0	
Gothic Axe	102	axe		9ga	btx	9ga	0		1	1	0	xxx						1	148	169			3	0	100	100	187	150	180		67	1	37	6048	303708		905	gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Ancient Axe	103	axe		9gi	gix	9gi	0		1	1	0	xxx						1	150	176			3	0	100	100	214	200	180		74	1	37	7530	412030		905	gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix	inv9giu	inv9giu	1	4	0		0	item_largemetalweapon	12						item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	1	0	
Burnt Wand	104	wand		9wn	wnd	9wn	0		1	1	0	xxx			40	70							3	0	100	100	147	130	180		44	1	44	915	46365	1	905	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd			1	1	0	magically charged	0	item_wand	12						item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Petrified Wand	105	wand		9yw	ywn	9yw	0		1	1	0	xxx			50	80							3	0	100	100	178	150	180		55	1	55	2535	117830	1	905	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	2	0	magically charged	0	item_wand	12						item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	1	xxx	xxx	1	0	
Tomb Wand	106	wand		9bw	bwn	9bw	0		1	1	0	xxx			60	90							3	0	100	100	187	150	180		62	1	62	4188	204084	1	905	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12						item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
Grave Wand	107	wand		9gw	bwn	9gw	0		1	1	0	xxx			130	160							3	0	100	100	214	200	180		71	1	71	6594	350106	1	905	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn	inv9gwu	inv9gwu	1	2	0	magically charged	0	item_wand	12						item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	1	xxx	xxx	1	0	
